siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
325230308,00109,32523030800109,O,2016-02-14,03,2023,,2025-12-05T20:26:11.948,false,A,O,,1982-07-06,5710,LUMIPLAN TRANSPORT,,,,,,,,,,,58.29C,NAFRev2,,N,,21,2023,00067,2025-12-06T07:36:59.702,ETI,2023,,28,,,RUE,DES GRANGES GALAND,37550,SAINT-AVERTIN,,37208,,,372080574_B,527799.3936523456,6699197.404824294,A,,,,,62.09Z,NAFRev2,O,62.90Y
327467783,00053,32746778300053,O,2019-01-07,02,2023,,2025-12-06T00:40:59.279,true,A,O,,1983-05-09,5710,SOCIETE FRANCAISE POUR L'ASSISTANCE TECHNIQUE A DOMICILE,SFATD,,,,,,,,,,62.09Z,NAFRev2,,N,,02,2023,00053,2025-12-06T08:24:40.261,ETI,2023,,21,,,RUE,ANDRE ALLAR,13015,MARSEILLE,,13215,,,132150358_B,891853.6341835146,6250120.473447473,A,,,,ATOUT CONFORT - OK SERVICE - SOS DEPANNAGE - ECO DEPANNAGE - PHINELEC MAINTENANCE,62.09Z,NAFRev2,O,62.90Y
348999939,00120,34899993900120,O,2024-07-01,NN,,,2025-12-06T03:04:36.575,true,A,O,,1988-12-07,5599,SUNGARD AVAILABILITY SERVICES FRANCE SA,,,,,,,,,,,62.09Z,NAFRev2,,N,,12,2023,00120,2025-12-06T05:43:28.518,ETI,2023,,122,,,AVENUE,CHARLES DE GAULLE,92200,NEUILLY-SUR-SEINE,,92051,,,920511436_B,646257.51,6865022.59,A,,,,,62.09Z,NAFRev2,N,62.90Y
377550249,00132,37755024900132,O,2024-11-25,NN,,,2025-12-06T01:06:26.539,false,A,O,,1990-04-01,5599,WAVESTONE,,,,,,,,,,,62.02A,NAFRev2,,N,,51,2023,00041,2025-12-06T05:16:40.065,ETI,2023,IMMEUBLE LE VIRAGE - BATIMENT C,3,,,ALLEE,MARCEL LECLERC,13008,MARSEILLE,,13208,,,132085647_B,894566.16,6243974.96,A,,,,,62.09Z,NAFRev2,O,62.90Y
379502644,00337,37950264400337,O,2024-04-10,NN,,,2025-12-06T04:10:39.902,false,A,O,,1990-08-01,5599,CREDIT IMMOBILIER DE FRANCE DEVELOPPEMENT,CIFD,,,,,,,,,,66.19B,NAFRev2,,N,N,12,2023,00329,2025-12-06T09:42:47.305,ETI,2023,BATIMENT A LOT 2,1,,,ROND-POINT,DU GENERAL EISENHOWER,31100,TOULOUSE,,31555,,,315553827_B,567890.52,6276870.52,A,,,,,62.09Z,NAFRev2,O,62.90Y
379502644,00345,37950264400345,O,2025-06-18,NN,,,2025-12-05T20:31:04.848,false,A,O,,1990-08-01,5599,CREDIT IMMOBILIER DE FRANCE DEVELOPPEMENT,CIFD,,,,,,,,,,66.19B,NAFRev2,,N,N,12,2023,00329,2025-12-06T09:42:47.305,ETI,2023,IMMEUBLE NEMESIS - ZONE EUROPARC,11,,,RUE,DU PROFESSEUR PIERRE VELLAS,31300,TOULOUSE,,31555,,,315556919_B,567637.38,6279532.16,A,,,,,62.09Z,NAFRev2,N,62.90Y
398023036,00088,39802303600088,O,2020-02-01,02,2023,,2025-12-05T16:25:07.054,true,A,O,,1994-08-16,5710,NEW SOFTWARE,,,,,,,,,,,62.09Z,NAFRev2,,N,,02,2023,00088,2025-12-06T07:33:21.314,ETI,2023,,17,,,RUE,DE L'ARRIVEE,75015,PARIS,,75115,,,751150469_B,650234.6675944915,6860526.488329484,A,,,,,62.09Z,NAFRev2,O,62.90Y
414599589,00119,41459958900119,O,2005-01-01,NN,,,2025-12-05T16:12:14.073,false,A,O,,1997-10-31,5599,DEDALUS HEALTHCARE FRANCE,,,,,,,,,,,62.02B,NAFRev2,,N,,41,2023,00028,2025-12-06T05:15:22.124,ETI,2023,ESPACE CADUCE- HOUELBOURG,,,,LOT,MOUDONG SUD,97122,BAIE MAHAULT,,97103,,,97103A601_C,,,A,,,,,62.09Z,NAFRev2,N,62.90Y
424314649,00015,42431464900015,O,1999-09-03,12,2023,,2025-12-05T23:06:02.5,true,A,O,,1999-09-03,5499,E-NRJ,,,,,,,,,,,62.09Z,NAFRev2,,N,,12,2023,00015,2025-12-06T06:52:02.847,ETI,2023,,22,,,RUE,BOILEAU,75016,PARIS,,75116,,,751161058_B,646027.9264520184,6860893.177427115,A,,,,,62.09Z,NAFRev2,O,62.90Y
429370414,00105,42937041400105,O,2017-01-01,03,2023,,2025-12-06T03:45:28.916,false,A,O,,2000-01-01,5710,LCS GROUP,,,,,,,,,,,58.29A,NAFRev2,,N,,12,2023,00071,2025-12-06T06:03:45.022,ETI,2023,PARC DE L'ANGEVINIERE,900,,,CHEMIN,DE L'AUMONE-VIEILLE,13400,AUBAGNE,,13005,,,130050122_B,904709.1270393269,6246131.647306415,A,,,,YSENTIA,62.09Z,NAFRev2,O,62.90Y
