siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
317288389,00545,31728838900545,O,2006-12-06,03,2023,,2025-12-05T17:23:52.896,false,A,O,,1979-01-01,5710,FIDUCIAL INFORMATIQUE,,,,,,,,,,,62.02A,NAFRev2,,N,,41,2023,00529,2025-12-06T07:18:41.023,GE,2023,,7,,,ALLEE,DE SAINT-CLOUD,54600,VILLERS-LES-NANCY,,54578,,,545780488_B,930793.0170952997,6844071.3205502955,A,,,,,62.09Z,NAFRev2,O,62.90Y
317288389,00602,31728838900602,O,2008-07-28,03,2023,,2025-12-06T03:19:57.111,false,A,O,,1979-01-01,5710,FIDUCIAL INFORMATIQUE,,,,,,,,,,,62.02A,NAFRev2,,N,,41,2023,00529,2025-12-06T07:18:41.023,GE,2023,,5,,,CHEMIN,DES JONCS,69570,DARDILLY,,69072,,,690720099_B,836983.8429010863,6524821.049142057,A,,,,,62.09Z,NAFRev2,O,62.90Y
393135298,00429,39313529800429,O,2001-08-01,41,2023,,2025-12-05T16:48:54.956,false,A,O,,1993-11-23,5710,CS GROUP - FRANCE,,,,,,,,,,,62.02A,NAFRev2,,N,,42,2023,00502,2026-02-16T17:01:08.412,GE,2023,ZAC DE LA GRANDE PLAINE,6,,,RUE,BRINDEJONC DES MOULINAIS,31500,TOULOUSE,,31555,,,315551426_B,578321.5383360498,6276749.719452226,A,,,,,62.09Z,NAFRev2,O,62.90Y
393135298,00494,39313529800494,O,1994-01-01,21,2023,,2025-12-05T17:35:13.187,false,A,O,,1993-11-23,5710,CS GROUP - FRANCE,,,,,,,,,,,62.02A,NAFRev2,,N,,42,2023,00502,2026-02-16T17:01:08.412,GE,2023,,230,,,RUE,MARCELLIN BERTHELOT,83130,LA GARDE,,83062,,,830620554_B,947527.3637036524,6232488.8394209,A,1,,,,62.09Z,NAFRev2,O,62.90Y
393135298,00502,39313529800502,O,2005-08-01,41,2023,,2025-12-05T18:05:43.826,true,A,O,,1993-11-23,5710,CS GROUP - FRANCE,,,,,,,,,,,62.02A,NAFRev2,,N,,42,2023,00502,2026-02-16T17:01:08.412,GE,2023,,22,,,AVENUE,GALILEE,92350,LE PLESSIS-ROBINSON,,92060,,,920604115_B,644496.6078260033,6852883.778024665,A,,,,,62.09Z,NAFRev2,O,62.90Y
393135298,00619,39313529800619,O,2014-08-31,NN,,,2025-12-06T04:45:37.224,false,A,O,,1993-11-23,5710,CS GROUP - FRANCE,,,,,,,,,,,62.02A,NAFRev2,,N,,42,2023,00502,2026-02-16T17:01:08.412,GE,2023,ZA DU ROURABEAU,,,,RUE,IRENE ET FREDERIC JOLIOT,13115,SAINT-PAUL-LES-DURANCE,,13099,,,130994100_B,919632.1303813403,6291778.608071212,A,,,,,62.09Z,NAFRev2,O,62.90Y
393712286,04302,39371228604302,O,2025-07-07,NN,,,2025-12-05T15:11:55.54,false,A,O,,1994-01-06,5710,SEPHORA,,,,,,,,,,,47.75Z,NAFRev2,,N,N,52,2023,03775,2026-01-05T15:01:44.84,GE,2023,TOUR LEGENDE,20,,,PLACE,DE LA DEFENSE,92800,PUTEAUX,,92062,,,920622526_B,644406.61,6865844.95,A,SEPHORA,,,,62.09Z,NAFRev2,O,62.90Y
397480930,03464,39748093003464,O,2009-10-01,51,2023,,2025-12-06T03:35:28.281,true,A,O,,1994-06-13,5599,BOUYGUES TELECOM,,,,,,,,,,,61.20Z,NAFRev2,,N,,52,2023,03464,2025-12-06T10:47:58.277,GE,2023,13 A 15,13,,,AVENUE,DU MARECHAL JUIN,92360,MEUDON,,92048,,,920481609_B,642574.999388915,6854432.38025235,A,,,,,62.09Z,NAFRev2,O,62.90Y
423856343,00045,42385634300045,O,2026-01-02,NN,,,2025-12-23T10:26:49.265,false,A,O,,1999-07-30,5499,ALIENOR.NET,,,,,,,,,,,63.11Z,NAFRev2,,N,,12,2023,00037,2025-12-23T10:26:49.262,GE,2023,,30,,,RUE,SERGENT MICHEL BERTHET,69009,LYON,,69389,,,693896740_B,840288.95,6520646.21,A,,,,FIDUCIAL Y-PROXIMITE,62.09Z,NAFRev2,O,62.90Y
445088057,00069,44508805700069,O,2014-09-01,41,2023,,2025-12-06T03:55:12.233,false,A,O,,2003-01-27,5710,ACCENTURE TECHNOLOGY SOLUTIONS,,,,,,,,,,,62.02A,NAFRev2,,N,,42,2023,00077,2025-12-06T08:10:10.525,GE,2023,LIBERTY BAT A,68,,,BOULEVARD,MARCEL PAUL,44800,SAINT-HERBLAIN,,44162,,,441621593_B,350834.59249555104,6692911.730984136,A,,,,,62.09Z,NAFRev2,O,62.90Y
