siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
200006500,00041,20000650000041,O,2021-12-06,NN,,,2025-12-05T16:04:45.574,false,A,O,,2006-06-22,7378,AGENCE DE DEVELOPPEMENT POUR LA NORMANDIE,AD NORMANDIE,,,,,,,,,,84.13Z,NAFRev2,,,,21,2023,00025,2025-12-06T11:32:24.482,PME,2023,,2,,,,ESP ANTON PHILIPS,14460,COLOMBELLES,,14167,,,,,,A,CSIRT,,,,62.09Z,NAFRev2,N,62.90Y
250702156,00069,25070215600069,O,2024-01-01,NN,,,2025-12-05T16:52:39.402,false,A,O,,1995-11-03,7355,SM NUMERIAN,,,,,,,,,,,63.11Z,NAFRev2,,N,,11,2023,00051,2025-12-06T06:24:56.526,PME,2023,ZI RHONE VALLEE SUD,,,,QUA,CHAMBENIER SUD,07250,LE POUZIN,,07181,,,,,,A,REGIE AUTONOME DE NUMERIAN,,,,62.09Z,NAFRev2,O,62.90Y
301098109,00012,30109810900012,O,1974-01-01,NN,,2620ZZ,2025-12-05T17:15:05.047,true,A,O,,1974-01-01,5499,DM INDUSTRIE,A B I L,,,,,,,,,,62.09Z,NAFRev2,,,,NN,,00012,2025-12-06T09:26:57.588,PME,2023,VOIES C ET D ZI,14,,,AVENUE,DE LA TRENTAINE,77500,CHELLES,,77108,,,771083485_B,670800.501526886,6863291.155720126,A,,,,,62.09Z,NAFRev2,N,62.90Y
303393755,00028,30339375500028,O,1900-01-01,NN,,,2025-12-06T03:48:24.598,true,A,O,,1900-01-01,1000,,,M,GUEUGNON,,PHILIPPE,VICTOR,,,PHILIPPE,,62.09Z,NAFRev2,,,,NN,,00028,2025-12-06T09:06:49.719,PME,2023,,,,,PLACE,DE L’EGLISE,42120,COMMELLE-VERNAY,,42069,,,420690049_B,780899.2157432033,6545200.707243734,A,,,,,62.09Z,NAFRev2,N,62.90Y
304822778,00060,30482277800060,O,2010-09-15,NN,,,2025-12-05T18:00:58.71,true,A,O,,2002-01-01,1000,,,F,CHAMBON,,ANNE,MARIE,,,ANNE,,62.09Z,NAFRev2,,,,NN,,00060,2025-12-06T07:30:23.109,PME,2023,,14,,,RUE,POIRIER,94160,SAINT-MANDE,,94067,,,940677165_B,657413.1936659861,6860713.032373567,A,,,,,62.09Z,NAFRev2,N,62.90Y
309268613,00051,30926861300051,O,2022-09-01,NN,2023,,2025-12-05T17:41:37.084,true,A,O,,1977-01-01,5499,IP VOICES,SMTE,,,,,,,,,,62.09Z,NAFRev2,,N,,NN,2023,00051,2025-12-06T09:31:58.696,PME,2023,ZONE ECOPOLIS,3,,,ALLEE,ANDRE MARIE AMPERE,13500,MARTIGUES,,13056,,,130560027_B,864673.0403812332,6257005.174839665,A,,,,IP VOICES,62.09Z,NAFRev2,N,62.90Y
310137435,00023,31013743500023,O,2010-03-01,NN,,,2025-12-05T16:27:54.013,true,A,O,,1977-12-25,1000,,,M,CANNAUD,,GILLES,,,,GILLES,,62.09Z,NAFRev2,,,,NN,,00023,2025-12-06T07:52:23.519,PME,2023,,60,A,,IMPASSE,DU LORISSOL,73330,DOMESSIN,,73100,,,731000068_B,911554.9095337983,6496642.960921658,A,,,,,62.09Z,NAFRev2,N,62.90Y
310606694,00035,31060669400035,O,2012-11-26,NN,,,2025-12-05T18:56:42.475,true,A,O,,1900-01-01,1000,,,M,THIBAU,,DANIEL,CAMILLE,RENE,,DANIEL,,62.09Z,NAFRev2,,,,NN,,00035,2025-12-06T09:05:21.196,PME,2023,,12,,,RUE,HONORE DAUMIER,04100,MANOSQUE,,04112,,,041120436_B,922260.6330480675,6306983.357971826,A,,,,,62.09Z,NAFRev2,N,62.90Y
310669304,00027,31066930400027,O,2013-04-16,NN,,,2025-12-05T19:07:44.268,true,A,O,,1976-12-25,1000,,,M,JACKY,,DANIEL,,,,DANIEL,,62.09Z,NAFRev2,,,,NN,,00027,2025-12-06T05:59:13.49,PME,2023,,4,,,RUE,DU 11 NOVEMBRE,57190,FLORANGE,,57221,,,572210510_B,926771.5175794308,6918636.285377251,A,,,,,62.09Z,NAFRev2,N,62.90Y
313478547,00026,31347854700026,O,1900-01-01,NN,,,2025-12-06T04:43:27.559,true,A,O,,1900-01-01,1000,,,F,DE BEVY,,DE,LA,FAVERGE,ORESTE,DE,,62.09Z,NAFRev2,,,,NN,,00026,2025-12-06T09:21:12.493,PME,2023,,152,,,RUE,ANATOLE FRANCE,69100,VILLEURBANNE,,69266,,,692660150_B,846573.9888758517,6520598.092505403,A,,,,,62.09Z,NAFRev2,N,62.90Y
