siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
220900013,00354,22090001300354,O,2005-12-10,NN,,,2025-12-05T15:50:12.605,false,A,O,,1983-03-01,7220,DEPARTEMENT DE L ARIEGE,,,,,,,,,,,84.11Z,NAFRev2,,N,,42,2023,00016,2025-12-06T11:32:16.361,ETI,2023,HOTEL DU DEPARTEMENT,5,,,RUE,DU CAP DE LA VILLE,09000,FOIX,,09122,,,091220241_B,585714.0896894496,6208057.546643131,A,DEP CONVENTION NUMERIQUE NTIC,,,,61.90Z,NAFRev2,N,61.10Y
245901160,00060,24590116000060,O,2005-04-07,NN,,,2025-12-06T04:50:42.132,false,A,O,,2000-12-31,7348,COMMUNAUTE AGGLO VALENCIENNES METROPOLE,,,,,,,,,,,84.11Z,NAFRev2,,N,,32,2023,00011,2025-12-06T05:38:48.933,ETI,2023,HOPITAL DU HAINAUT,2,,,PLACE,DE L'HOPITAL GENERAL,59300,VALENCIENNES,,59606,,,596061990_B,737455.6383653285,7029542.628898475,A,RESEAU FIBRE OPTIQUE,,,,61.90Z,NAFRev2,N,61.10Y
338543770,00030,33854377000030,O,1991-04-01,12,2023,,2025-12-06T03:29:45.675,true,A,O,,1986-08-01,5710,KOESIO PACA TELECOM,,,,,,,,,,,33.20D,NAFRev2,,N,,12,2023,00030,2025-12-06T10:04:09.961,ETI,2023,ZI COURTINE OUEST,148,,,RUE,DU GRAND GIGOGNAN,84000,AVIGNON,,84007,,,840072434_B,843164.7076790083,6316145.467729561,A,,,,,61.90Z,NAFRev2,O,61.20Y
342404399,02877,34240439902877,O,1991-01-01,NN,,,2025-12-06T03:17:46.626,false,A,O,,1987-06-04,5710,T D F,TDF,,,,,,,,,,61.20Z,NAFRev2,,N,,42,2023,03453,2025-12-15T18:26:43.36,ETI,2023,,,,,,LA BUTTE,50300,SAINT-SENIER-SOUS-AVRANCHES,,50554,,,,,,A,,,,,61.90Z,NAFRev2,N,61.90Y
342404399,02976,34240439902976,O,1999-01-01,NN,,,2025-12-06T03:17:48.288,false,A,O,,1987-06-04,5710,T D F,TDF,,,,,,,,,,61.20Z,NAFRev2,,N,,42,2023,03453,2025-12-15T18:26:43.36,ETI,2023,,,,,,LA LONGUE BORNE,59151,BUGNICOURT,,59117,,,59117B019_B,710965.7010328069,7020991.871214981,A,,,,,61.90Z,NAFRev2,N,61.90Y
343163770,01003,34316377001003,O,2020-12-30,03,2023,,2025-12-06T04:36:19.802,false,A,O,,1987-11-26,5710,PARITEL OPERATEUR,,,,,,,,,,,61.10Z,NAFRev2,,N,,32,2023,00898,2026-02-04T16:56:50.605,ETI,2023,,30,T,,AVENUE,BARON LACROSSE,29850,GOUESNOU,,29061,,,290610057_B,148840.12366724608,6840706.847686924,A,,,,PARITEL OPERATEUR,61.90Z,NAFRev2,O,61.20Y
390072551,00133,39007255100133,O,2005-04-01,21,2023,,2025-12-05T22:14:32.339,false,A,O,,1993-01-01,5710,CIRCET,,,,,,,,,,,61.10Z,NAFRev2,,N,N,51,2023,00018,2026-01-22T18:53:56.976,ETI,2023,PARC D'ACTIVITES DU GOLF,6,,,RUE,PAUL VILLARD,69680,CHASSIEU,,69271,,,692710682_B,852350.8318752643,6517263.977972265,A,,,,,61.90Z,NAFRev2,O,61.90Y
390072551,00208,39007255100208,O,2010-01-01,21,2023,,2025-12-05T21:32:45.191,false,A,O,,1993-01-01,5710,CIRCET,,,,,,,,,,,61.10Z,NAFRev2,,N,N,51,2023,00018,2026-01-22T18:53:56.976,ETI,2023,LES BAUX,,,,ROUTE,NATIONALE 8,13420,GEMENOS,,13042,,,130420324_B,914797.880968741,6244856.4470591135,A,,,,,61.90Z,NAFRev2,O,61.90Y
390072551,00257,39007255100257,O,2011-02-01,11,2023,,2025-12-05T22:31:25.73,false,A,O,,1993-01-01,5710,CIRCET,,,,,,,,,,,61.10Z,NAFRev2,,N,N,51,2023,00018,2026-01-22T18:53:56.976,ETI,2023,,,,,,BLACHES GOMBERT,04160,CHATEAU ARNOUX SAINT AUBAN,,04049,,,04049B009_C,,,A,,,,,61.90Z,NAFRev2,O,61.90Y
390072551,00281,39007255100281,O,2011-09-01,21,2023,,2025-12-06T04:06:59.127,false,A,O,,1993-01-01,5710,CIRCET,,,,,,,,,,,61.10Z,NAFRev2,,N,N,51,2023,00018,2026-01-22T18:53:56.976,ETI,2023,,35,,,RUE,DE LA MOTTE,93300,AUBERVILLIERS,,93001,,,930016180_B,655746.7849183553,6867925.964151802,A,,,,,61.90Z,NAFRev2,O,61.90Y
