siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
339719775,00076,33971977500076,O,2009-03-01,01,2023,,2025-12-06T04:05:45.473,false,A,O,,1986-12-22,5710,ENGINEERING RESEAUX COMMUNICATIONS,ERCOM,,,,,,,,,,61.90Z,NAFRev2,,N,,21,2023,00084,2025-12-06T06:23:36.607,GE,2023,TOUR SUISSE,1,,,BOULEVARD,MARIUS VIVIER-MERLE,69003,LYON,,69383,,,693837520_B,844466.9834804594,6519150.375557507,A,,,,,61.90Z,NAFRev2,O,61.90Y
339719775,00084,33971977500084,O,2010-01-04,21,2023,,2025-12-05T19:53:32.026,true,A,O,,1986-12-22,5710,ENGINEERING RESEAUX COMMUNICATIONS,ERCOM,,,,,,,,,,61.90Z,NAFRev2,,N,,21,2023,00084,2025-12-06T06:23:36.607,GE,2023,IMMEUBLE EMERAUDE6-10,6,,,RUE,DEWOITINE,78140,VELIZY-VILLACOUBLAY,,78640,,,786400142_B,642402.7104710361,6853915.259763611,A,,,,,61.90Z,NAFRev2,O,61.90Y
339719775,00092,33971977500092,O,2017-10-01,01,2023,,2025-12-05T21:32:45.025,false,A,O,,1986-12-22,5710,ENGINEERING RESEAUX COMMUNICATIONS,ERCOM,,,,,,,,,,61.90Z,NAFRev2,,N,,21,2023,00084,2025-12-06T06:23:36.607,GE,2023,,9,,,RUE,GRAND RUE,13002,MARSEILLE,,13202,,,132024211_B,892609.5212044062,6247174.078891119,A,ERCOM,,,,61.90Z,NAFRev2,O,61.90Y
343778163,00067,34377816300067,O,2008-06-01,02,2023,,2025-12-06T02:47:31.457,false,A,O,,1988-02-08,5599,SERES,,,,,,,,,,,63.11Z,NAFRev2,,N,,21,2023,00117,2025-12-06T05:26:45.464,GE,2023,,327,,,BOULEVARD,MICHELET,13009,MARSEILLE,,13209,,,132096045_B,894959.0644202459,6242824.656079223,A,,,,,61.90Z,NAFRev2,O,61.20Y
349602045,00024,34960204500024,O,2007-10-01,NN,,,2025-12-05T22:02:45.155,true,A,O,,1989-01-31,5710,BNP PARIBAS PARTNERS FOR INNOVATION GLOBAL CONNECT,,,,,,,,,,,61.90Z,NAFRev2,,N,,NN,,00024,2025-12-06T05:47:57.102,GE,2023,,1,,,BOULEVARD,HAUSSMANN,75009,PARIS,,75109,,,751094485_B,651469.9016138214,6863765.692087834,A,,,,BP2I GLOBAL CONNECT,61.90Z,NAFRev2,N,61.90Y
383678760,00133,38367876000133,O,2001-04-01,02,2023,,2025-12-05T21:21:44.941,false,A,O,,1991-10-28,5710,OUTREMER TELECOM,,,,,,,,,,,61.20Z,NAFRev2,,N,,32,2023,00018,2025-12-06T05:26:37.034,GE,2023,IMMEUBLE LES DAUPHINS,,,,RPT,DE MONNERVILLE,97310,KOUROU,,97304,,,,,,A,OUTREMER TELECOM,,,,61.90Z,NAFRev2,O,61.90Y
383678760,00158,38367876000158,O,2000-09-30,03,2023,,2025-12-06T02:49:45.725,false,A,O,,1991-10-28,5710,OUTREMER TELECOM,,,,,,,,,,,61.20Z,NAFRev2,,N,,32,2023,00018,2025-12-06T05:26:37.034,GE,2023,CENTRE CCIAL MILENIS,,,,,DOTHEMARE,97139,LES ABYMES,,97101,,,97101ntcgub_B,659137.957471236,1799557.117537078,A,,,,,61.90Z,NAFRev2,O,61.90Y
383678760,00174,38367876000174,O,2004-10-20,02,2023,,2025-12-06T04:37:32.431,false,A,O,,1991-10-28,5710,OUTREMER TELECOM,,,,,,,,,,,61.20Z,NAFRev2,,N,,32,2023,00018,2025-12-06T05:26:37.034,GE,2023,C.CCIAL HYPER CAYENNE -LOC,,,,LOTISSEMENT,ZI COLLERY V,97300,CAYENNE,,97302,,,97302A138_B,353277.9875342039,542021.8939456604,A,,,,,61.90Z,NAFRev2,O,61.90Y
383678760,00299,38367876000299,O,2007-10-29,02,2023,,2025-12-06T02:14:33.243,false,A,O,,1991-10-28,5710,OUTREMER TELECOM,,,,,,,,,,,61.20Z,NAFRev2,,N,,32,2023,00018,2025-12-06T05:26:37.034,GE,2023,,3,,,RUE,DU COURS NOLIVOS,97100,BASSE-TERRE,,97105,,,971050240_B,635880.9077143004,1768767.5247422364,A,ONLY,,,,61.90Z,NAFRev2,O,61.90Y
383678760,00422,38367876000422,O,2008-11-01,03,2023,,2025-12-05T21:25:14.963,false,A,O,,1991-10-28,5710,OUTREMER TELECOM,,,,,,,,,,,61.20Z,NAFRev2,,N,,32,2023,00018,2025-12-06T05:26:37.034,GE,2023,RDC LOT 52 CENTRE COMMERCIAL,,,,PLACE,D'ARMES,97232,LE LAMENTIN,,97213,,,97213B334_B,716475.742527788,1616780.5793303354,A,ONLY,,,,61.90Z,NAFRev2,O,61.90Y
