siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
024054090,00014,02405409000014,O,2000-03-16,NN,,,2025-12-05T19:46:34.153,true,A,O,,2000-03-16,5499,TELECOMMUNICATION OCEAN INDIEN,,,,,,,,,,,61.90Z,NAFRev2,,,,NN,,00014,2025-12-06T11:07:39.719,PME,2023,IMMEUBLE SANA APPT. 4,,,,,ZI KAWENI,97600,MAMOUDZOU,,97611,,,,,,A,,,,,61.90Z,NAFRev2,N,61.90Y
024054090,00030,02405409000030,O,2001-03-26,NN,,,2025-12-05T22:14:32.419,false,A,O,,2000-03-16,5499,TELECOMMUNICATION OCEAN INDIEN,,,,,,,,,,,61.90Z,NAFRev2,,,,NN,,00014,2025-12-06T11:07:39.719,PME,2023,,16,,,AVENUE,STANISLAS GIMART,97490,SAINT-DENIS,,97411,,,974111367_B,341362.28056188236,7688610.688118003,A,STOI,,,,61.90Z,NAFRev2,N,61.90Y
024055618,00011,02405561800011,O,1999-10-18,NN,,,2025-12-06T02:32:27.689,true,A,O,,1999-10-18,5499,HORIZON TELECOM,,,,,,,,,,,61.90Z,NAFRev2,,,,NN,,00011,2025-12-06T08:46:37.101,PME,2023,,,,,,ZI KAWENI,97600,MAMOUDZOU,,97611,,,,,,A,,,,,61.90Z,NAFRev2,N,61.90Y
054398045,00028,05439804500028,O,2010-06-02,NN,,,2025-12-06T03:44:09.801,true,A,O,,2005-03-02,5510,STOI INTERNET,,,,,,,,,,,61.90Z,NAFRev2,,N,,NN,,00028,2025-12-06T06:39:28.588,PME,2023,,,,,PL,MARIAGE BAT C 2EME ETAGE,97600,MAMOUDZOU,,97611,,,,,,A,,,,,61.90Z,NAFRev2,O,61.90Y
054398045,00036,05439804500036,O,2019-11-01,NN,,,2025-12-05T23:02:18.924,false,A,O,,2005-03-02,5510,STOI INTERNET,,,,,,,,,,,61.90Z,NAFRev2,,N,,NN,,00028,2025-12-06T06:39:28.588,PME,2023,,42,,,,RTE NATIONALE,97660,BANDRELE,,97603,,,,,,A,,,,,61.90Z,NAFRev2,O,61.90Y
054399324,00018,05439932400018,O,2005-05-09,NN,,,2025-12-05T22:42:58.516,true,A,O,,2005-05-09,1000,,,M,SAID,,ANTHOUMANI,,,,ANTHOUMANI,,61.90Z,NAFRev2,,,,NN,,00018,2025-12-06T08:29:52.463,PME,2023,,,,,LOT,CARREFOUR DZOUMOGNE -TOUT PRES D,97650,BANDRABOUA,,97602,,,,,,A,,,,,61.90Z,NAFRev2,N,61.20Y
066305160,00013,06630516000013,O,2005-12-13,NN,,,2025-12-05T21:31:37.566,true,A,O,,2005-12-13,5499,MAORE PHONE PLUS,,,,,,,,,,,61.90Z,NAFRev2,,,,NN,,00013,2025-12-06T08:24:26.885,PME,2023,,15,,,RUE,DU COMMERCE,97615,DZAOUDZI,,97608,,,976081070_B,529508.6264943052,8586201.63900663,A,,,,,61.90Z,NAFRev2,O,61.20Y
066308586,00016,06630858600016,O,2006-05-24,NN,,,2025-12-06T00:49:36.035,true,A,O,,2006-05-24,5499,COMPAGNIE MAHORAISE INTERNET ET TELECOMMUNICATIONS,,,,,,,,,,,61.90Z,NAFRev2,,,,NN,,00016,2025-12-06T06:17:51.817,PME,2023,BAT C 2EME ETAGE,13,,,PL,MARIAGE,97600,MAMOUDZOU,,97611,,,976114090_C,,,A,,,,,61.90Z,NAFRev2,N,61.20Y
066308602,00011,06630860200011,O,2006-05-29,NN,,,2025-12-06T02:26:12.865,true,A,O,,2006-05-29,5499,COMPAGNIE MAHORAISE DE TELEPHONE MOBILE,,,,,,,,,,,61.90Z,NAFRev2,,,,NN,,00011,2025-12-06T10:29:14.593,PME,2023,BAT C 2EME ETAGE,13,,,PL,MARIAGE,97600,MAMOUDZOU,,97611,,,976114090_C,,,A,,,,,61.90Z,NAFRev2,N,61.90Y
094129293,00034,09412929300034,O,2017-02-02,NN,,,2025-12-06T03:02:51.166,true,A,O,,1989-11-27,1000,,,F,BABOU,,MOUZIDALIFA,,,,MOUZIDALIFA,,61.90Z,NAFRev2,,,,NN,,00034,2025-12-06T11:16:50.27,PME,2023,ILONI,,,,RTE,NATIONALE 3,97660,DEMBENI,,97607,,,976076000_C,,,A,,,,MARINI SERVICE @,61.90Z,NAFRev2,N,61.90Y
