siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
094136181,00024,09413618100024,O,2013-02-01,NN,,,2025-12-06T04:06:40.268,true,A,O,,1996-11-28,5710,ASSISTANCE MAITRISE CONSEIL INFORMATIQUE MAYOTTE (A.M.C.I SERVICES MAYOTTE),A.M.C.I SERVICE,,,,,,,,,,62.02A,NAFRev2,,N,,NN,,00024,2025-12-06T06:40:07.329,ETI,2023,ZI KAWENI CHEZ CONSEIL ET AUDIT MOI,,,,,IMMEUBLE MEGA,97600,MAMOUDZOU,,97611,,,,,,A,,,,,62.02A,NAFRev2,O,62.20G
197819444,00252,19781944400252,O,2000-09-01,11,2023,,2025-12-06T04:45:36.772,false,A,O,,1991-08-29,7383,UNIVERSITE DE VERSAILLES-SAINT-QUENTIN-EN-YVELINES,UVSQ,,,,,,,,,,85.42Z,NAFRev2,,N,,42,2023,00013,2025-12-06T05:41:01.786,ETI,2023,,55,,,AVENUE,DE PARIS,78000,VERSAILLES,,78646,,,786462180_B,636942.9726101183,6855839.553237358,A,CENTRE DE RESSOURCES INFORMATIQUES,,,,62.02A,NAFRev2,N,62.20G
301940011,00341,30194001100341,O,1992-03-16,NN,,,2025-12-05T16:00:13.898,false,A,O,,1984-11-01,5710,FUJITSU TECHNOLOGY SOLUTIONS,,,,,,,,,,,62.02A,NAFRev2,,N,,32,2023,00846,2025-12-06T07:30:47.01,ETI,2023,PARC DE L ANGEVINIERE,,,,BOULEVARD,MARCEL PAUL,44800,SAINT-HERBLAIN,,44162,,,441621593_B,350029.6746025526,6692090.791686962,A,,,,,62.02A,NAFRev2,N,62.20H
301940011,00515,30194001100515,O,1994-08-01,11,2023,,2025-12-06T00:40:00.703,false,A,O,,1984-11-01,5710,FUJITSU TECHNOLOGY SOLUTIONS,,,,,,,,,,,62.02A,NAFRev2,,N,,32,2023,00846,2025-12-06T07:30:47.01,ETI,2023,ZI ARRAS EST,,,,RUE,HANS GEIGER,62000,ARRAS,,62041,,,620411989_B,686251.8667549986,7021217.828095318,A,,,,,62.02A,NAFRev2,O,62.20H
301940011,00739,30194001100739,O,2006-01-01,NN,,,2025-12-06T03:58:43.781,false,A,O,,1984-11-01,5710,FUJITSU TECHNOLOGY SOLUTIONS,,,,,,,,,,,62.02A,NAFRev2,,N,,32,2023,00846,2025-12-06T07:30:47.01,ETI,2023,,100,,,AVENUE,DU GENERAL LECLERC,93500,PANTIN,,93055,,,930554145_B,656365.3740685461,6866535.679076587,A,,,,,62.02A,NAFRev2,N,62.20H
301940011,00838,30194001100838,O,2021-07-01,11,2023,,2025-12-05T18:59:20.638,false,A,O,,1984-11-01,5710,FUJITSU TECHNOLOGY SOLUTIONS,,,,,,,,,,,62.02A,NAFRev2,,N,,32,2023,00846,2025-12-06T07:30:47.01,ETI,2023,,390,,,RUE,D’ESTIENNE D’ORVES,92700,COLOMBES,,92025,,,920253170_B,643791.6674276908,6868050.2954472145,A,,,,,62.02A,NAFRev2,O,62.20H
301940011,00846,30194001100846,O,2021-07-01,32,2023,,2025-12-06T00:03:37.824,true,A,O,,1984-11-01,5710,FUJITSU TECHNOLOGY SOLUTIONS,,,,,,,,,,,62.02A,NAFRev2,,N,,32,2023,00846,2025-12-06T07:30:47.01,ETI,2023,TOUR ALTO 1,,,,PL,ZAHA HADID,92400,COURBEVOIE,,92026,,,,,,A,,,,,62.02A,NAFRev2,O,62.20H
304850795,00051,30485079500051,O,2006-11-01,12,2023,,2025-12-05T20:23:22.958,true,A,O,,1975-01-01,5710,APPLIC SCE ETUDES INGENIERIES INFORMATIQ,ASE 2I,,,,,,,,,,62.02A,NAFRev2,,,,12,2023,00051,2025-12-06T09:06:57.032,ETI,2023,ZAC AEROPARC,23,,,RUE,ICARE,67960,ENTZHEIM,,67124,,,671240264_B,1043172.5110906498,6837480.735443901,A,,,,,62.02A,NAFRev2,O,62.20G
305163040,00101,30516304000101,O,2004-01-01,12,2023,,2025-12-06T00:04:37.274,false,A,O,,1986-12-22,5710,CIRIL GROUP,,,,,,,,,,,62.02A,NAFRev2,,N,,32,2023,00119,2025-12-06T05:25:38.131,ETI,2023,ZAC DE BEAUPUY,,,,IMPASSE,RENE FONCK,85000,LA ROCHE-SUR-YON,,85191,,,851910856_B,361974.5005246874,6632280.812940227,A,,,,,62.02A,NAFRev2,O,62.20G
305163040,00119,30516304000119,O,2010-09-13,32,2023,,2025-12-05T19:17:11.83,true,A,O,,1986-12-22,5710,CIRIL GROUP,,,,,,,,,,,62.02A,NAFRev2,,N,,32,2023,00119,2025-12-06T05:25:38.131,ETI,2023,,49,,,AVENUE,ALBERT EINSTEIN,69100,VILLEURBANNE,,69266,,,692660030_B,846687.5564552366,6522308.255722474,A,,,,,62.02A,NAFRev2,O,62.20G
