siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
301850277,00288,30185027700288,O,2019-02-04,41,2023,,2025-12-06T04:17:49.408,true,A,O,,1977-01-01,5710,STIME,STIME,,,,,,,,,,62.02A,NAFRev2,,N,,41,2023,00288,2025-12-06T05:18:23.061,GE,2023,117-133,117,,,AVENUE,DE LA REPUBLIQUE,92320,CHATILLON,,92020,,,920208135_B,648436.302267957,6856364.236948142,A,,,,,62.02A,NAFRev2,O,62.20G
308884998,00581,30888499800581,O,2021-10-01,01,2023,,2025-12-06T04:16:50.615,false,A,O,,1983-01-21,5710,AKKODIS INGENIERIE PRODUIT SAS,,,,,,,,,,,71.12B,NAFRev2,,N,,42,2023,00482,2026-01-08T13:01:56.852,GE,2023,LES ALGORITHMES SOPHIA ANTIPOLIS,2000,,,ROUTE,DES LUCIOLES,06410,BIOT,,06018,,,060180445_B,1028201.3192797308,6288131.4019546965,A,,,,,62.02A,NAFRev2,O,62.20G
311772925,00120,31177292500120,O,2021-01-01,02,2023,,2025-12-05T20:40:30.632,false,A,O,,1981-01-01,5710,ENTR GENER ELECTRIFIC RATIONELLE,EGER,,,,,,,,,,43.21A,NAFRev2,,N,,21,2023,00047,2025-12-06T05:10:12.051,GE,2023,ZI,,,,PLACE,D'ARMES,97232,LE LAMENTIN,,97213,,,97213B334_B,716475.742527788,1616780.5793303354,A,,,,,62.02A,NAFRev2,O,62.20G
312212301,02233,31221230102233,O,2018-09-19,11,2023,,2025-12-06T03:42:04.448,false,A,O,,1978-01-01,5599,RENAULT RETAIL GROUP,,,,,,,,,,,45.11Z,NAFRev2,,N,N,51,2023,02001,2025-12-06T05:43:20.699,GE,2023,,3,,,RUE,MERE TERESA,44800,SAINT-HERBLAIN,,44162,,,441621653_B,349169.8702071234,6690372.558618972,A,,,,,62.02A,NAFRev2,N,62.20G
312730674,00396,31273067400396,O,2018-01-01,01,2023,,2025-12-05T23:58:06.348,false,A,O,,1978-01-01,5710,EURO-INFORMATION EUROPEENNE DE TRAITEMENT DE L'INFORMATION,EURO INFORMATION,,,,,,,,,,62.03Z,NAFRev2,,N,,12,2023,00016,2025-12-06T06:23:28.492,GE,2023,,18,,,RUE,CONTADES,67300,SCHILTIGHEIM,,67447,,,674470330_B,1050367.6874597187,6844164.681552727,A,,,,,62.02A,NAFRev2,O,62.20G
312730674,00446,31273067400446,O,2019-09-01,NN,,,2025-12-05T18:19:29.003,false,A,O,,1978-01-01,5710,EURO-INFORMATION EUROPEENNE DE TRAITEMENT DE L'INFORMATION,EURO INFORMATION,,,,,,,,,,62.03Z,NAFRev2,,N,,12,2023,00016,2025-12-06T06:23:28.492,GE,2023,BATIMENT B2,20,,,BOULEVARD,DE DRESDE,67000,STRASBOURG,,67482,,,674821888_B,1051215.48009121,6843785.175540778,A,,,,,62.02A,NAFRev2,O,62.20G
312730674,00511,31273067400511,O,2020-09-01,01,2023,,2025-12-06T03:53:49.15,false,A,O,,1978-01-01,5710,EURO-INFORMATION EUROPEENNE DE TRAITEMENT DE L'INFORMATION,EURO INFORMATION,,,,,,,,,,62.03Z,NAFRev2,,N,,12,2023,00016,2025-12-06T06:23:28.492,GE,2023,,20,,,RUE,CONTADES,67300,SCHILTIGHEIM,,67447,,,674470330_B,1050402.0374696595,6844159.736115048,A,,,,,62.02A,NAFRev2,N,62.20G
312730674,00552,31273067400552,O,2021-02-15,NN,,,2025-12-06T00:04:38.772,false,A,O,,1978-01-01,5710,EURO-INFORMATION EUROPEENNE DE TRAITEMENT DE L'INFORMATION,EURO INFORMATION,,,,,,,,,,62.03Z,NAFRev2,,N,,12,2023,00016,2025-12-06T06:23:28.492,GE,2023,,18,,,RUE,DE RENNES,49100,ANGERS,,49007,,,490076780_B,432783.76442566805,6714564.28852341,A,,,,,62.02A,NAFRev2,N,62.20G
312730674,00586,31273067400586,O,2022-07-01,NN,,,2025-12-05T18:22:32.869,false,A,O,,1978-01-01,5710,EURO-INFORMATION EUROPEENNE DE TRAITEMENT DE L'INFORMATION,EURO INFORMATION,,,,,,,,,,62.03Z,NAFRev2,,N,,12,2023,00016,2025-12-06T06:23:28.492,GE,2023,,7,,,RUE,SAINT-GEORGES,75009,PARIS,,75109,,,751098617_B,651372.979686323,6864077.755571538,A,,,,,62.02A,NAFRev2,N,62.20G
312730674,00636,31273067400636,O,2024-07-17,NN,,,2025-12-06T00:52:24.228,false,A,O,,1978-01-01,5710,EURO-INFORMATION EUROPEENNE DE TRAITEMENT DE L'INFORMATION,EURO INFORMATION,,,,,,,,,,62.03Z,NAFRev2,,N,,12,2023,00016,2025-12-06T06:23:28.492,GE,2023,,,,,,ZAE BOULOUZE RUE DU BASSIN,21110,FAUVERNEY,,21261,,,212614gmr1c_B,861533.07,6687325.31,A,,,,,62.02A,NAFRev2,N,62.20G
313609133,00167,31360913300167,O,2025-04-15,NN,,,2025-12-05T18:45:26.543,false,A,O,,1978-01-01,5710,STEF INFORMATION ET TECHNOLOGIES,,,,,,,,,,,62.02A,NAFRev2,,N,,32,2023,00050,2025-12-06T05:39:10.904,GE,2023,,12,,,RUE,DE PENTHIEVRE,75008,PARIS,,75108,,,751087237_B,649857.41,6863882.73,A,,,,,62.02A,NAFRev2,O,62.20G
315000943,00417,31500094300417,O,2006-02-01,32,2023,,2025-12-05T16:49:51.866,false,A,O,,1979-01-01,5599,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,SII,,,,,,,,,,62.02A,NAFRev2,,N,N,52,2023,00862,2025-12-06T10:49:14.172,GE,2023,L'ESCAPADE . BAT B . RN 7,,,,,HAMEAU DE PALETTE,13100,LE THOLONET,,13109,,,,,,A,,,,,62.02A,NAFRev2,O,62.20G
315000943,00532,31500094300532,O,2010-11-18,41,2023,,2025-12-06T04:55:01.848,false,A,O,,1979-01-01,5599,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,SII,,,,,,,,,,62.02A,NAFRev2,,N,N,52,2023,00862,2025-12-06T10:49:14.172,GE,2023,,3,B,,AVENUE,DE BELLE FONTAINE,35510,CESSON-SEVIGNE,,35051,,,350510074_B,356071.1588706632,6790871.3934371825,A,,,,,62.02A,NAFRev2,O,62.20G
315000943,00565,31500094300565,O,2011-11-01,NN,,,2025-12-05T17:22:56.595,false,A,O,,1979-01-01,5599,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,SII,,,,,,,,,,62.02A,NAFRev2,,N,N,52,2023,00862,2025-12-06T10:49:14.172,GE,2023,,7,,,RUE,PAULIN TALABOT,31100,TOULOUSE,,31555,,,315556662_B,569564.5477254206,6275257.6239491375,A,,,,,62.02A,NAFRev2,O,62.20G
315000943,00599,31500094300599,O,2015-02-01,NN,,,2025-12-06T04:09:49.215,false,A,O,,1979-01-01,5599,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,SII,,,,,,,,,,62.02A,NAFRev2,,N,N,52,2023,00862,2025-12-06T10:49:14.172,GE,2023,ESPACE VOLTA,1,,,RUE,ANDRE-MARIE AMPERE,22300,LANNION,,22113,,,221130037_B,225218.90286413708,6870145.678187949,A,,,,,62.02A,NAFRev2,N,62.20G
315000943,00615,31500094300615,O,2016-09-01,NN,,,2025-12-05T19:08:59.427,false,A,O,,1979-01-01,5599,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,SII,,,,,,,,,,62.02A,NAFRev2,,N,N,52,2023,00862,2025-12-06T10:49:14.172,GE,2023,ZI LA FRAYERE SPACE CAMP,4,,,ALLEE,DES CORMORANS,06150,CANNES,,06029,,,060290844_B,1019835.5117784629,6279655.2548224395,A,,,,,62.02A,NAFRev2,N,62.20G
315000943,00631,31500094300631,O,2015-03-01,NN,,,2025-12-05T16:04:07.781,false,A,O,,1979-01-01,5599,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,SII,,,,,,,,,,62.02A,NAFRev2,,N,N,52,2023,00862,2025-12-06T10:49:14.172,GE,2023,BATIMENT C,14,,,ALLEE,CHARLES PATHE,18000,BOURGES,,18033,,,18033gv16_B,649666.2734942436,6660761.862338397,A,,,,,62.02A,NAFRev2,N,62.20G
315000943,00649,31500094300649,O,2016-07-01,NN,,,2025-12-05T20:03:05.693,false,A,O,,1979-01-01,5599,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,SII,,,,,,,,,,62.02A,NAFRev2,,N,N,52,2023,00862,2025-12-06T10:49:14.172,GE,2023,CENTRE CEMOI BAT A,12,,,RUE,AMPERE,38000,GRENOBLE,,38185,,,381850420_B,912448.5188161914,6457616.464812966,A,,,,,62.02A,NAFRev2,N,62.20G
315000943,00664,31500094300664,O,2016-03-01,NN,,,2025-12-06T00:21:31.544,false,A,O,,1979-01-01,5599,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,SII,,,,,,,,,,62.02A,NAFRev2,,N,N,52,2023,00862,2025-12-06T10:49:14.172,GE,2023,,64,,,CHEMIN,DE LA CAPELLANE,83140,SIX-FOURS-LES-PLAGES,,83129,,,831290334_B,931931.3096877257,6228838.89790583,A,,,,,62.02A,NAFRev2,N,62.20G
315000943,00706,31500094300706,O,2018-11-12,31,2023,,2025-12-05T17:43:23.104,false,A,O,,1979-01-01,5599,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,SII,,,,,,,,,,62.02A,NAFRev2,,N,N,52,2023,00862,2025-12-06T10:49:14.172,GE,2023,IMMEUBLE NOVA SOPHIA SOPHIA ANTIPOLIS,291,,,RUE,ALBERT CAQUOT,06560,VALBONNE,,06152,,,061520005_B,1027413.6753207741,6288390.323005909,A,,,,,62.02A,NAFRev2,O,62.20G
315000943,00714,31500094300714,O,2019-02-08,32,2023,,2025-12-06T00:22:30.404,false,A,O,,1979-01-01,5599,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,SII,,,,,,,,,,62.02A,NAFRev2,,N,N,52,2023,00862,2025-12-06T10:49:14.172,GE,2023,10 RUE MAGDELEINE,,,,BOULEVARD,DE LA PRAIRIE AU DUC,44200,NANTES,,44109,,,441096896_B,354744.75609902584,6688201.662142136,A,,,,,62.02A,NAFRev2,O,62.20G
