siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
100032309,00013,10003230900013,O,2026-01-18,NN,,,2026-01-26T17:31:53.691,true,A,O,,2026-01-18,5710,SIRENE GAMES,,,,,,,,,,,58.21Z,NAFRev2,,N,N,NN,,00013,2026-01-26T17:31:53.691,,,APPARTEMENT C41,9,,,IMPASSE,DES DATURAS,31140,AUCAMVILLE,,31022,,,310220121_B,572764.35,6287113.15,A,,,,,58.21Z,NAFRev2,N,58.21Y
100032408,00013,10003240800013,P,2025-11-08,NN,,,2026-01-20T07:26:37.115,true,A,P,,2025-11-08,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],58.21Z,NAFRev2,,,,NN,,00013,2026-01-20T07:26:37.115,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],CHOLET,,49099,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],58.21Z,NAFRev2,N,58.21Y
100034719,00011,10003471900011,O,2026-01-17,NN,,,2026-01-20T17:47:43.571,true,A,O,,2026-01-17,5710,TENTACULE MAUVE,TM,,,,,,,,,,58.21Z,NAFRev2,,N,N,NN,,00011,2026-01-20T17:47:43.57,,,,179,,,ROUTE,DU CHEF LIEU,74540,MURES,,74194,,,741940060_B,935828.95,6527331.63,A,,,,,58.21Z,NAFRev2,N,58.21Y
100071687,00014,10007168700014,O,2026-01-20,NN,,,2026-02-03T16:31:34.691,true,A,O,,2026-01-20,5710,FLIPPIN' STUFF,,,,,,,,,,,58.21Z,NAFRev2,,N,N,NN,,00014,2026-02-03T16:31:34.69,,,LT 20 LES RESIDENCES DU CHENE VERT,34,,,RUE,DES PIGEONS,85500,LES HERBIERS,,85109,,,851091902_B,395516.44,6646331.83,A,,,,,58.21Z,NAFRev2,N,58.21Y
100090380,00013,10009038000013,O,2026-01-20,NN,,,2026-01-21T07:28:53.366,true,A,O,,2026-01-20,1000,,,M,LOMBARD,,FLORENTIN,JEAN-PAUL,MARCEAU,,FLORENTIN,,58.21Z,NAFRev2,,,,NN,,00013,2026-01-21T07:28:53.365,,,APPARTEMENT 237,6,,,PLACE,DE L'HOPITAL GENERAL,59300,VALENCIENNES,,59606,,,596061990_B,737456.5,7029530.94,A,,,,,58.21Z,NAFRev2,N,58.21Y
100100197,00019,10010019700019,P,2026-01-20,NN,,,2026-01-21T08:48:14.915,true,A,P,,2026-01-20,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],58.21Z,NAFRev2,,,,NN,,00019,2026-01-21T08:48:14.914,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],ECHIROLLES,,38151,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],58.21Z,NAFRev2,N,58.21Y
100122050,00014,10012205000014,P,2026-01-21,NN,,,2026-01-21T12:29:29.523,true,A,P,,2026-01-21,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],58.21Z,NAFRev2,,,,NN,,00014,2026-01-21T12:29:29.522,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],PARIS,,75117,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],58.21Z,NAFRev2,N,58.21Y
100133826,00014,10013382600014,P,2026-01-20,NN,,,2026-01-21T15:48:58.344,true,A,P,,2026-01-20,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],58.21Z,NAFRev2,,,,NN,,00014,2026-01-21T15:48:58.342,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],PARIS,,75111,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],58.21Z,NAFRev2,N,58.21Y
100164797,00019,10016479700019,P,2026-06-01,NN,,,2026-01-22T09:15:15.369,true,A,P,,2026-06-01,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],58.21Z,NAFRev2,,,,NN,,00019,2026-01-22T09:15:15.369,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],CHATENAY-MALABRY,,92019,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],58.21Z,NAFRev2,N,58.21Y
100169507,00017,10016950700017,O,2025-12-12,NN,,,2026-01-23T10:01:51.096,true,A,O,,2025-12-12,5710,MUJINA,,,,,,,,,,,58.21Z,NAFRev2,,N,N,NN,,00017,2026-01-23T10:01:51.095,,,BUREAU 3,9,,,RUE,DE CONDE,33000,BORDEAUX,,33063,,,330632240_B,417733.02,6422436.5,A,,,,,58.21Z,NAFRev2,N,58.21Y
100184381,00018,10018438100018,O,2025-12-20,NN,,,2026-01-22T14:18:49.925,true,A,O,,2025-12-20,9220,LES DES VOX'EURE,,,,,,,,,,,58.21Z,NAFRev2,W273009415,O,N,NN,,00018,2026-01-22T14:18:49.924,,,,10,,,PLACE,BANCE,27180,CLAVILLE,,27161,,,271610005_B,555227.51,6884963.74,A,,,,,58.21Z,NAFRev2,N,58.21Y
100214162,00016,10021416200016,O,2026-02-01,NN,,,2026-01-26T17:32:06.145,true,A,O,,2026-02-01,5710,ZELPHIX GAMES,,,,,,,,,,,58.21Z,NAFRev2,,N,N,NN,,00016,2026-01-26T17:32:06.144,,,,41,,43,QUAI,DE MALAKOFF,44000,NANTES,,44109,,,441095252_C,,,A,,,,,58.21Z,NAFRev2,N,58.21Y
100214659,00011,10021465900011,P,2025-12-01,NN,,,2026-01-23T08:29:56.083,true,A,P,,2025-12-01,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],58.21Z,NAFRev2,,,,NN,,00011,2026-01-23T08:29:56.083,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],BOLBEC,,76114,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],58.21Z,NAFRev2,N,58.21Y
100232248,00011,10023224800011,P,2026-01-22,NN,,,2026-01-23T11:15:23.246,true,A,P,,2026-01-22,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],58.21Z,NAFRev2,,,,NN,,00011,2026-01-23T11:15:23.245,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],THIONVILLE,,57672,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],58.21Z,NAFRev2,N,58.21Y
100288802,00018,10028880200018,O,2026-01-19,NN,,,2026-01-26T13:02:40.014,true,A,O,,2026-01-19,5710,ETHICALL GAMES,,,,,,,,,,,58.21Z,NAFRev2,,N,N,NN,,00018,2026-01-26T13:02:40.014,,,,23,,,AVENUE,ROGER SALENGRO,34170,CASTELNAU-LE-LEZ,,34057,,,340570940_B,772426.56,6281725.48,A,,,,,58.21Z,NAFRev2,N,62.10Y
100295633,00018,10029563300018,O,2026-01-25,NN,,,2026-01-26T08:46:07.931,true,A,O,,2026-01-25,1000,,,M,PRUVOST,,PIERRE,,,,PIERRE,,58.21Z,NAFRev2,,,,NN,,00018,2026-01-26T08:46:07.931,,,,20,,,CHEMIN,DES GRANDES COTES,57160,SCY-CHAZELLES,,57642,,,57642b033_B,927318.22,6894391.83,A,,,,CUBI MC,58.21Z,NAFRev2,N,58.21Y
100310655,00012,10031065500012,O,2026-01-27,NN,,,2026-01-26T09:55:32.973,true,A,O,,2026-01-27,1000,,,M,LECARDONNEL--COLSON,,ALEXIS,CHRISTOPHE,,,ALEXIS,,58.21Z,NAFRev2,,,,NN,,00012,2026-01-26T09:55:32.972,,,,17,,,RUE,DU CAMPET,66690,SOREDE,,66196,,,661960013_B,696516.75,6158865.44,A,,,,PETIT MACCHIATO,58.21Z,NAFRev2,N,58.21Y
100332642,00014,10033264200014,P,2025-08-14,NN,,,2026-01-26T13:44:09.846,true,A,P,,2025-08-14,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],58.21Z,NAFRev2,,,,NN,,00014,2026-01-26T13:44:09.846,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],ROISSY-EN-BRIE,,77390,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],58.21Z,NAFRev2,N,59.11G
100362755,00017,10036275500017,P,2026-02-02,NN,,,2026-01-27T08:21:54.342,true,A,P,,2026-02-02,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],58.21Z,NAFRev2,,,,NN,,00017,2026-01-27T08:21:54.342,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],SAINT-MAMMES,,77419,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],58.21Z,NAFRev2,N,58.21Y
100382068,00011,10038206800011,O,2026-01-26,NN,,,2026-01-27T11:18:00.871,true,A,O,,2026-01-26,1000,,,M,DUFEUTRELLE,,COLIN,MICHEL,EMILE,,COLIN,MENTOOW,58.21Z,NAFRev2,,,,NN,,00011,2026-01-27T11:18:00.871,,,B14,19,,,RUE,ANDRE TURCAT,31300,TOULOUSE,,31555,,,315550338_B,568167.72,6278910.99,A,,,,,58.21Z,NAFRev2,N,58.21Y
100429356,00015,10042935600015,O,2026-01-26,NN,,,2026-02-02T12:35:12.752,true,A,O,,2026-01-26,5710,UPGAMES,,,,,,,,,,,58.21Z,NAFRev2,,N,N,NN,,00015,2026-02-02T12:35:12.752,,,,122,,,RUE,AMELOT,75011,PARIS,,75111,,,751110272_B,653556.12,6862862.1,A,,,,,58.21Z,NAFRev2,N,58.21Y
100437706,00011,10043770600011,O,2026-01-28,NN,,,2026-02-04T11:35:36.781,true,A,O,,2026-01-28,5710,TDLG,,,,,,,,,,,58.21Z,NAFRev2,,N,N,NN,,00011,2026-02-04T11:35:36.78,,,,60,,,RUE,FRANCOIS IER,75008,PARIS,,75108,,,75108jjat_B,648794.46,6863544.75,A,,,,,58.21Z,NAFRev2,N,58.21Y
100439207,00018,10043920700018,O,2026-01-07,NN,,,2026-01-28T10:51:18.053,true,A,O,,2026-01-07,9220,DISQUIET ROOM,,,,,,,,,,,58.21Z,NAFRev2,W332037197,O,N,NN,,00018,2026-01-28T10:51:18.052,,,BATIMENT B RESIDENCE GAMBETTA,29,,,RUE,MONNERON,33200,BORDEAUX,,33063,,,3306332z9_B,414802.85,6423008.84,A,,,,,58.21Z,NAFRev2,N,58.21Y
