siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
399856277,00021,39985627700021,O,2014-08-06,31,2023,,2025-12-05T20:41:17.483,true,A,O,,1995-02-03,5699,PULLUP ENTERTAINMENT,,,,,,,,,,,58.21Z,NAFRev2,,N,,31,2023,00021,2025-12-06T08:01:51.1,ETI,2023,"PARC DE FLANDRE ""BEAUVAISIS"" BAT28",11,,,RUE,DE CAMBRAI,75019,PARIS,,75119,,,751191451_B,654559.7720775713,6866416.238449575,A,,,,,58.21Z,NAFRev2,O,58.21Y
431395094,00045,43139509400045,O,2018-03-01,21,2023,,2025-12-05T23:36:50.42,true,A,O,,2000-04-17,5599,MICROIDS,,,,,,,,,,,58.21Z,NAFRev2,,N,,21,2023,00045,2026-01-12T17:31:31.662,ETI,2023,,57,,,RUE,GASTON TESSIER,75019,PARIS,,75119,,,751193978_B,654223.9405125189,6866450.2432838725,A,CLIC & GO; MICROIDS; LIVECAD,MAXIPERMIS,ANUMAN INTERACTIVE,CLIC & GO; MICROIDS; LIVECAD; MAXIPERMIS; ANUMAN INTERACTIVE,58.21Z,NAFRev2,O,58.21Y
431643063,00073,43164306300073,O,2019-06-15,21,2023,,2025-12-06T04:26:40.817,false,A,O,,2000-05-15,5710,CYANIDE,,,,,,,,,,,58.29C,NAFRev2,,N,,22,2023,00081,2025-12-06T05:17:02.287,ETI,2023,,43,,,COURS,D'ALBRET,33000,BORDEAUX,,33063,,,330630120_B,417075.87317623274,6421699.782429019,A,,,,BIG BAD WOLF,58.21Z,NAFRev2,O,58.21Y
443752795,00049,44375279500049,O,2022-01-24,32,2023,,2025-12-06T00:06:58.907,true,A,O,,2002-10-16,5710,ASOBO STUDIO,ASOBO STUDIO,,,,,,,,,,58.21Z,NAFRev2,,N,,32,2023,00049,2025-12-06T05:43:29.25,ETI,2023,,6,,,RUE,LA SEIGLIERE,33800,BORDEAUX,,33063,,,330635217_B,419610.20231678325,6420360.93332347,A,,,,,58.21Z,NAFRev2,O,58.21Y
490585577,00052,49058557700052,O,2018-02-26,21,2023,,2025-12-06T03:27:09.716,false,A,O,,2006-04-01,5710,KYLOTONN,,,,,,,,,,,62.01Z,NAFRev2,,N,,22,2023,00045,2025-12-12T13:32:39.055,ETI,2023,,33,,,RUE,MAURICE FLANDIN,69003,LYON,,69383,,,693834680_B,844825.7825794857,6519560.949039614,A,,,,,58.21Z,NAFRev2,O,58.21Y
492360730,00021,49236073000021,O,2007-01-02,21,2023,,2025-12-05T19:24:08.39,true,A,O,,2006-10-02,5710,ANKAMA GAMES,,,,,,,,,,,58.21Z,NAFRev2,,N,,21,2023,00021,2025-12-06T05:13:44.143,ETI,2023,,75,,,BOULEVARD,D'ARMENTIERES,59100,ROUBAIX,,59512,,,595120300_B,711329.7586062839,7067003.421083845,A,,,,,58.21Z,NAFRev2,O,58.21Y
492360730,00047,49236073000047,O,2017-07-31,03,2023,,2025-12-05T19:08:10.278,false,A,O,,2006-10-02,5710,ANKAMA GAMES,,,,,,,,,,,58.21Z,NAFRev2,,N,,21,2023,00021,2025-12-06T05:13:44.143,ETI,2023,,27,,,RUE,D'IENA,59100,ROUBAIX,,59512,,,595122700_B,712401.1182393612,7067597.672211719,A,,,,,58.21Z,NAFRev2,O,58.21Y
492361258,00022,49236125800022,O,2007-01-02,22,2023,,2025-12-06T00:09:31.265,true,A,O,,2006-10-02,5710,ANKAMA STUDIO,,,,,,,,,,,58.21Z,NAFRev2,,N,,22,2023,00022,2025-12-06T05:45:28.333,ETI,2023,,75,,,BOULEVARD,D'ARMENTIERES,59100,ROUBAIX,,59512,,,595120300_B,711329.7586062839,7067003.421083845,A,,,,,58.21Z,NAFRev2,O,58.21Y
499061638,00049,49906163800049,O,2019-05-17,12,2023,,2025-12-05T16:23:14.108,true,A,O,,2007-07-16,5710,STREUM ON STUDIO,S.O.S.,,,,,,,,,,58.21Z,NAFRev2,,N,,12,2023,00049,2025-12-06T06:29:23.895,ETI,2023,,1,,,AVENUE,DE LATTRE DE TASSIGNY,94130,NOGENT-SUR-MARNE,,94052,,,940525120_B,662012.595340934,6859720.3247850435,A,,,,,58.21Z,NAFRev2,N,58.21Y
504124884,00025,50412488400025,O,2010-02-15,01,2023,,2025-12-05T22:43:33.826,true,A,O,,2008-03-10,5710,MIDGAR STUDIO,,,,,,,,,,,58.21Z,NAFRev2,,N,,12,2023,00025,2025-12-06T10:55:36.973,ETI,2023,,263,,,AVENUE,DU 8 MAI 1945,13330,PELISSANNE,,13069,,,130695370_B,874472.121320215,6284092.558580017,A,,,,,58.21Z,NAFRev2,O,58.21Y
