siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
335186094,00074,33518609400074,O,2021-01-01,02,2023,,2025-12-05T17:39:40.826,true,A,O,,1986-04-01,5599,UBISOFT ENTERTAINMENT,,,,,,,,,,,58.21Z,NAFRev2,,N,,02,2023,00074,2025-12-06T05:25:29.735,GE,2023,,2,,,RUE,DU CHENE HELEUC,56910,CARENTOIR,,56033,,,,,,A,,,,,58.21Z,NAFRev2,N,58.21Y
429338130,00058,42933813000058,O,2006-04-24,21,2023,,2025-12-06T00:07:04.063,true,A,O,,1999-12-01,5800,GAMELOFT SE,,,,,,,,,,,58.21Z,NAFRev2,,N,,21,2023,00058,2025-12-06T05:25:21.721,GE,2023,,14,,,RUE,AUBER,75009,PARIS,,75109,,,751090514_B,650742.231081581,6863887.261247818,A,,,,,58.21Z,NAFRev2,O,58.21Y
432573624,00025,43257362400025,O,2021-01-01,32,2023,,2025-12-06T04:07:42.646,true,A,O,,2000-06-02,5710,UBISOFT EMEA,,,,,,,,,,,58.21Z,NAFRev2,,N,,32,2023,00025,2025-12-06T09:17:37.972,GE,2023,,2,,,AVENUE,PASTEUR,94160,SAINT-MANDE,,94067,,,940677120_B,657666.4142993953,6860534.707745325,A,,,,,58.21Z,NAFRev2,O,58.21Y
435269170,00047,43526917000047,O,2009-12-10,12,2023,,2025-12-06T03:23:29.372,true,A,O,,2001-04-05,5599,ISCOOL ENTERTAINMENT,,,,,,,,,,,58.21Z,NAFRev2,,N,,12,2023,00047,2025-12-06T05:43:21.258,GE,2023,,43,,,RUE,D'ABOUKIR,75002,PARIS,,75102,,,751020040_B,651957.8213626456,6863222.081217781,A,,,,,58.21Z,NAFRev2,O,58.21Y
450415237,00012,45041523700012,O,2003-10-10,NN,,,2025-12-05T16:06:43.243,true,A,O,,2003-10-10,5499,WHAT (GAMES),,,,,,,,,,,58.21Z,NAFRev2,,,,12,2023,00012,2025-12-06T07:38:59.39,GE,2023,,5,,,RUE,DE TURBIGO,75001,PARIS,,75101,,,751019504_B,652145.338940003,6862823.212467047,A,,,,,58.21Z,NAFRev2,O,58.21Y
450415237,00038,45041523700038,O,2006-04-24,12,2023,,2025-12-05T20:13:18.151,false,A,O,,2003-10-10,5499,WHAT (GAMES),,,,,,,,,,,58.21Z,NAFRev2,,,,12,2023,00012,2025-12-06T07:38:59.39,GE,2023,,14,,,RUE,AUBER,75009,PARIS,,75109,,,751090514_B,650742.231081581,6863887.261247818,A,,,,,58.21Z,NAFRev2,O,58.21Y
489952457,00054,48995245700054,O,2025-03-31,NN,,,2025-12-05T19:26:59.511,true,A,O,,2006-03-27,5710,BLIZZARD ENTERTAINMENT SAS,,,,,,,,,,,58.21Z,NAFRev2,,N,,12,2023,00054,2025-12-06T09:18:45.311,GE,2023,,37,,45,QUAI,DU PRESIDENT ROOSEVELT,92130,ISSY-LES-MOULINEAUX,,92040,,,920407180_B,646079.63,6859524.63,A,,,,,58.21Z,NAFRev2,N,58.21Y
500384227,00038,50038422700038,O,2016-06-29,NN,,,2025-12-05T18:23:37.463,false,A,O,,2007-10-19,5710,IVORY TOWER,,,,,,,,,,,58.21Z,NAFRev2,,N,,32,2023,00046,2025-12-06T06:22:25.275,GE,2023,,10,,,RUE,MARTERET,69100,VILLEURBANNE,,69266,,,692662740_B,845448.713190895,6521434.085003032,A,,,,KAPSICUS,58.21Z,NAFRev2,N,58.21Y
500384227,00046,50038422700046,O,2021-06-01,32,2023,,2025-12-06T04:23:28.494,true,A,O,,2007-10-19,5710,IVORY TOWER,,,,,,,,,,,58.21Z,NAFRev2,,N,,32,2023,00046,2025-12-06T06:22:25.275,GE,2023,,36,,,RUE,DE BRUXELLES,69100,VILLEURBANNE,,69266,,,692660650_B,845369.7715170551,6521455.7630757205,A,,,,ART & DESIGN LUDIQ,58.21Z,NAFRev2,O,58.21Y
527654586,00033,52765458600033,O,2024-10-18,NN,,,2025-12-05T19:54:34.34,true,A,O,,2010-10-07,5710,ZENIMAX FRANCE SAS,,,,,,,,,,,58.21Z,NAFRev2,,N,,11,2023,00033,2025-12-06T10:42:50.062,GE,2023,,14,,,RUE,FERRUS,75014,PARIS,,75114,,,751143623_B,651587.82,6859176.33,A,,,,BETHESDA SOFTWORKS FRANCE,58.21Z,NAFRev2,O,58.21Y
