siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
326767597,00197,32676759700197,O,2017-11-01,NN,,,2025-12-06T04:50:20.449,false,A,O,,1983-02-15,5710,HEXAGON METROLOGY SAS,,,,,,,,,,,26.51B,NAFRev2,,N,,22,2023,00205,2025-12-06T05:15:09.128,ETI,2023,TAVERPAC - BAT. 4 - LOCAL 3,62,,,BOULEVARD,HENRI NAVIER,95150,TAVERNY,,95607,,,956070716_B,641217.8797984552,6881522.668480377,A,Q-DAS FRANCE,,,,58.29B,NAFRev2,N,58.29Y
332172428,00093,33217242800093,O,2025-01-01,NN,,,2025-12-06T04:43:57.697,false,A,O,,1985-03-01,5710,GESTION PLUS INFORMATIQUE,GPI,,,,,,,,,,58.29B,NAFRev2,,N,,12,2023,00051,2025-12-06T06:51:29.695,ETI,2023,PORTE A1 ZA LES TOURRAIS,771,,,AVENUE,PIERRE AUGUSTE ROIRET,69290,CRAPONNE,,69069,,,690690733_B,835284.74,6518446.56,A,,,,,58.29B,NAFRev2,O,58.29Y
344239603,00071,34423960300071,O,2025-03-01,NN,,,2025-12-05T18:00:11.983,true,A,O,,1988-03-01,5710,FUTUROSOFT,,,,,,,,,,,58.29B,NAFRev2,,N,,12,2023,00071,2025-12-06T05:43:28.488,ETI,2023,,49,,,AVENUE,LOUIS PASTEUR,85600,MONTAIGU-VENDEE,,85146,,,851467r13_B,373397.04,6660724.16,A,,,,,58.29B,NAFRev2,N,58.29Y
351442082,03195,35144208203195,O,2017-03-01,NN,,,2025-12-06T03:25:56.096,false,A,O,,1989-09-01,5699,NEWREST RESTAURATION,,,,,,,,,,,56.29B,NAFRev2,,N,,42,2023,06081,2026-02-12T10:01:49.484,ETI,2023,285 SAC COMMUNAUTE SACRE COEUR,101,,,RUE,DE LA TOUR,69124,COLOMBIER-SAUGNIEU,,69299,,,692990148_B,864489.2099147056,6514633.6803538855,A,,,,,58.29B,NAFRev2,N,58.29Y
395008246,00013,39500824600013,O,1994-05-01,22,2023,,2025-12-05T23:02:26.053,true,A,O,,1994-05-01,5710,VISIATIV,,,,,,,,,,,82.99Z,NAFRev2,,N,N,22,2023,00013,2025-12-06T09:04:15.251,ETI,2023,,26,,,RUE,BENOIT BENNIER,69260,CHARBONNIERES-LES-BAINS,,69044,,,690440120_B,835904.587892655,6521123.79389035,A,,,,,58.29B,NAFRev2,O,58.29Y
395008246,00047,39500824600047,O,2017-09-01,01,2023,,2025-12-05T19:57:29.323,false,A,O,,1994-05-01,5710,VISIATIV,,,,,,,,,,,82.99Z,NAFRev2,,N,N,22,2023,00013,2025-12-06T09:04:15.251,ETI,2023,,212,,,RUE,DE BERCY,75012,PARIS,,75112,,,751120881_B,653844.9900195162,6860821.639099535,A,,,,AXEMBLE FOR BUSINESS PARTNERS,58.29B,NAFRev2,O,58.29Y
395008246,00070,39500824600070,O,2017-09-01,NN,,,2025-12-06T04:40:42.476,false,A,O,,1994-05-01,5710,VISIATIV,,,,,,,,,,,82.99Z,NAFRev2,,N,N,22,2023,00013,2025-12-06T09:04:15.251,ETI,2023,ESPACE EUROPEEN ENTREPRISE LE SKANSEN,3,,,ALLEE,DE STOCKHOLM,67300,SCHILTIGHEIM,,67447,,,674471438_B,1047202.6765687678,6845272.074017298,A,,,,AXEMBLE FOR BUSINESS PARTNERS,58.29B,NAFRev2,N,58.29Y
395008246,00088,39500824600088,O,2024-05-01,NN,,,2025-12-06T04:23:02.003,false,A,O,,1994-05-01,5710,VISIATIV,,,,,,,,,,,82.99Z,NAFRev2,,N,N,22,2023,00013,2025-12-06T09:04:15.251,ETI,2023,,3,,,RUE,CHRISTOPHE COLOMB,91300,MASSY,,91377,,,913771015_C,,,A,,,,AXEMBLE FOR BUSINESS PARTNERS,58.29B,NAFRev2,O,58.29Y
398394502,00031,39839450200031,O,2016-01-08,12,2023,,2025-12-05T22:31:44.994,true,A,O,,1994-10-01,5710,AATLANTIDE,,,,,,,,,,,58.29B,NAFRev2,,N,,12,2023,00031,2025-12-06T05:16:29.502,ETI,2023,,11,A,,CHEMIN,DE LA DHUY,38240,MEYLAN,,38229,,,382290334_B,919415.0052074422,6461032.462343266,A,,,,,58.29B,NAFRev2,O,58.29Y
408832301,00043,40883230100043,O,2017-05-30,11,2023,,2025-12-06T04:31:01.417,false,A,O,,1996-10-01,5599,TECH'ADVANTAGE,,,,,,,,,,,62.02A,NAFRev2,,N,,21,2023,00019,2025-12-06T11:15:51.401,ETI,2023,,154,,,AVENUE,ALFRED NOBEL,64000,PAU,,64445,,,644450097_B,431968.2817945784,6252445.907571635,A,,,,,58.29B,NAFRev2,O,58.29Y
444434120,00044,44443412000044,O,2011-11-01,11,2023,,2025-12-06T03:55:45.25,false,A,O,,2002-11-05,5710,CLEAR2PAY FRANCE,C2P,,,,,,,,,,58.29C,NAFRev2,,N,,12,2023,00069,2025-12-06T05:43:37.196,ETI,2023,BAT ORME DU MAIL - CAMPUS EFFISCIENCE,4,,,RUE,IRENE JOLIOT-CURIE,14460,COLOMBELLES,,14167,,,141670345_B,459054.86518645886,6904032.188412924,A,CLEAR2PAY,,,,58.29B,NAFRev2,O,58.29Y
478601826,00058,47860182600058,O,2017-01-01,21,2023,,2025-12-05T16:00:02.546,true,A,O,,2004-11-02,5710,ORISHA TRANSACTION,,,,,,,,,,,58.29A,NAFRev2,,N,,21,2023,00058,2025-12-06T05:25:13.969,ETI,2023,,105,,,RUE,CHARLES NUNGESSER,29490,GUIPAVAS,,29075,,,290750305_B,152396.16,6841415.47,A,ORISHA REAL ESTATE,,,ORISHA REAL ESTATE,58.29B,NAFRev2,N,58.29Y
