siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
304265747,00036,30426574700036,O,2007-05-01,NN,,5819ZP,2025-12-05T16:57:02.828,true,A,O,,1986-01-01,1000,,,M,VILLEVIEILLE,,CHRISTIAN,GEORGES,,,CHRISTIAN,,58.29B,NAFRev2,,,,NN,,00036,2025-12-06T07:42:08.248,PME,2023,,16,,,AVENUE,CARNOT,06500,MENTON,,06083,,,060830300_B,1061869.6917436975,6307259.132957388,A,,,,,58.29B,NAFRev2,N,58.29Y
318918851,00169,31891885100169,O,2015-12-21,21,2023,,2025-12-06T03:13:13.019,true,A,O,,1980-04-01,5710,4D,,,,,,,,,,,58.29B,NAFRev2,,N,,21,2023,00169,2025-12-06T05:25:38.224,PME,2023,PARC DES ERABLES BATIMENT 4,66,,,ROUTE,DE SARTROUVILLE,78230,LE PECQ,,78481,,,784811130_B,635129.5005361965,6867441.189785621,A,,,,,58.29B,NAFRev2,O,58.29Y
324333830,00028,32433383000028,O,1985-10-01,12,2023,,2025-12-05T20:32:13.605,true,A,O,,1982-04-04,5710,SA IDEAL SOFT INFORMATIQUE SUD,ISIS,,,,,,,,,,58.29B,NAFRev2,,N,,12,2023,00028,2025-12-06T09:01:50.242,PME,2023,,10,,,AVENUE,DE ROUARGUES,34980,SAINT-CLEMENT-DE-RIVIERE,,34247,,,342470058_B,768708.75319204,6287413.383333568,A,,,,,58.29B,NAFRev2,O,58.29Y
328514757,00033,32851475700033,O,1996-01-01,NN,,,2025-12-06T03:44:41.342,true,A,O,,1983-09-04,1000,,,M,ARTAUD,,YVON,PIERRE,MARC,,YVON,,58.29B,NAFRev2,,,,NN,,00033,2025-12-06T05:19:39.806,PME,2023,,3,,,ALLEE,DEGAS,78560,LE PORT-MARLY,,78502,,,785020034_B,634767.9111834036,6864146.458893458,A,,,,,58.29B,NAFRev2,N,58.29Y
330318270,00064,33031827000064,O,2003-10-27,21,2023,,2025-12-05T18:52:05.659,true,A,O,,1984-07-12,5710,PC SOFT INFORMATIQUE,,,,,,,,,,,46.51Z,NAFRev2,,,,21,2023,00064,2025-12-06T06:44:00.029,PME,2023,,3,,,RUE,DE PUECH VILLA,34090,MONTPELLIER,,34172,,,341724715_B,767645.2422563748,6282698.24937954,A,WINDEV,,,PC SOFT,58.29B,NAFRev2,O,58.29Y
330318270,00080,33031827000080,O,2012-07-01,02,2023,,2025-12-06T04:31:19.029,false,A,O,,1984-07-12,5710,PC SOFT INFORMATIQUE,,,,,,,,,,,46.51Z,NAFRev2,,,,21,2023,00064,2025-12-06T06:44:00.029,PME,2023,,142,,,AVENUE,DES CHAMPS ELYSEES,75008,PARIS,,75108,,,751081733_B,648566.8559150235,6863886.37727446,A,,,,,58.29B,NAFRev2,O,58.29Y
334076544,00066,33407654400066,O,2015-01-01,NN,,8219ZP,2025-12-05T20:09:06.413,true,A,O,,1985-10-01,5499,CDLP,,,,,,,,,,,58.29B,NAFRev2,,N,,NN,,00066,2025-12-06T08:01:42.827,PME,2023,,8,,,IMP,DU ROUCHOU BAS,19360,MALEMORT,,19123,,,,,,A,,,,INNO.COMPTA,58.29B,NAFRev2,N,58.29Y
335309993,00079,33530999300079,O,2008-04-29,11,2023,,2025-12-05T21:58:59.727,true,A,O,,1986-04-02,5710,REVERSO,,,,,,,,,,,58.29B,NAFRev2,,N,,11,2023,00079,2025-12-06T09:37:54.214,PME,2023,,5,,,RUE,SOYER,92200,NEUILLY-SUR-SEINE,,92051,,,920518555_B,645870.1289129811,6865524.497879099,A,REVERSO - SOFTISSIMO,,,REVERSO SOFTISSIMO,58.29B,NAFRev2,O,58.29Y
344928817,00057,34492881700057,O,2024-06-18,NN,,,2025-12-05T15:59:23.001,true,A,O,,1988-05-17,5710,INNOVATION RECHERCHE AUTOMATISME INFORMA,,,,,,,,,,,58.29B,NAFRev2,,,N,01,2023,00057,2025-12-06T08:51:00.313,PME,2023,,394,,,MONTEE,DES LAURIERS,30100,ALES,,30007,,,300071540_B,785618.02,6337760.51,A,,,,,58.29B,NAFRev2,N,58.29Y
378235576,00063,37823557600063,O,2018-08-31,NN,,,2025-12-05T23:19:21.241,true,A,O,,1989-11-02,5499,CLARIS FRANCE SARL,,,,,,,,,,,58.29B,NAFRev2,,N,,NN,,00063,2025-12-06T08:23:43.392,PME,2023,,7,,,PLACE,D'IENA,75016,PARIS,,75116,,,751164695_B,648188.460159226,6862922.637767112,A,,,,,58.29B,NAFRev2,N,58.29Y
