siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
305546616,00106,30554661600106,O,2010-01-01,NN,,,2025-12-05T19:50:10.704,false,A,O,,1976-01-01,5710,CENTRE D'ETUDES ET DE GESTION INFORMATIQUE,CEGI,,,,,,,,,,62.02B,NAFRev2,,N,,22,2023,00049,2025-12-06T05:43:28.217,ETI,2023,"GOMBERT, LES BARONNIES BATIMENT E",,,,RUE,PAUL LANGEVIN,13013,MARSEILLE,,13213,,,132136901_B,897226.929381463,6252400.18997978,A,,,,,58.29A,NAFRev2,O,58.29Y
308092766,00093,30809276600093,O,2025-01-01,NN,,,2025-12-06T01:49:44.844,false,A,O,,1976-01-01,5710,A PLUS INFORMATIQUE,,,,,,,,,,,62.02A,NAFRev2,,N,,12,2023,00077,2025-12-06T05:39:25.142,ETI,2023,BATIMENT F3 PORTE A2 PARC D'ACTIVITE,117,,,AVENUE,SIMONE VEIL,06200,NICE,,06088,,,060886227_B,1038615.03,6296770.41,A,,,,,58.29A,NAFRev2,N,58.29Y
310551031,00134,31055103100134,O,2025-01-01,NN,,,2025-12-05T18:58:50.483,false,A,O,,1977-10-25,5710,SINARI TMS PRO,,,,,,,,,,,58.29C,NAFRev2,,N,,12,2023,00118,2025-12-06T10:51:58.589,ETI,2023,PORTE A2,48,,,AVENUE,MARCEL LEMOINE,36000,CHATEAUROUX,,36044,,,360441872_B,600660.78,6635993.94,A,,,,,58.29A,NAFRev2,N,58.29Y
317480135,00043,31748013500043,O,2020-05-20,02,2023,,2025-12-05T16:18:25.319,true,A,O,,1979-01-01,5599,INFOTEL,,,,,,,,,,,58.29A,NAFRev2,,N,,02,2023,00043,2025-12-06T08:26:26.299,ETI,2023,4-16-LE VALMY,4,,,AVENUE,LEON GAUMONT,75020,PARIS,,75120,,,751205556_B,657130.2013780958,6861279.444565639,A,,,,,58.29A,NAFRev2,N,58.29Y
329109227,00044,32910922700044,O,2001-01-01,11,2023,,2025-12-05T22:40:38.091,false,A,O,,1984-01-01,5710,TOPSOLID,,,,,,,,,,,58.29C,NAFRev2,,N,,32,2023,00036,2025-12-06T06:55:36.857,ETI,2023,PARC ACTIVIT NANCY BRABOIS,3,,,ALLEE,D'AUTEUIL,54500,VANDŒUVRE-LES-NANCY,,54547,,,545470042_B,931000.4684897844,6843807.5240520425,A,,,,,58.29A,NAFRev2,O,58.29Y
329109227,00069,32910922700069,O,2001-01-01,21,2023,,2025-12-05T16:05:36.309,false,A,O,,1984-01-01,5710,TOPSOLID,,,,,,,,,,,58.29C,NAFRev2,,N,,32,2023,00036,2025-12-06T06:55:36.857,ETI,2023,ZI DE CHESNES,27,,,,BOUCLE DE LA RAMEE,38070,SAINT-QUENTIN-FALLAVIER,,38449,,,384490474_B,863681.4542676315,6507787.566923449,A,,,,,58.29A,NAFRev2,O,58.29Y
331621193,00043,33162119300043,O,2009-08-27,NN,,,2025-12-06T00:13:51.441,false,A,O,,1985-02-01,5710,CONSEILS ET INFORMATIQUE DE LA METROPOLE,CIM,,,,,,,,,,58.29C,NAFRev2,,N,,21,2023,00050,2025-12-06T05:14:57.575,ETI,2023,,1,,,PLACE,CHARLES DE GAULLE,78180,MONTIGNY-LE-BRETONNEUX,,78423,,,784231080_B,629844.546922827,6854493.751235047,A,,,,,58.29A,NAFRev2,N,58.29Y
331621193,00050,33162119300050,O,2012-10-01,21,2023,,2025-12-05T19:59:14.009,true,A,O,,1985-02-01,5710,CONSEILS ET INFORMATIQUE DE LA METROPOLE,CIM,,,,,,,,,,58.29C,NAFRev2,,N,,21,2023,00050,2025-12-06T05:14:57.575,ETI,2023,PARC HORIZON -,,,,AVENUE,DE L’HORIZON,59650,VILLENEUVE-D'ASCQ,,59009,,,590094937_B,710972.3318384145,7056642.8798850095,A,CIM,,,,58.29A,NAFRev2,O,58.29Y
335146312,00517,33514631200517,O,2017-12-30,NN,,,2025-12-06T04:09:09.661,false,A,O,,1986-03-21,5710,ABB FRANCE,,,,,,,,,,,33.12Z,NAFRev2,,N,,42,2023,00459,2025-12-06T05:25:29.735,ETI,2023,,33,,,RUE,PAUL GAUGUIN,31100,TOULOUSE,,31555,,,315556625_B,571006.8247112745,6275269.878118728,A,,,,,58.29A,NAFRev2,O,58.29Y
341725786,00162,34172578600162,O,2024-04-01,NN,,,2025-12-06T00:45:40.451,false,A,O,,1987-01-01,5710,DIVALTO,,,,,,,,,,,58.29A,NAFRev2,,N,N,32,2023,00147,2025-12-06T08:16:33.57,ETI,2023,,290,,,AVENUE,DES LACS,74950,SCIONZIER,,74264,,,742640315_B,974467.7,6557945.35,A,,,,,58.29A,NAFRev2,N,63.10Y
