siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
311243794,00162,31124379400162,O,2018-10-03,31,2023,,2025-12-05T22:10:48.349,true,A,O,,1977-01-01,5710,NEXTINTERACTIVE,SPPS,,,,,,,,,,58.29A,NAFRev2,,N,,31,2023,00162,2025-12-06T08:25:00.752,GE,2023,,2,,,RUE,DU GAL ALAIN DE BOISSIEU,75015,PARIS 15,,75115,,,751154009_C,,,A,,,,01DSI / A JOUR-PROSEARCH / 01NET-TELECHARGER / DOWNLOAD / TELECHARGEZ-TELECHARGE,58.29A,NAFRev2,N,59.11G
328751276,00051,32875127600051,O,1998-07-01,22,2023,,2025-12-05T17:04:27.471,true,A,O,,1984-01-01,5499,SIEMENS ELECTRONIC DESIGN AUTOMATION SARL,,,,,,,,,,,58.29C,NAFRev2,,N,,32,2023,00051,2025-12-06T05:19:59.158,GE,2023,13-15 IMM LE PASTEUR,13,,,RUE,JEANNE BRACONNIER,92360,MEUDON,,92048,,,920481311_B,642094.7751904322,6854749.60850814,A,,,,,58.29A,NAFRev2,O,58.29Y
328751276,00085,32875127600085,O,2023-12-01,NN,,,2025-12-05T17:25:55.706,false,A,O,,1984-01-01,5499,SIEMENS ELECTRONIC DESIGN AUTOMATION SARL,,,,,,,,,,,58.29C,NAFRev2,,N,,32,2023,00051,2025-12-06T05:19:59.158,GE,2023,BATIMENT C ARTEPARC,20,,,CHEMIN,DU VIEUX CHENE,38240,MEYLAN,,38229,,,382290795_B,918939.7635833877,6460361.989970385,A,,,,,58.29A,NAFRev2,O,58.29Y
328751276,00093,32875127600093,O,2025-09-22,NN,,,2025-12-24T11:48:15.846,false,A,O,,1984-01-01,5499,SIEMENS ELECTRONIC DESIGN AUTOMATION SARL,,,,,,,,,,,58.29C,NAFRev2,,N,,32,2023,00051,2025-12-06T05:19:59.158,GE,2023,,5,,7,RUE,DU FAUBOURG POISSONNIERE,75009,PARIS,,75109,,,751093512_B,652158.8,6863661.99,A,,,,,58.29A,NAFRev2,O,46.50Y
349047712,00089,34904771200089,O,2018-02-01,02,2023,,2025-12-06T03:57:16.496,false,A,O,,1989-01-02,5710,ILEX,,,,,,,,,,,58.29A,NAFRev2,,N,,21,2023,00105,2025-12-06T05:38:11.539,GE,2023,,143,,,BOULEVARD,DE VALMY,59650,VILLENEUVE-D'ASCQ,,59009,,,590097280_B,708923.2213560707,7057825.594910535,A,,,,,58.29A,NAFRev2,O,58.29Y
349047712,00097,34904771200097,O,2023-10-02,21,2023,,2025-12-05T18:48:24.482,false,A,O,,1989-01-02,5710,ILEX,,,,,,,,,,,58.29A,NAFRev2,,N,,21,2023,00105,2025-12-06T05:38:11.539,GE,2023,,7,,,RUE,TOUZET-GAILLARD,93400,SAINT-OUEN-SUR-SEINE,,93070,,,930709165_B,650242.7740759053,6867139.081244939,A,,,,"ILEX , ILEX SI",58.29A,NAFRev2,O,58.29Y
389413816,00098,38941381600098,O,2012-12-10,12,2023,,2025-12-05T20:24:27.703,true,A,O,,1992-10-01,5710,ALTERSIS REGIONS,,,,,,,,,,,62.02A,NAFRev2,,N,,12,2023,00098,2025-12-06T05:25:13.334,GE,2023,LATITUDE ARBOIS BAT B,1060,,,RUE,RENE DESCARTES,13290,AIX-EN-PROVENCE,,13001,,,130012605_B,889899.3240705561,6268989.125818417,A,,,,,58.29A,NAFRev2,O,58.29Y
409888625,00020,40988862500020,O,1999-04-08,22,2023,,2025-12-06T03:12:41.095,true,A,O,,1996-11-12,5710,DASSAULT SYSTEMES PROVENCE,,,,,,,,,,,58.29A,NAFRev2,,N,,22,2023,00020,2025-12-06T07:42:23.756,GE,2023,,53,,,AVENUE,DE L'EUROPE,13090,AIX-EN-PROVENCE,,13001,,,130010975_B,896319.2597651979,6272556.270276116,A,,,,,58.29A,NAFRev2,O,58.29Y
421199464,00072,42119946400072,O,2018-12-11,32,2023,,2025-12-06T04:53:50.608,true,A,O,,1998-10-19,5499,RED HAT FRANCE,,,,,,,,,,,58.29A,NAFRev2,,N,,32,2023,00072,2025-12-06T05:43:44.771,GE,2023,23-25-IMMEUBLE DEFENSE PLAZA,23,,,RUE,DELARIVIERE LEFOULLON,92800,PUTEAUX,,92062,,,920622535_B,644568.62638044,6865588.187440097,A,,,,,58.29A,NAFRev2,O,63.10Y
425045622,00031,42504562200031,O,2006-06-01,22,2023,,2025-12-06T00:16:02.278,true,A,O,,1999-10-15,5710,CENTRIC SOFTWARE SAS,,,,,,,,,,,58.29A,NAFRev2,,N,,22,2023,00031,2025-12-06T07:32:12.986,GE,2023,,27,,,AVENUE,DE L'OPERA,75001,PARIS,,75101,,,751016904_B,651122.225509526,6863186.148730695,A,,,,,58.29A,NAFRev2,O,58.29Y
