siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
304709025,00106,30470902500106,O,2022-10-01,01,2023,,2025-12-05T22:43:31.978,true,A,O,,1984-11-15,5710,APERIA,,,,,,,,,,,58.29A,NAFRev2,,N,,01,2023,00106,2025-12-06T09:45:07.621,PME,2023,,30,,,RUE,CORTAMBERT,75016,PARIS,,75116,,,751162347_B,647141.933796951,6862629.516809588,A,,,,,58.29A,NAFRev2,N,58.29Y
313400681,00133,31340068100133,O,2023-07-01,11,2023,,2025-12-05T17:18:49.04,false,A,O,,1978-01-01,5710,BMC SOFTWARE FRANCE SAS,,,,,,,,,,,62.02A,NAFRev2,,N,,21,2023,00117,2026-01-29T13:11:37.059,PME,2023,OFFICE XTRA SOPHIA ANTIPOLIS,1501,,,ROUTE,DES DOLINES,06560,VALBONNE,,06152,,,061520100_B,1026352.0090323158,6289072.522350741,A,,,,,58.29A,NAFRev2,N,58.29Y
317802056,00034,31780205600034,O,1989-07-01,12,2023,,2025-12-05T18:09:03.381,true,A,O,,1980-01-01,5710,GESTION INFOR MATERIEL ELECTRO LAVERGNE,GIMEL,,,,,,,,,,58.29A,NAFRev2,,N,,12,2023,00034,2025-12-06T10:25:27.083,PME,2023,ZAC DES BASTERSES,,,,LD,PLAN DU SOLEIL,01700,BEYNOST,,01043,,,,,,A,,,,,58.29A,NAFRev2,O,58.29Y
320340672,00031,32034067200031,O,1999-11-29,12,2023,,2025-12-05T17:31:23.665,true,A,O,,1980-11-01,5599,AEXIS FRANCE SA,,,,,,,,,,,58.29A,NAFRev2,,N,,12,2023,00031,2025-12-06T07:13:30.046,PME,2023,84 ET 88 IMM TECHNOLOGIES,84,,,BOULEVARD,DE LA MISSION MARCHAND,92400,COURBEVOIE,,92026,,,920266175_B,644291.8713604307,6867097.32421552,A,,,,,58.29A,NAFRev2,O,58.29Y
320695356,00073,32069535600073,O,2005-01-01,03,2023,,2025-12-06T00:38:06.606,false,A,O,,1981-01-02,5710,ARC INFORMATIQUE,,,,,,,,,,,58.29C,NAFRev2,,N,,22,2023,00149,2025-12-06T11:06:47.323,PME,2023,,11,,,RUE,LOUISE COLET,13090,AIX-EN-PROVENCE,,13001,,,130011641_B,896864.4992822144,6272866.961735099,A,,,,,58.29A,NAFRev2,O,58.29Y
324592724,00128,32459272400128,O,2025-09-03,NN,,,2025-10-29T17:32:47.55,true,A,O,,1982-05-01,5710,ESERVGLOBAL SAS,,,,,,,,,,,58.29A,NAFRev2,,N,,03,2023,00128,2025-12-06T05:48:55.733,PME,2023,,6,,,PLACE,DE LA MADELEINE,75008,PARIS,,75108,,,751085891_B,650451.02,6863424.82,A,,,,,58.29A,NAFRev2,O,26.40Y
334088275,00121,33408827500121,O,2022-11-01,22,2023,,2025-12-06T03:23:18.722,true,A,O,,1986-01-01,5710,INFOVISTA SAS,,,,,,,,,,,58.29A,NAFRev2,,N,,22,2023,00121,2025-12-06T05:15:21.457,PME,2023,,3,,,RUE,CHRISTOPHE COLOMB,91300,MASSY,,91377,,,913771015_B,645856.6643637468,6847686.499706146,A,MFI,,,,58.29A,NAFRev2,O,58.29Y
338939986,00059,33893998600059,O,2008-05-26,NN,,,2025-12-05T22:48:34.065,true,A,O,,1986-10-06,1000,,,M,PALANQUE,,PHILIPPE,PATRICK,ALEX,,PHILIPPE,,58.29A,NAFRev2,,,,NN,,00059,2025-12-06T08:03:05.876,PME,2023,LES PLAGNES,,,,ROUTE,D’AUCH,32350,BIRAN,,32054,,,32054fh2w0k_B,492426.81722641445,6291709.440026009,A,PALANQUE PHILIPPE METROLOGIE,,,,58.29A,NAFRev2,N,58.29Y
339739971,00093,33973997100093,O,2018-05-15,01,2023,,2025-12-06T03:48:04.899,false,A,O,,1986-12-20,5710,AURA EQUIPEMENTS,,,,,,,,,,,58.29A,NAFRev2,,N,,02,2023,00101,2025-12-06T11:15:44.012,PME,2023,,23,,,RUE,DE LA POSTE,21000,DIJON,,21231,,,212317210_B,853722.6547050232,6693437.102446386,A,,,,,58.29A,NAFRev2,O,58.29Y
339739971,00101,33973997100101,O,2025-02-14,NN,,,2025-12-05T19:09:48.417,true,A,O,,1986-12-20,5710,AURA EQUIPEMENTS,,,,,,,,,,,58.29A,NAFRev2,,N,,02,2023,00101,2025-12-06T11:15:44.012,PME,2023,,16,,,RUE,BRANCION,75015,PARIS,,75115,,,751151255_B,649025.66,6859705.35,A,,,,,58.29A,NAFRev2,O,58.29Y
