siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
100015478,00017,10001547800017,O,2026-01-19,NN,,,2026-01-19T16:04:10.512,true,A,O,,2026-01-19,1000,,,M,MAUDUIT,MAUDUIT,FLORIAN,LOUIS,QUENTIN,,FLORIAN,,58.29C,NAFRev2,,,,NN,,00017,2026-01-19T16:04:10.512,,,,8,,,IMPASSE,BERNARD BLIER,78390,BOIS-D'ARCY,,78073,,,780730093_B,627272.67,6856708.01,A,,,,RHIA COPILOT,58.29C,NAFRev2,N,58.29Y
100054113,00012,10005411300012,O,2026-01-20,NN,,,2026-01-22T15:26:18.723,true,A,O,,2026-01-20,5710,PROXIMA SYSTEMS,,,,,,,,,,,58.29C,NAFRev2,,N,N,NN,,00012,2026-01-22T15:26:18.723,,,LA BASTIDE DE VENTABREN,766,,,CHEMIN,DU MAS DU MOINE,30340,MEJANNES-LES-ALES,,30165,,,301650114_B,791066.47,6335227.02,A,,,,,58.29C,NAFRev2,N,58.29Y
100058262,00013,10005826200013,O,2026-01-30,NN,,,2026-01-22T11:18:11.961,true,A,O,,2026-01-30,5710,AVELORIO,,,,,,,,,,,58.29C,NAFRev2,,N,N,NN,,00013,2026-01-22T11:18:11.961,,,,12,,,RUE,DE LA PART-DIEU,69003,LYON,,69383,,,693835220_B,843163.76,6519391.54,A,,,,,58.29C,NAFRev2,N,58.29Y
100063445,00017,10006344500017,O,2026-02-01,NN,,,2026-02-10T12:41:39.267,true,A,O,,2026-02-01,1000,,,M,LARROCHE,LARROCHE LEFEVRE,EDOUARD,,,,EDOUARD,LEOUD,58.29C,NAFRev2,,,,NN,,00017,2026-02-10T12:41:39.265,,,,50,,,RUE,GALLIENI,92240,MALAKOFF,,92046,,,920464120_B,648669.62,6857546.95,A,,,,FOLLHOME,58.29C,NAFRev2,N,58.29Y
100069939,00013,10006993900013,O,2026-01-19,NN,,,2026-01-22T12:36:44.715,true,A,O,,2026-01-19,5710,DPE PRO,,,,,,,,,,,58.29C,NAFRev2,,N,N,NN,,00013,2026-01-22T12:36:44.714,,,,327,,,ROUTE,DES PERRINS,38830,CRETS EN BELLEDONNE,,38439,,,384390604_B,935759.47,6478473.05,A,,,,DPE PRO,58.29C,NAFRev2,N,58.29Y
100091081,00016,10009108100016,O,2026-01-20,NN,,,2026-01-26T15:32:09.636,true,A,O,,2026-01-20,5710,WIZYGO,,,,,,,,,,,58.29C,NAFRev2,,N,N,NN,,00016,2026-01-26T15:32:09.636,,,,13,,,PORT,SAINT ETIENNE,31000,TOULOUSE,,31555,,,31555ipvi_B,575293.8,6279127.15,A,,,,BATIQO,58.29C,NAFRev2,N,58.29Y
100098490,00012,10009849000012,O,2026-01-14,NN,,,2026-01-23T18:32:52.871,true,A,O,,2026-01-14,5710,MNT,,,,,,,,,,,58.29C,NAFRev2,,N,N,NN,,00012,2026-01-23T18:32:52.87,,,,19,,,RUE,DES ARCHIVES,75004,PARIS,,75104,,,751040420_B,652695.98,6862260.69,A,,,,MANTA,58.29C,NAFRev2,N,58.29Y
100104611,00015,10010461100015,O,2026-01-12,NN,,,2026-02-16T13:03:01.965,true,A,O,,2026-01-12,5710,CHURCH MANAGER,CM,,,,,,,,,,58.29C,NAFRev2,,N,N,NN,,00015,2026-02-16T13:03:01.965,,,,38,,,RUE,DE METZ,92000,NANTERRE,,92050,,,920506210_B,643449.98,6867935.08,A,,,,CHURCH MANAGER,58.29C,NAFRev2,N,58.29Y
100114990,00011,10011499000011,O,2026-01-20,NN,,,2026-01-22T11:26:39.721,true,A,O,,2026-01-20,5710,MIVI,,,,,,,,,,,58.29C,NAFRev2,,N,N,NN,,00011,2026-01-22T11:26:39.72,,,,50,,,ALL,DES JARDINS DE L'OLYMPE,38320,BRIE-ET-ANGONNES,,38059,,,,,,A,,,,,58.29C,NAFRev2,N,58.29Y
100120039,00019,10012003900019,P,2026-01-21,NN,,,2026-02-21T19:00:24.14,true,A,P,,2026-01-21,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],58.29C,NAFRev2,,,,NN,,00019,2026-02-21T19:00:24.139,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],RODEZ,,12202,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],58.29C,NAFRev2,N,58.29Y
