siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
305163040,00168,30516304000168,O,2018-03-01,11,2023,,2025-12-05T18:01:38.979,false,A,O,,1986-12-22,5710,CIRIL GROUP,,,,,,,,,,,62.02A,NAFRev2,,N,,32,2023,00119,2025-12-06T05:25:38.131,ETI,2023,,7,,,ROUTE,DE GALICE,13090,AIX-EN-PROVENCE,,13001,,,130011161_B,895585.9219329247,6273156.466829096,A,,,,,58.29C,NAFRev2,O,58.29Y
305163040,00176,30516304000176,O,2018-03-15,02,2023,,2025-12-05T16:24:35.993,false,A,O,,1986-12-22,5710,CIRIL GROUP,,,,,,,,,,,62.02A,NAFRev2,,N,,32,2023,00119,2025-12-06T05:25:38.131,ETI,2023,,27,,,BOULEVARD,SOLFERINO,35000,RENNES,,35238,,,352389070_B,352717.7775929789,6788506.083042347,A,CIRIL GROUP,,,CIRIL GROUP,58.29C,NAFRev2,O,58.29Y
305163040,00184,30516304000184,O,2020-02-01,11,2023,,2025-12-05T17:17:33.254,false,A,O,,1986-12-22,5710,CIRIL GROUP,,,,,,,,,,,62.02A,NAFRev2,,N,,32,2023,00119,2025-12-06T05:25:38.131,ETI,2023,IMMEUBLE LE CAFFARELLI,9,,,PLACE,ALFONSE JOURDAIN,31000,TOULOUSE,,31555,,,315550169_B,573243.9756326511,6280391.015240471,A,CIRIL GROUP,,,CIRIL GROUP,58.29C,NAFRev2,O,58.29Y
305163040,00200,30516304000200,O,2020-07-01,02,2023,,2025-12-05T17:55:55.516,false,A,O,,1986-12-22,5710,CIRIL GROUP,,,,,,,,,,,62.02A,NAFRev2,,N,,32,2023,00119,2025-12-06T05:25:38.131,ETI,2023,BATIMENT HORLOGE,,,,,PARC D'ACTIVE SAVOIE TECHNOLAC,73370,LE BOURGET-DU-LAC,,73051,,,,,,A,,,,,58.29C,NAFRev2,N,58.29Y
305546616,00072,30554661600072,O,2019-10-01,NN,,,2025-12-05T16:50:47.549,false,A,O,,1976-01-01,5710,CENTRE D'ETUDES ET DE GESTION INFORMATIQUE,CEGI,,,,,,,,,,62.02B,NAFRev2,,N,,22,2023,00049,2025-12-06T05:43:28.217,ETI,2023,"ESPACE EUROPEEN, BATIMENT F",1,,,ALL,CLAUDE DEBUSSY,69130,ECULLY,,69081,,,690810147_C,,,A,,,,,58.29C,NAFRev2,O,58.29Y
305546616,00080,30554661600080,O,2019-10-01,NN,,,2025-12-05T21:42:10.049,false,A,O,,1976-01-01,5710,CENTRE D'ETUDES ET DE GESTION INFORMATIQUE,CEGI,,,,,,,,,,62.02B,NAFRev2,,N,,22,2023,00049,2025-12-06T05:43:28.217,ETI,2023,8-10,8,,,AVENUE,PIERRE MENDES-FRANCE,67300,SCHILTIGHEIM,,67447,,,674471093_B,1050647.91997463,6844463.57986186,A,,,,,58.29C,NAFRev2,N,58.29Y
305546616,00098,30554661600098,O,2019-10-01,NN,,,2025-12-05T16:31:54.313,false,A,O,,1976-01-01,5710,CENTRE D'ETUDES ET DE GESTION INFORMATIQUE,CEGI,,,,,,,,,,62.02B,NAFRev2,,N,,22,2023,00049,2025-12-06T05:43:28.217,ETI,2023,TERTIAL 2,216,,,ROUTE,DE SAINT SIMON,31100,TOULOUSE,,31555,,,315557988_B,570231.6308289481,6276935.625733033,A,,,,,58.29C,NAFRev2,O,58.29Y
309214864,00055,30921486400055,O,2012-05-01,21,2023,,2025-12-05T20:15:03.07,true,A,O,,1977-01-01,5710,SEPTEO SOLUTIONS CDJ,,,,,,,,,,,58.29C,NAFRev2,,N,,21,2023,00055,2025-12-06T05:43:36.151,ETI,2023,,44,,,RUE,DES TROIS MOULINS,44450,SAINT-JULIEN-DE-CONCELLES,,44169,,,441690480_C,,,A,,,,,58.29C,NAFRev2,O,58.29Y
309214864,00071,30921486400071,O,2022-12-31,NN,,,2025-12-05T20:50:39.086,false,A,O,,1977-01-01,5710,SEPTEO SOLUTIONS CDJ,,,,,,,,,,,58.29C,NAFRev2,,N,,21,2023,00055,2025-12-06T05:43:36.151,ETI,2023,POLE JULES VERNE,,,,RUE,DU CAPITAINE NEMO,80440,GLISY,,80379,,,803790010_B,655545.6294151454,6974002.55651233,A,,,,,58.29C,NAFRev2,O,58.29Y
310551031,00076,31055103100076,O,2006-04-01,NN,,,2025-12-05T16:58:03.151,false,A,O,,1977-10-25,5710,SINARI TMS PRO,,,,,,,,,,,58.29C,NAFRev2,,N,,12,2023,00118,2025-12-06T10:51:58.589,ETI,2023,ESPACE PEGASE,2,,,BOULEVARD,DE LA LIBERATION,93200,SAINT-DENIS,,93066,,,930665155_B,651717.874119927,6870045.827625594,A,,,,,58.29C,NAFRev2,N,58.29Y
