siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
313609133,00050,31360913300050,O,1999-06-21,21,2023,,2025-12-06T00:19:36.86,true,A,O,,1978-01-01,5710,STEF INFORMATION ET TECHNOLOGIES,,,,,,,,,,,62.02A,NAFRev2,,N,,32,2023,00050,2025-12-06T05:39:10.904,GE,2023,,93,,,BOULEVARD,MALESHERBES,75008,PARIS,,75108,,,751085951_B,649764.8893399736,6864498.032381738,A,,,,,58.29C,NAFRev2,O,58.29Y
313609133,00118,31360913300118,O,2004-06-01,22,2023,,2025-12-05T18:24:21.522,false,A,O,,1978-01-01,5710,STEF INFORMATION ET TECHNOLOGIES,,,,,,,,,,,62.02A,NAFRev2,,N,,32,2023,00050,2025-12-06T05:39:10.904,GE,2023,ZONE D'ATLANTHEIX,,,,RUE,JACQUES CARTIER,56450,THEIX-NOYALO,,56251,,,,,,A,,,,,58.29C,NAFRev2,O,58.29Y
317288389,00800,31728838900800,O,2025-06-30,NN,,,2025-12-05T18:46:00.736,false,A,O,,1979-01-01,5710,FIDUCIAL INFORMATIQUE,,,,,,,,,,,62.02A,NAFRev2,,N,,41,2023,00529,2025-12-06T07:18:41.023,GE,2023,,304,,,AVENUE,DE LA REPUBLIQUE,83000,TOULON,,83137,,,831376175_B,938771.36,6228964.78,A,,,,,58.29C,NAFRev2,O,58.29Y
322306440,00213,32230644000213,O,2008-11-03,51,2023,,2025-12-05T18:32:46.429,true,A,O,,1981-11-01,5800,DASSAULT SYSTEMES,,,,,,,,,,,58.29C,NAFRev2,,N,,51,2023,00213,2026-01-08T05:12:07.643,GE,2023,,10,,,RUE,MARCEL DASSAULT,78140,VELIZY-VILLACOUBLAY,,78640,,,786400325_B,642020.5663146778,6854271.438103669,A,,,,,58.29C,NAFRev2,O,58.29Y
322306440,00239,32230644000239,O,2010-02-01,22,2023,,2025-12-05T19:49:28.797,false,A,O,,1981-11-01,5800,DASSAULT SYSTEMES,,,,,,,,,,,58.29C,NAFRev2,,N,,51,2023,00213,2026-01-08T05:12:07.643,GE,2023,ZAC DES RAMASSIERS LES AILES DE ...,37,,,CHEMIN,DES RAMASSIERS,31770,COLOMIERS,,31149,,,311491065_B,567191.2108785195,6279186.825358695,A,,,,,58.29C,NAFRev2,O,58.29Y
322306440,00270,32230644000270,O,2011-07-01,12,2023,,2025-12-06T03:51:04.602,false,A,O,,1981-11-01,5800,DASSAULT SYSTEMES,,,,,,,,,,,58.29C,NAFRev2,,N,,51,2023,00213,2026-01-08T05:12:07.643,GE,2023,,120,,,RUE,RENE DESCARTES,29280,PLOUZANE,,29212,,,292122107_B,140460.42687543016,6833222.077533954,A,,,,,58.29C,NAFRev2,O,58.29Y
322306440,00296,32230644000296,O,2011-07-18,41,2023,,2025-12-06T03:44:06.965,false,A,O,,1981-11-01,5800,DASSAULT SYSTEMES,,,,,,,,,,,58.29C,NAFRev2,,N,,51,2023,00213,2026-01-08T05:12:07.643,GE,2023,IMMEUBLE TERRE EUROPA 1 A 3,1,,,RUE,JEANNE BRACONNIER,92360,MEUDON,,92048,,,920481311_B,642037.8029212983,6854533.127002153,A,,,,,58.29C,NAFRev2,O,58.29Y
322306440,00304,32230644000304,O,2011-10-01,12,2023,,2025-12-05T18:30:11.682,false,A,O,,1981-11-01,5800,DASSAULT SYSTEMES,,,,,,,,,,,58.29C,NAFRev2,,N,,51,2023,00213,2026-01-08T05:12:07.643,GE,2023,,53,,,AVENUE,DE L'EUROPE,13090,AIX-EN-PROVENCE,,13001,,,130010975_B,896319.2597651979,6272556.270276116,A,,,,,58.29C,NAFRev2,O,58.29Y
322306440,00346,32230644000346,O,2013-03-01,12,2023,,2025-12-06T00:38:51.006,false,A,O,,1981-11-01,5800,DASSAULT SYSTEMES,,,,,,,,,,,58.29C,NAFRev2,,N,,51,2023,00213,2026-01-08T05:12:07.643,GE,2023,IMMEUBLE LE BRITANNIA 6EME ETAGE BATIM,20,,,BOULEVARD,EUGENE DERUELLE,69003,LYON,,69383,,,693832615_B,844088.7542521214,6519826.744247232,A,,,,,58.29C,NAFRev2,O,58.29Y
322306440,00387,32230644000387,O,2014-09-19,12,2023,,2025-12-05T19:12:10.042,false,A,O,,1981-11-01,5800,DASSAULT SYSTEMES,,,,,,,,,,,58.29C,NAFRev2,,N,,51,2023,00213,2026-01-08T05:12:07.643,GE,2023,BATIMENT B,15,,,RUE,CLAUDE CHAPPE,35510,CESSON-SEVIGNE,,35051,,,350510659_B,356415.46032408084,6791957.311039559,A,,,,,58.29C,NAFRev2,O,58.29Y
