siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
062502158,00017,06250215800017,O,1962-01-01,NN,,,2025-12-06T03:42:47.483,true,A,O,,1962-01-01,5499,LAFEL LA FABRICATION ELECTRONIQUE,,,,,,,,,,,26.12Z,NAFRev2,,,,NN,,00017,2025-12-06T08:42:05.65,PME,2023,,,,,ROUTE,DE GRENOBLE,38430,MOIRANS,,38239,,,382390173_B,902064.0365360889,6472975.97495878,A,,,,,26.12Z,NAFRev2,N,26.12Y
100151034,00012,10015103400012,P,2026-01-30,NN,,,2026-01-22T07:31:38.284,true,A,P,,2026-01-30,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],26.12Z,NAFRev2,,,,NN,,00012,2026-01-22T07:31:38.283,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],MONTHUCHON,,50345,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],26.12Z,NAFRev2,N,59.12Y
100319060,00016,10031906000016,O,2026-01-25,NN,,,2026-01-26T10:41:31.702,true,A,O,,2026-01-25,1000,,,M,QAMAR,,SAID,,,,SAID,,26.12Z,NAFRev2,,,,NN,,00016,2026-01-26T10:41:31.702,,,,75,,,RUE,GABRIEL PERI,93310,LE PRE-SAINT-GERVAIS,,93061,,,930614110_B,656644.73,6865518.98,A,,,,QAMAR EMBEDDED,26.12Z,NAFRev2,N,26.12Y
100416163,00010,10041616300010,O,2025-12-01,NN,,,2026-01-28T06:46:12.949,true,A,O,,2025-12-01,3220,THAMES CARD TECHNOLOGY LTD,,,,,,,,,,,26.12Z,NAFRev2,,N,N,NN,,00010,2026-01-28T06:46:12.948,,,,,,,,"BEMROSE BOOTH PARAGON LTD, STOCK",HY7 0XY,,HULL,,99132,ROYAUME-UNI,,,,A,,,,,26.12Z,NAFRev2,N,26.12Y
300116076,00070,30011607600070,O,1998-01-01,NN,,,2025-12-05T16:22:02.855,false,A,O,,1982-01-01,5599,1 CIS CONCEPTION INTEGRATION SYSTEMES,,,,,,,,,,,26.12Z,NAFRev2,,,,NN,,00062,2025-12-06T06:02:37.873,PME,2023,ZAC LA ROBOLE,35,,,RUE,PIERRE-SIMON LAPLACE,13290,AIX-EN-PROVENCE,,13001,,,130012374_B,892552.6846596055,6267165.278209142,A,,,,,26.12Z,NAFRev2,N,26.12Y
301467643,00021,30146764300021,O,1900-01-01,12,2023,,2025-12-05T23:21:52.03,true,A,O,,1974-01-01,5710,INOVELEC COMATTEL,COMATTEL,,,,,,,,,,26.12Z,NAFRev2,,N,,12,2023,00021,2025-12-06T06:27:15.335,ETI,2023,,,,,,ZI LA GANE LACHAUD,19140,UZERCHE,,19276,,,,,,A,,,,INOVELEC COMATTEL,26.12Z,NAFRev2,O,26.12Y
301917241,00020,30191724100020,O,1990-11-21,NN,,,2025-12-06T04:57:52.204,false,A,O,,1900-01-01,5710,PANTOMECA,,,,,,,,,,,26.12Z,NAFRev2,,N,,12,2023,00079,2025-12-06T05:16:50.738,PME,2023,,,,,RUE,DE LA GARE,79160,SAINT-POMPAIN,,79290,,,792900080_B,424783.7927291881,6598839.462821632,A,,,,,26.12Z,NAFRev2,O,28.22Y
301917241,00079,30191724100079,O,2020-02-01,12,2023,,2025-12-05T18:32:44.163,true,A,O,,1900-01-01,5710,PANTOMECA,,,,,,,,,,,26.12Z,NAFRev2,,N,,12,2023,00079,2025-12-06T05:16:50.738,PME,2023,,17,,,RUE,BLAISE PASCAL,79000,NIORT,,79191,,,791910670_B,431660.1357031754,6585118.310256967,A,,,,,26.12Z,NAFRev2,O,28.22Y
302182753,00020,30218275300020,O,1980-04-01,21,2023,,2025-12-05T23:03:33.718,true,A,O,,1975-01-01,5710,SECTRONIC,,,,,,,,,,,26.12Z,NAFRev2,,N,,21,2023,00020,2025-12-06T05:20:45.797,ETI,2023,ANCIENNEMENT ZI LA CANTERIE,,,,,LA CANTERIE,37800,SAINTE-MAURE-DE-TOURAINE,,37226,,,372261e6vdv_B,519280.00563129387,6668815.183124859,A,,,,,26.12Z,NAFRev2,O,26.12Y
303889612,00030,30388961200030,O,1988-09-01,NN,,,2025-12-05T19:51:31.142,true,A,O,,1961-01-01,5499,STREL,STREL,,,,,,,,,,26.12Z,NAFRev2,,,,NN,,00030,2025-12-06T07:44:17.054,PME,2023,,353,,,CHEMIN,DES MAURUCHES SUPERIEURES,06220,VALLAURIS,,06155,,,061550620_B,1028065.964143476,6283706.186839056,A,,,,,26.12Z,NAFRev2,O,26.12Y
