siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
301467643,00021,30146764300021,O,1900-01-01,12,2023,,2025-12-05T23:21:52.03,true,A,O,,1974-01-01,5710,INOVELEC COMATTEL,COMATTEL,,,,,,,,,,26.12Z,NAFRev2,,N,,12,2023,00021,2025-12-06T06:27:15.335,ETI,2023,,,,,,ZI LA GANE LACHAUD,19140,UZERCHE,,19276,,,,,,A,,,,INOVELEC COMATTEL,26.12Z,NAFRev2,O,26.12Y
302182753,00020,30218275300020,O,1980-04-01,21,2023,,2025-12-05T23:03:33.718,true,A,O,,1975-01-01,5710,SECTRONIC,,,,,,,,,,,26.12Z,NAFRev2,,N,,21,2023,00020,2025-12-06T05:20:45.797,ETI,2023,ANCIENNEMENT ZI LA CANTERIE,,,,,LA CANTERIE,37800,SAINTE-MAURE-DE-TOURAINE,,37226,,,372261e6vdv_B,519280.00563129387,6668815.183124859,A,,,,,26.12Z,NAFRev2,O,26.12Y
306606583,00053,30660658300053,O,2012-04-01,21,2023,,2025-12-06T03:04:53.92,true,A,O,,1976-01-01,5710,SA MAATEL,,,,,,,,,,,26.12Z,NAFRev2,,N,,21,2023,00053,2025-12-06T10:51:51.715,ETI,2023,,259,,,RUE,DU ROCHER DE LORZIER,38430,MOIRANS,,38239,,,382390333_B,903090.3313932039,6472333.013949078,A,,,,,26.12Z,NAFRev2,O,26.12Y
312286040,00018,31228604000018,O,1978-01-01,12,2023,,2025-12-05T23:55:50.127,false,A,O,,1978-01-01,5499,LES CABLAGES DE L OUEST,LCO,,,,,,,,,,26.11Z,NAFRev2,,,,12,2023,00042,2025-12-06T05:43:36.17,ETI,2023,ZA,,,,RUE,AUGUSTE ET LOUIS LUMIERE,53230,COSSE-LE-VIVIEN,,53077,,,530770076_B,407774.97005741764,6766534.31527878,A,,,,,26.12Z,NAFRev2,O,26.12Y
312286040,00042,31228604000042,O,2012-07-02,NN,,,2025-12-06T04:35:07.68,true,A,O,,1978-01-01,5499,LES CABLAGES DE L OUEST,LCO,,,,,,,,,,26.11Z,NAFRev2,,,,12,2023,00042,2025-12-06T05:43:36.17,ETI,2023,,2,,,RUE,DE LA FORGE,53800,RENAZE,,53188,,,531880355_B,397211.4970804455,6750864.650665125,A,,,,,26.12Z,NAFRev2,N,26.12Y
313402232,00059,31340223200059,O,2007-01-01,21,2023,,2025-12-06T04:22:31.851,false,A,O,,1978-01-01,9220,ASSOCIATION AVATH,,,,,,,,,,,88.10C,NAFRev2,W832000663,O,,32,2023,00018,2025-12-06T05:18:50.692,ETI,2023,,29,,,RUE,VICTOR ESCLANGON,83000,TOULON,,83137,,,831377138_B,939683.5182789571,6230087.946477045,A,,,,,26.12Z,NAFRev2,N,26.12Y
314814831,00025,31481483100025,O,1900-01-01,22,2023,,2025-12-06T01:17:29.228,true,A,O,,1979-01-01,5710,ANJOU ELECTRONIQUE,,,,,,,,,,,26.12Z,NAFRev2,,N,,22,2023,00025,2025-12-06T06:35:13.459,ETI,2023,,353,,,RUE,DE LA TECHNOLOGIE,49160,LONGUE-JUMELLES,,49180,,,491801990_B,466675.64,6701171.65,A,,,,NSE ANJOU,26.12Z,NAFRev2,O,26.12Y
317031706,00011,31703170600011,O,1979-01-01,21,2023,2611ZA,2025-12-05T23:53:09.144,true,A,O,,1979-01-01,5710,ARELIS,ARELIS,,,,,,,,,,26.12Z,NAFRev2,,N,,22,2023,00011,2025-12-06T06:17:11.505,ETI,2023,,,,,,ZI DE MARVILLE,55600,MARVILLE,,55324,,,,,,A,,,,ARELIS,26.12Z,NAFRev2,O,26.12Y
319689394,00025,31968939400025,O,1983-02-05,31,2023,,2025-12-05T23:42:13.824,true,A,O,,1980-07-18,5710,FABRICATION ELECTRONIQUE DE DORDOGNE,FEDD,,,,,,,,,,26.12Z,NAFRev2,,N,,31,2023,00025,2025-12-06T05:19:59.108,ETI,2023,,9,,,ALL,RENE PIVATY   WILMET LIEU DIT SA,24380,VAL DE LOUYRE ET CAUDEAU,,24362,,,,,,A,,,,,26.12Z,NAFRev2,O,26.12Y
325893790,00015,32589379000015,O,1982-10-05,32,2023,,2025-12-06T03:09:47.031,true,A,O,,1982-10-05,5710,SOCIETE ELECTRONIQUE DU HAUT ANJOU,SELHA,,,,,,,,,,26.12Z,NAFRev2,,N,,32,2023,00015,2025-12-06T06:52:02.374,ETI,2023,,2,,,RUE,DE LA FORGE,53800,RENAZE,,53188,,,531880355_B,397211.4970804455,6750864.650665125,A,,,,SELHA,26.12Z,NAFRev2,O,26.12Y
