siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
340709534,00275,34070953400275,O,2018-02-15,11,2023,,2025-12-05T19:59:13.06,false,A,O,,1987-03-01,5710,IDEMIA FRANCE,,,,,,,,,,,26.12Z,NAFRev2,,N,,42,2023,00283,2025-12-06T09:42:24.279,GE,2023,GREEN SIDE VILLAGE - BATIMENT 3,400,,,AVENUE,ROUMANILLE,06410,BIOT,,06018,,,060180698_B,1028827.8850304394,6288719.495277827,A,,,,,26.12Z,NAFRev2,N,26.12Y
340709534,00283,34070953400283,O,2018-10-10,41,2023,,2025-12-06T02:24:52.988,true,A,O,,1987-03-01,5710,IDEMIA FRANCE,,,,,,,,,,,26.12Z,NAFRev2,,N,,42,2023,00283,2025-12-06T09:42:24.279,GE,2023,,2,,,PLACE,SAMUEL DE CHAMPLAIN,92400,COURBEVOIE,,92026,,,920268522_B,644250.6784568048,6866496.883295736,A,,,,,26.12Z,NAFRev2,N,26.12Y
340709534,00291,34070953400291,O,2016-05-11,12,2023,,2025-12-05T20:54:15.588,false,A,O,,1987-03-01,5710,IDEMIA FRANCE,,,,,,,,,,,26.12Z,NAFRev2,,N,,42,2023,00283,2025-12-06T09:42:24.279,GE,2023,,11,,,AVENUE,DE CANTERANNE,33600,PESSAC,,33318,,,333180674_B,412747.3665352515,6416240.213379095,A,,,,,26.12Z,NAFRev2,N,26.12Y
340709534,00309,34070953400309,O,2024-04-25,NN,,,2025-12-05T18:59:21.208,false,A,O,,1987-03-01,5710,IDEMIA FRANCE,,,,,,,,,,,26.12Z,NAFRev2,,N,,42,2023,00283,2025-12-06T09:42:24.279,GE,2023,,1,,,RUE,JOSEPH MARIE JACQUARD,35500,VITRE,,35360,,,353601289_B,390118.99,6788208.09,A,,,,,26.12Z,NAFRev2,O,26.12Y
340709534,00317,34070953400317,O,2024-06-11,NN,,,2025-12-05T17:14:24.532,false,A,O,,1987-03-01,5710,IDEMIA FRANCE,,,,,,,,,,,26.12Z,NAFRev2,,N,,42,2023,00283,2025-12-06T09:42:24.279,GE,2023,,18,,,CHAUSSEE,JULES CESAR,95520,OSNY,,95476,,,954760640_B,631763.76,6883994.57,A,,,,,26.12Z,NAFRev2,N,26.12Y
383475092,00235,38347509200235,O,2017-12-31,41,2023,,2025-12-05T17:55:53.788,false,A,O,,1991-10-18,5710,THALES DMS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00110,2025-12-06T05:26:37.032,GE,2023,CAP BRETAGNE,,,,,ZA PIQUET,35370,ETRELLES,,35109,,,,,,A,,,,,26.12Z,NAFRev2,O,26.12Y
389192030,00382,38919203000382,O,2025-10-01,NN,,,2025-12-29T10:05:27.586,false,A,O,,1992-11-16,5710,ARABELLE SOLUTIONS FRANCE,,,,,,,,,,,28.11Z,NAFRev2,,N,,42,2023,00366,2025-12-06T05:26:37.093,GE,2023,ZONE INDUSTRIELLE,418,,,RUE,DENIS PAPIN,54710,LUDRES,,54328,,,543280530_B,934599.54,6839450.95,A,,,,,26.12Z,NAFRev2,N,26.12Y
403748379,00019,40374837900019,O,1995-12-25,21,2023,,2025-12-06T04:58:01.167,true,A,O,,1995-12-25,5710,EIFFAGE ENERGIE SYSTEMES - ELECTRONIQUE,EES - ELECTRONIQUE,,,,,,,,,,26.12Z,NAFRev2,,N,,21,2023,00019,2025-12-06T06:15:16.613,GE,2023,,,,,RTE,DEPARTEMENTALE 937,62131,VERQUIN,,62848,,,,,,A,,,,,26.12Z,NAFRev2,O,26.12Y
412580839,00055,41258083900055,O,2019-12-01,21,2023,,2025-12-05T22:26:31.96,true,A,O,,1997-07-01,5710,STAYMATEL,,,,,,,,,,,26.12Z,NAFRev2,,N,,21,2023,00055,2025-12-06T05:14:58.283,GE,2023,ZAC DU POLE DE PRODUCTION,1108,,,AVENUE,DES LIONS,83600,FREJUS,,83061,,,830611369_B,1002482.2968708202,6271430.211936902,A,STAYMATEL,,,,26.12Z,NAFRev2,O,26.12Y
443975024,00029,44397502400029,O,2003-01-01,32,2023,,2025-12-05T17:57:38.026,true,A,O,,2002-10-30,5710,SDEL CONTROLE COMMANDE,,,,,,,,,,,26.12Z,NAFRev2,,N,,32,2023,00029,2025-12-06T05:17:02.391,GE,2023,D2A,,,,RUE,NUNGESSER ET COLI,44860,SAINT-AIGNAN-GRANDLIEU,,44150,,,441500216_B,352146.33482670353,6682931.864279857,A,,,,,26.12Z,NAFRev2,O,26.12Y
