siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
062502158,00017,06250215800017,O,1962-01-01,NN,,,2025-12-06T03:42:47.483,true,A,O,,1962-01-01,5499,LAFEL LA FABRICATION ELECTRONIQUE,,,,,,,,,,,26.12Z,NAFRev2,,,,NN,,00017,2025-12-06T08:42:05.65,PME,2023,,,,,ROUTE,DE GRENOBLE,38430,MOIRANS,,38239,,,382390173_B,902064.0365360889,6472975.97495878,A,,,,,26.12Z,NAFRev2,N,26.12Y
300116076,00070,30011607600070,O,1998-01-01,NN,,,2025-12-05T16:22:02.855,false,A,O,,1982-01-01,5599,1 CIS CONCEPTION INTEGRATION SYSTEMES,,,,,,,,,,,26.12Z,NAFRev2,,,,NN,,00062,2025-12-06T06:02:37.873,PME,2023,ZAC LA ROBOLE,35,,,RUE,PIERRE-SIMON LAPLACE,13290,AIX-EN-PROVENCE,,13001,,,130012374_B,892552.6846596055,6267165.278209142,A,,,,,26.12Z,NAFRev2,N,26.12Y
301917241,00020,30191724100020,O,1990-11-21,NN,,,2025-12-06T04:57:52.204,false,A,O,,1900-01-01,5710,PANTOMECA,,,,,,,,,,,26.12Z,NAFRev2,,N,,12,2023,00079,2025-12-06T05:16:50.738,PME,2023,,,,,RUE,DE LA GARE,79160,SAINT-POMPAIN,,79290,,,792900080_B,424783.7927291881,6598839.462821632,A,,,,,26.12Z,NAFRev2,O,28.22Y
301917241,00079,30191724100079,O,2020-02-01,12,2023,,2025-12-05T18:32:44.163,true,A,O,,1900-01-01,5710,PANTOMECA,,,,,,,,,,,26.12Z,NAFRev2,,N,,12,2023,00079,2025-12-06T05:16:50.738,PME,2023,,17,,,RUE,BLAISE PASCAL,79000,NIORT,,79191,,,791910670_B,431660.1357031754,6585118.310256967,A,,,,,26.12Z,NAFRev2,O,28.22Y
303889612,00030,30388961200030,O,1988-09-01,NN,,,2025-12-05T19:51:31.142,true,A,O,,1961-01-01,5499,STREL,STREL,,,,,,,,,,26.12Z,NAFRev2,,,,NN,,00030,2025-12-06T07:44:17.054,PME,2023,,353,,,CHEMIN,DES MAURUCHES SUPERIEURES,06220,VALLAURIS,,06155,,,061550620_B,1028065.964143476,6283706.186839056,A,,,,,26.12Z,NAFRev2,O,26.12Y
304634918,00011,30463491800011,O,1975-01-01,11,2023,,2025-12-05T20:47:23.361,true,A,O,,1975-01-01,5710,MICRONIQUE,,,,,,,,,,,26.12Z,NAFRev2,,,,11,2023,00011,2025-12-06T07:24:19.24,PME,2023,,61,,,RUE,FERNAND LAGUIDE,91100,CORBEIL-ESSONNES,,91174,,,911749irt_B,660078.517293603,6833111.523872846,A,,,,,26.12Z,NAFRev2,O,26.12Y
305110553,00057,30511055300057,O,2001-04-01,NN,,2640ZZ,2025-12-06T04:34:36.571,true,A,O,,1976-01-01,5499,SOC EXPL ETUD APPLICAT ELECTRON CRESTO,,,,,,,,,,,26.12Z,NAFRev2,,,,NN,,00057,2025-12-06T06:10:55.765,PME,2023,,29,,,RUE,DES FRERES LUMIERE,69680,CHASSIEU,,69271,,,692710221_B,852398.3380097752,6516885.690190272,A,,,,,26.12Z,NAFRev2,O,26.12Y
305545469,00028,30554546900028,O,1986-05-12,NN,,2612ZZ,2025-12-05T17:06:48.484,true,A,O,,1976-01-01,5499,CONSTRUCTIONS ET RECHERCHES ELECTRONIQUES CHATELLERAUDAISES,C.E.R.E.C.,,,,,,,,,,26.12Z,NAFRev2,,,,NN,,00028,2025-12-06T10:13:22.285,PME,2023,ZA LA FONTAINE,3,,,RUE,ANDRE CITROEN,86540,THURE,,86272,,,862720100_B,510618.408763483,6640100.268777451,A,,,,,26.12Z,NAFRev2,N,26.12Y
307330522,00052,30733052200052,O,2020-01-01,NN,,2651BZ,2025-12-06T04:10:20.769,true,A,O,,1976-01-01,5710,SCAITA,SCAITA,,,,,,,,,,26.12Z,NAFRev2,,N,,NN,,00052,2025-12-06T06:04:44.294,PME,2023,ASPACH MICHELBACH,600,,,RUE,NICOLAS KOECHLIN,68700,ASPACH-MICHELBACH,,68012,,,,,,A,SCAITA,,,,26.12Z,NAFRev2,N,26.12Y
311594030,00059,31159403000059,O,2010-04-30,NN,,2611ZA,2025-12-05T20:51:32.445,true,A,O,,1977-01-01,5499,ATELIER TECHNIQUES DE CROISSY-SOCIETE DE CABLAGE ELECTRONIQUE,ATC SCE,,,,,,,,,,26.12Z,NAFRev2,,,,NN,,00059,2025-12-06T10:12:27.217,PME,2023,ZA LIEUDIT LES COMMUNES,14,,,RUE,DES COMMUNES,78260,ACHERES,,78005,,,780050108_B,631140.7909169181,6874262.005197548,A,ATC SCE,,,,26.12Z,NAFRev2,O,26.12Y
312499924,00032,31249992400032,O,1997-04-01,NN,,2640ZZ,2025-12-05T17:00:47.585,true,A,O,,1978-01-01,1000,,,M,LAGRANGE,,DIDIER,,,,DIDIER,,26.12Z,NAFRev2,,,,NN,,00032,2025-12-06T08:36:21.142,PME,2023,,75,,,COURS,EMILE ZOLA,69100,VILLEURBANNE,,69266,,,692661440_B,845290.5335034075,6520781.062738201,A,,,,,26.12Z,NAFRev2,N,26.12Y
315173369,00044,31517336900044,O,2018-11-19,22,2023,,2025-12-06T03:13:27.511,true,A,O,,1979-01-01,5599,STAE SOUS TRAITANTS ASSOC ELEC,STAE,,,,,,,,,,26.12Z,NAFRev2,,N,,22,2023,00044,2025-12-06T05:15:21.276,PME,2023,,12,,,AVENUE,DU GARIGLIANO,91600,SAVIGNY-SUR-ORGE,,91589,,,915893381_B,651059.1984332475,6843739.9741622135,A,,,,STAE,26.12Z,NAFRev2,O,26.12Y
316973015,00035,31697301500035,O,1984-09-05,NN,,,2025-12-05T16:26:04.012,false,A,O,,1979-01-01,5710,BREIZELEC,,,,,,,,,,,33.13Z,NAFRev2,,N,,22,2023,00068,2025-12-06T05:25:38.214,PME,2023,,,,,LD,PEN AR C HOAT,29550,PLOMODIERN,,29172,,,,,,A,,,,,26.12Z,NAFRev2,O,26.12Y
316973015,00050,31697301500050,O,2004-01-01,11,2023,,2025-12-05T22:16:35.806,false,A,O,,1979-01-01,5710,BREIZELEC,,,,,,,,,,,33.13Z,NAFRev2,,N,,22,2023,00068,2025-12-06T05:25:38.214,PME,2023,,,,,,KERHARO,29550,PLOMODIERN,,29172,,,29172801kzx_B,163044.72868729092,6810076.205798272,A,,,,,26.12Z,NAFRev2,N,26.12Y
317426294,00029,31742629400029,O,1981-12-15,22,2023,,2025-12-05T23:39:11.863,true,A,O,,1979-01-01,5710,"SOCIETE ETUDES ET REALISATIONS ELECTRONIQUES ET MICRO-SYSTEMES PAR ABREVIATION : "" E.R.E.M.S.""",EREMS,,,,,,,,,,26.12Z,NAFRev2,,N,,22,2023,00029,2025-12-06T05:13:41.312,PME,2023,ZI DE FLOURENS,13,,,CHEMIN,DE LA MADELEINE,31130,FLOURENS,,31184,,,311840012_B,582365.8653362235,6279023.999126896,A,,,,,26.12Z,NAFRev2,O,26.12Y
317926483,00023,31792648300023,O,1989-09-29,12,2023,,2025-12-06T00:09:59.377,true,A,O,,1980-01-01,5710,SOCIETE NOUVELLE D'EQUIPEMENT ELECTRONIQUE SARTHOISE,SNEES,,,,,,,,,,26.12Z,NAFRev2,,N,,12,2023,00023,2025-12-06T05:29:01.639,PME,2023,ZA DU PONT,13,,,RUE,SAINT BLAISE,72300,SABLE-SUR-SARTHE,,72264,,,722641444_B,452455.72315262794,6752279.10238807,A,,,,,26.12Z,NAFRev2,O,26.12Y
318291572,00044,31829157200044,O,1995-11-24,21,2023,,2025-12-06T00:03:38.839,true,A,O,,1980-01-01,5499,FREMACH DIEPPE,FREMACH,,,,,,,,,,26.12Z,NAFRev2,,N,,21,2023,00044,2025-12-06T05:14:21.031,PME,2023,,338,,,RUE,D'ARQUES,76510,SAINT-NICOLAS-D'ALIERMONT,,76624,,,766240020_B,571779.4694561183,6977355.502765915,A,,,,,26.12Z,NAFRev2,O,26.12Y
318300456,00023,31830045600023,O,1990-05-10,11,2023,,2025-12-06T00:09:04.486,true,A,O,,1980-01-01,5710,SOCIETE INDUSTRIELLE D'ETUDES ET DE REALISATIONS ELECTRONIQUES SIDEREL,SIDEREL,,,,,,,,,,26.12Z,NAFRev2,,,,11,2023,00023,2025-12-06T05:43:36.203,PME,2023,,24,,,AVENUE,SALVADOR ALLENDE,94500,CHAMPIGNY-SUR-MARNE,,94017,,,940178290_B,666611.7935998486,6856679.662470826,A,,,,,26.12Z,NAFRev2,O,26.12Y
318606324,00032,31860632400032,O,2006-03-15,11,2023,,2025-12-06T00:34:50.722,true,A,O,,1980-01-01,5710,RAC ELECTRONIC,,,,,,,,,,,26.12Z,NAFRev2,,N,,11,2023,00032,2025-12-06T09:02:49.969,PME,2023,,30,,,RUE,DE LA SOURCE,38180,SEYSSINS,,38486,,,384861010_B,911775.4709257755,6455070.787821662,A,,,,,26.12Z,NAFRev2,O,26.12Y
319488631,00023,31948863100023,O,1981-02-01,02,2023,2611ZA,2025-12-06T03:53:22.932,true,A,O,,1980-06-23,5499,DIOISE D'ELECTRONIQUE ET D'AUTOMATISME,DEA,,,,,,,,,,26.12Z,NAFRev2,,N,,02,2023,00023,2025-12-06T10:21:18.808,PME,2023,,,,,AVENUE,DE LA CLAIRETTE,26150,DIE,,26113,,,261130467_B,886537.8408511118,6409626.295007856,A,,,,,26.12Z,NAFRev2,O,26.12Y
320588064,00016,32058806400016,O,1980-12-01,03,2023,,2025-12-06T03:34:19.337,true,A,O,,1980-12-01,5499,APELEC,,,,,,,,,,,26.12Z,NAFRev2,,,,03,2023,00016,2025-12-06T05:14:08.189,PME,2023,,,,,,ZI,45230,SAINTE-GENEVIEVE-DES-BOIS,,45278,,,,,,A,,,,,26.12Z,NAFRev2,O,26.12Y
321325383,00024,32132538300024,O,1989-04-02,NN,,,2025-12-05T16:38:39.731,false,A,O,,1980-12-17,1000,,,M,HUO YUE-CHANG,,JEAN-PAUL,,,,JEAN-PAUL,,43.21A,NAFRev2,,,,03,2023,00032,2025-12-06T05:40:24.767,PME,2023,,14,,,RUE,DE L'AMIRAL DECAEN,97400,SAINT-DENIS,,97411,,,974110400_B,339314.4809773157,7689639.998140823,A,EMITECH,,,,26.12Z,NAFRev2,N,26.12Y
321325383,00032,32132538300032,O,1993-09-10,03,2023,2612ZZ,2025-12-05T18:27:50.797,true,A,O,,1980-12-17,1000,,,M,HUO YUE-CHANG,,JEAN-PAUL,,,,JEAN-PAUL,,43.21A,NAFRev2,,,,03,2023,00032,2025-12-06T05:40:24.767,PME,2023,,13,,,RUE,DE L'AMIRAL DECAEN,97400,SAINT-DENIS,,97411,,,974110400_B,339323.86253748846,7689670.644771328,A,,,,,26.12Z,NAFRev2,O,26.12Y
321703100,00040,32170310000040,O,2010-01-15,22,2023,,2025-12-06T00:04:54.067,true,A,O,,1981-03-01,5710,SEPROLEC FRANCE,,,,,,,,,,,26.12Z,NAFRev2,,N,,22,2023,00040,2025-12-06T05:25:38.241,PME,2023,PARC D'ACTIVITES LES NEUVILLIERES,,,,RUE,GUILLAUME LE CONQUERANT,14500,VIRE-NORMANDIE,,14762,,,,,,A,,,,,26.12Z,NAFRev2,O,26.12Y
321783383,00045,32178338300045,O,1995-03-30,12,2023,,2025-12-18T13:10:12.103,true,A,O,,1981-02-01,5710,CAPELEC,,,,,,,,,,,26.12Z,NAFRev2,,N,,12,2023,00045,2025-12-18T13:10:12.094,PME,2023,,,,,RUE,DES LANDES VALLEES,35540,MINIAC-MORVAN,,35179,,,351790053_B,337412.8280844104,6837285.173730704,A,,,,,26.12Z,NAFRev2,N,26.12Y
321920647,00013,32192064700013,O,1981-06-01,02,2023,2611ZA,2025-12-06T03:39:17.912,true,A,O,,1981-06-01,5499,SOCIETE D'ASSEMBLAGE ET DE CABLAGE ELECTRONIQUE PROFESSIONNEL,SACEP,,,,,,,,,,26.12Z,NAFRev2,,,,02,2023,00013,2025-12-06T10:29:20.701,PME,2023,,,,,RUE,DE LA GARE,79160,SAINT-POMPAIN,,79290,,,792900080_B,424783.7927291881,6598839.462821632,A,,,,,26.12Z,NAFRev2,O,26.12Y
323623066,00020,32362306600020,O,1994-08-01,12,2023,,2025-12-06T00:09:44.648,true,A,O,,1982-01-01,5710,LES ATELIERS ELECTRONIQUES DE LA LOIRE,AEL,,,,,,,,,,26.12Z,NAFRev2,,N,,12,2023,00020,2025-12-06T05:20:09.055,PME,2023,,54,,,RUE,CLAUDE D'URFE LIEUDIT LES TROIS,42430,CHAMPOLY,,42047,,,,,,A,,,,,26.12Z,NAFRev2,O,26.12Y
323647511,00027,32364751100027,O,1990-11-07,01,2023,2630ZZ,2025-12-06T04:52:15.066,false,A,O,,1982-01-01,5599,PRETEL,,,,,,,,,,,26.51A,NAFRev2,,N,,01,2023,00035,2025-12-06T07:26:27.875,PME,2023,ZAE BP 25,,,,,AUX BAUCHES,38640,CLAIX,,38111,,,38111B006_C,,,A,,,,,26.12Z,NAFRev2,O,26.12Y
323690495,00052,32369049500052,O,2022-09-01,03,2023,,2025-12-05T17:15:38.38,true,A,O,,1982-01-01,5710,SOCIETE DE CONSTRUCTION ELECTRONIQUE ET ELECTRIQUE,SCEL,,,,,,,,,,26.12Z,NAFRev2,,N,,03,2023,00052,2025-12-06T10:22:58.64,PME,2023,,6,,,RUE,MARYSE BASTIE,78125,GAZERAN,,78269,,,782690287_B,612862.9642254014,6836681.938071863,A,,,,,26.12Z,NAFRev2,O,26.12Y
324336734,00037,32433673400037,O,1997-03-03,NN,,,2025-12-06T03:50:40.97,true,A,O,,1982-04-20,5499,TERCO SERVICES,,,,,,,,,,,26.12Z,NAFRev2,,,,NN,,00037,2025-12-06T10:17:44.723,PME,2023,,,,,LD,LA HOGUE,78610,AUFFARGIS,,78030,,,,,,A,,,,,26.12Z,NAFRev2,O,26.12Y
324643253,00010,32464325300010,O,1982-06-01,22,2023,,2025-12-06T00:08:45.933,true,A,O,,1982-06-01,5710,SELVA,,,,,,,,,,,26.12Z,NAFRev2,,N,,22,2023,00010,2025-12-06T10:03:24.083,PME,2023,ZONE INDUSTRIELLE,,,,,ZI DES DORICES,44330,VALLET,,44212,,,,,,A,,,,,26.12Z,NAFRev2,O,26.12Y
324749340,00026,32474934000026,O,1900-01-01,NN,,2612ZZ,2025-12-06T03:28:24.877,true,A,O,,1900-01-01,1000,,,M,BOURCET,,LAURENT,,,,LAURENT,,26.12Z,NAFRev2,,,,NN,,00026,2025-12-06T05:58:51.323,PME,2023,,705,,,ROUTE,DE CALVIN,73110,ARVILLARD,,73021,,,730210001_B,944006.535760449,6487471.608899768,A,,,,,26.12Z,NAFRev2,N,26.12Y
324845247,00018,32484524700018,O,1982-06-21,21,2023,,2025-12-05T23:37:49.593,true,A,O,,1982-06-21,5710,SOCIETE OMICRON UN,,,,,,,,,,,26.12Z,NAFRev2,,N,,21,2023,00018,2025-12-06T05:43:36.341,PME,2023,ZONE INDUSTRIELLE,336,,,CHEMIN,DE FARJOU,34270,CLARET,,34078,,,340780039_B,771968.9960803867,6307218.162414543,A,,,,,26.12Z,NAFRev2,O,26.12Y
325214765,00019,32521476500019,O,1982-07-01,03,2023,2651BZ,2025-12-15T13:00:28.801,true,A,O,,1979-01-01,5710,SAVELEC,,,,,,,,,,,26.12Z,NAFRev2,,N,,03,2023,00019,2025-12-15T13:00:28.793,PME,2023,PAE LONGEFAN - HERMILLON,165,,,RUE,DE LA HOUILLE BLANCHE,73300,LA TOUR-EN-MAURIENNE,,73135,,,731350053_B,963236.63,6471300.98,A,SAVELEC,,,,26.12Z,NAFRev2,O,26.12Y
326057866,00021,32605786600021,O,1986-04-14,11,2023,,2025-12-06T04:30:13.735,true,A,O,,1983-01-15,5710,ETUDE FABRICATION ELECTRONIQUE MECANIQUE,EEFEM,,,,,,,,,,26.12Z,NAFRev2,,,,11,2023,00021,2025-12-06T10:26:06.287,PME,2023,ZI D'ETAMPES,33,,,AVENUE,DES GRENOTS,91150,ETAMPES,,91223,,,912231814_B,637288.5302463213,6817166.033447729,A,,,,,26.12Z,NAFRev2,O,26.12Y
326083227,00040,32608322700040,O,2001-08-27,11,2023,,2025-12-06T04:28:10.954,true,A,O,,1983-01-01,5599,SA SECAD,,,,,,,,,,,26.12Z,NAFRev2,,N,,11,2023,00040,2025-12-06T10:41:12.144,PME,2023,ZAC,,,,,ZAC LES PELLANTS,01430,SAINT-MARTIN-DU-FRENE,,01373,,,,,,A,,,,,26.12Z,NAFRev2,O,26.12Y
