siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
035650167,00089,03565016700089,O,1986-10-28,32,2023,,2025-12-05T17:39:01.272,true,A,O,,1956-01-01,5710,AMPHENOL SOCAPEX,,,,,,,,,,,26.11Z,NAFRev2,,,,32,2023,00089,2025-12-06T05:14:20.794,ETI,2023,,,,,LD,PROMENADE DE L'ARVE,74300,THYEZ,,74278,,,,,,A,,,,,26.11Z,NAFRev2,O,26.11Y
100090919,00018,10009091900018,O,2026-03-01,NN,,,2026-01-26T09:31:31.047,true,A,O,,2026-03-01,5499,ASTECQ,,,,,,,,,,,26.11Z,NAFRev2,,N,N,NN,,00018,2026-01-26T09:31:31.046,,,,640,,,RUE,DES ALLOTS,45640,SANDILLON,,45300,,,453000020_B,627050.72,6749327.17,A,,,,,26.11Z,NAFRev2,N,26.11Y
100434125,00017,10043412500017,O,2026-02-01,NN,,,2026-01-28T09:49:06.704,true,A,O,,2026-02-01,3220,YANTRA KAUSHALYA ENGINEERS PRIVATE LIMITED,,,,,,,,,,,26.11Z,NAFRev2,,N,N,NN,,00017,2026-01-28T09:49:06.704,,,B S MARGEN IMPEX LTD NEAR PHASE IV,,,,,R S N 880 2,99000,,388121 VITTHAL UDOYGNAGAR,,99223,INDE,,,,A,,,,,26.11Z,NAFRev2,O,26.11Y
100545474,00015,10054547400015,O,2026-01-21,NN,,,2026-01-30T13:47:01.007,true,A,O,,2026-01-21,5710,MOON PHOTONICS,,,,,,,,,,,26.11Z,NAFRev2,,N,N,NN,,00015,2026-01-30T13:47:01.006,,,,93,,,COURS,BERRIAT,38000,GRENOBLE,,38185,,,381850950_B,912985.93,6457997.18,A,,,,,26.11Z,NAFRev2,N,26.11Y
100752393,00015,10075239300015,O,2026-01-06,NN,,,2026-02-17T16:09:52.296,true,A,O,,2026-01-06,5710,LOGISTIQUE TAXI,,,,,,,,,,,26.11Z,NAFRev2,,N,N,NN,,00015,2026-02-17T16:09:52.295,,,,25,,,RUE,ANDRE CITROEN,95130,FRANCONVILLE,,95252,,,952520069_B,642267.7,6876897.82,A,,,,,26.11Z,NAFRev2,N,26.11Y
303889612,00014,30388961200014,O,1900-01-01,NN,,,2025-12-05T17:58:57.168,false,A,O,,1961-01-01,5499,STREL,STREL,,,,,,,,,,26.12Z,NAFRev2,,,,NN,,00030,2025-12-06T07:44:17.054,PME,2023,,,,,,MOULIN TROCHARD,77120,MOUROUX,,77320,,,,,,A,,,,,26.11Z,NAFRev2,O,26.11Y
306926684,00037,30692668400037,O,1987-01-16,32,2023,,2025-12-06T05:01:20.554,true,A,O,,1976-01-01,5599,NICOMATIC,,,,,,,,,,,26.11Z,NAFRev2,,N,,32,2023,00037,2026-01-06T13:10:12.985,ETI,2023,,,,,LD,ZONE INDUSTRIELLE,74890,BONS-EN-CHABLAIS,,74043,,,,,,A,,,,,26.11Z,NAFRev2,O,26.11Y
306926684,00045,30692668400045,O,2022-04-04,12,2023,,2025-12-05T16:05:35.387,false,A,O,,1976-01-01,5599,NICOMATIC,,,,,,,,,,,26.11Z,NAFRev2,,N,,32,2023,00037,2026-01-06T13:10:12.985,ETI,2023,ZI DES VOUARDS,108,,,RUE,DES VOIRONS,74140,SAINT-CERGUES,,74229,,,742290815_B,955250.4030774998,6574414.287658777,A,,,,NICOMATIC SA,26.11Z,NAFRev2,O,26.11Y
306926684,00052,30692668400052,O,2023-05-15,NN,,,2025-12-05T19:50:25.314,false,A,O,,1976-01-01,5599,NICOMATIC,,,,,,,,,,,26.11Z,NAFRev2,,N,,32,2023,00037,2026-01-06T13:10:12.985,ETI,2023,ZAC SAINT MARTIN DU TOUCH IMMEUBLE N,11,,,RUE,DU PROFESSEUR PIERRE VELLAS,31300,TOULOUSE,,31555,,,315556919_B,567637.38,6279532.16,A,,,,,26.11Z,NAFRev2,O,26.11Y
306926684,00060,30692668400060,O,2026-01-01,NN,,,2026-01-26T10:44:21.104,false,A,O,,1976-01-01,5599,NICOMATIC,,,,,,,,,,,26.11Z,NAFRev2,,N,,32,2023,00037,2026-01-06T13:10:12.985,ETI,2023,,309,,,RUE,DES BRACOTS,74890,BONS-EN-CHABLAIS,,74043,,,740430107_B,957825.55,6580544.24,A,NICOMATIC,,,NICOMATIC,26.11Z,NAFRev2,O,26.11Y
