siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
035650167,00089,03565016700089,O,1986-10-28,32,2023,,2025-12-05T17:39:01.272,true,A,O,,1956-01-01,5710,AMPHENOL SOCAPEX,,,,,,,,,,,26.11Z,NAFRev2,,,,32,2023,00089,2025-12-06T05:14:20.794,ETI,2023,,,,,LD,PROMENADE DE L'ARVE,74300,THYEZ,,74278,,,,,,A,,,,,26.11Z,NAFRev2,O,26.11Y
306926684,00037,30692668400037,O,1987-01-16,32,2023,,2025-12-06T05:01:20.554,true,A,O,,1976-01-01,5599,NICOMATIC,,,,,,,,,,,26.11Z,NAFRev2,,N,,32,2023,00037,2026-01-06T13:10:12.985,ETI,2023,,,,,LD,ZONE INDUSTRIELLE,74890,BONS-EN-CHABLAIS,,74043,,,,,,A,,,,,26.11Z,NAFRev2,O,26.11Y
306926684,00045,30692668400045,O,2022-04-04,12,2023,,2025-12-05T16:05:35.387,false,A,O,,1976-01-01,5599,NICOMATIC,,,,,,,,,,,26.11Z,NAFRev2,,N,,32,2023,00037,2026-01-06T13:10:12.985,ETI,2023,ZI DES VOUARDS,108,,,RUE,DES VOIRONS,74140,SAINT-CERGUES,,74229,,,742290815_B,955250.4030774998,6574414.287658777,A,,,,NICOMATIC SA,26.11Z,NAFRev2,O,26.11Y
306926684,00052,30692668400052,O,2023-05-15,NN,,,2025-12-05T19:50:25.314,false,A,O,,1976-01-01,5599,NICOMATIC,,,,,,,,,,,26.11Z,NAFRev2,,N,,32,2023,00037,2026-01-06T13:10:12.985,ETI,2023,ZAC SAINT MARTIN DU TOUCH IMMEUBLE N,11,,,RUE,DU PROFESSEUR PIERRE VELLAS,31300,TOULOUSE,,31555,,,315556919_B,567637.38,6279532.16,A,,,,,26.11Z,NAFRev2,O,26.11Y
306926684,00060,30692668400060,O,2026-01-01,NN,,,2026-01-26T10:44:21.104,false,A,O,,1976-01-01,5599,NICOMATIC,,,,,,,,,,,26.11Z,NAFRev2,,N,,32,2023,00037,2026-01-06T13:10:12.985,ETI,2023,,309,,,RUE,DES BRACOTS,74890,BONS-EN-CHABLAIS,,74043,,,740430107_B,957825.55,6580544.24,A,NICOMATIC,,,NICOMATIC,26.11Z,NAFRev2,O,26.11Y
321692907,00025,32169290700025,O,1982-01-20,12,2023,,2025-12-06T00:22:30.639,true,A,O,,1981-05-01,5599,COMPOSANTS CIRCUITS IMPRIMES EUROLAM,,,,,,,,,,,46.69B,NAFRev2,,N,,21,2023,00025,2025-12-06T05:44:43.158,ETI,2023,ZONE INDUSTRIELLE,9,,,RUE,MARCELLIN BERTHELOT,92160,ANTONY,,92002,,,920026131_B,649586.7339572946,6848564.101482405,A,,,,,26.11Z,NAFRev2,O,26.11Y
325685139,00017,32568513900017,O,1982-10-01,41,2023,,2025-12-06T04:46:10.463,true,A,O,,1982-10-01,5710,AXON CABLE,,,,,,,,,,,27.32Z,NAFRev2,,N,,41,2023,00017,2025-12-06T05:25:29.658,ETI,2023,,2,,,ROUTE,DE CHALONS,51210,MONTMIRAIL,,51380,,,513800075_B,741100.7475639563,6863735.895119146,A,,,,,26.11Z,NAFRev2,O,26.11Y
325685139,00033,32568513900033,O,2009-02-28,03,2023,,2025-12-05T15:52:22.311,false,A,O,,1982-10-01,5710,AXON CABLE,,,,,,,,,,,27.32Z,NAFRev2,,N,,41,2023,00017,2025-12-06T05:25:29.658,ETI,2023,,,,,HAM,LA CHAUSSEE,51210,MECRINGES,,51359,,,,,,A,,,,,26.11Z,NAFRev2,O,26.11Y
325685139,00041,32568513900041,O,2015-06-30,11,2023,,2025-12-06T03:42:05.312,false,A,O,,1982-10-01,5710,AXON CABLE,,,,,,,,,,,27.32Z,NAFRev2,,N,,41,2023,00017,2025-12-06T05:25:29.658,ETI,2023,,,,,RUELLE,DU DONJON,51270,ORBAIS-L'ABBAYE,,51416,,,514160081_B,751204.709856054,6872478.826571992,A,,,,,26.11Z,NAFRev2,O,26.11Y
325685139,00058,32568513900058,O,2018-01-01,01,2023,,2025-12-05T20:46:02.046,false,A,O,,1982-10-01,5710,AXON CABLE,,,,,,,,,,,27.32Z,NAFRev2,,N,,41,2023,00017,2025-12-06T05:25:29.658,ETI,2023,,,,,RUE,LOUIS NEEL,51430,BEZANNES,,51058,,,510580249_B,773202.993985101,6903194.844271112,A,,,,,26.11Z,NAFRev2,O,26.11Y
