siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
341459386,00171,34145938600171,O,1991-11-19,42,2023,,2025-12-05T18:34:37.527,false,A,O,,1987-05-15,5710,STMICROELECTRONICS FRANCE,,,,,,,,,,,26.11Z,NAFRev2,,N,,51,2023,00320,2025-12-06T05:26:36.909,GE,2023,,850,,,RUE,JEAN MONNET,38920,CROLLES,,38140,,,381400485_B,926609.9108632721,6467423.019210409,A,,,,,26.11Z,NAFRev2,O,26.11Y
341459386,00296,34145938600296,O,2022-03-14,12,2023,,2025-12-05T16:09:34.243,false,A,O,,1987-05-15,5710,STMICROELECTRONICS FRANCE,,,,,,,,,,,26.11Z,NAFRev2,,N,,51,2023,00320,2025-12-06T05:26:36.909,GE,2023,,34,,,RUE,DE LA CROIX DE FER,78100,SAINT-GERMAIN-EN-LAYE,,78551,,,,,,A,,,,,26.11Z,NAFRev2,O,26.11Y
341459386,00304,34145938600304,O,2022-05-23,12,2023,,2025-12-05T17:38:57.322,false,A,O,,1987-05-15,5710,STMICROELECTRONICS FRANCE,,,,,,,,,,,26.11Z,NAFRev2,,N,,51,2023,00320,2025-12-06T05:26:36.909,GE,2023,,51,,,RUE,DE L’INNOVATION,31670,LABEGE,,31254,,,312540222_B,579070.2054525665,6273206.388912676,A,,,,,26.11Z,NAFRev2,O,26.11Y
341459386,00320,34145938600320,O,2023-12-01,NN,,,2025-12-06T01:56:45.387,true,A,O,,1987-05-15,5710,STMICROELECTRONICS FRANCE,,,,,,,,,,,26.11Z,NAFRev2,,N,,51,2023,00320,2025-12-06T05:26:36.909,GE,2023,134-136,134,,,AVENUE,ARISTIDE BRIAND,92120,MONTROUGE,,92049,,,920490045_B,650522.467961173,6856992.99135358,A,,,,,26.11Z,NAFRev2,O,26.11Y
375780103,00160,37578010300160,O,2003-01-01,NN,,,2025-12-06T05:06:55.161,false,A,O,,1957-01-01,5710,BARILLEC SAS,,,,,,,,,,,33.20D,NAFRev2,,N,,32,2023,00236,2026-01-29T13:01:12.357,GE,2023,,,,,RUE,DES SARDINIERS,29900,CONCARNEAU,,29039,,,290393172_B,184300.79857686837,6775637.727772579,A,AXIANS,,,,26.11Z,NAFRev2,N,26.11Y
380932590,00033,38093259000033,O,2006-11-07,42,2023,,2025-12-05T16:02:38.852,true,A,O,,1991-01-16,5710,STMICROELECTRONICS (TOURS) SAS,,,,,,,,,,,26.11Z,NAFRev2,,N,,42,2023,00033,2025-12-06T05:26:45.634,GE,2023,,10,,,RUE,THALES DE MILET,37100,TOURS,,37261,,,372614711_B,525941.8446764176,6705981.438117644,A,,,,,26.11Z,NAFRev2,O,26.11Y
380932590,00041,38093259000041,O,2006-12-29,22,2023,,2025-12-05T20:21:56.025,false,A,O,,1991-01-16,5710,STMICROELECTRONICS (TOURS) SAS,,,,,,,,,,,26.11Z,NAFRev2,,N,,42,2023,00033,2025-12-06T05:26:45.634,GE,2023,,3,,,RUE,DE SUISSE,35200,RENNES,,35238,,,352389145_B,352779.0378104181,6786536.931771701,A,,,,,26.11Z,NAFRev2,O,26.11Y
391321122,00031,39132112200031,O,2014-01-31,NN,,,2025-12-06T04:25:06.429,true,A,O,,1993-05-01,5710,PIEZOTECH S.A.,,,,,,,,,,,26.11Z,NAFRev2,,,,NN,,00031,2025-12-06T07:34:14.827,GE,2023,,,,,RUE,HENRI MOISSAN,69310,OULLINS-PIERRE-BENITE,,69149,,,,,,A,,,,,26.11Z,NAFRev2,N,26.11Y
399395581,00032,39939558100032,O,2003-02-17,51,2023,,2025-12-06T04:31:11.862,true,A,O,,1994-12-28,5710,STMICROELECTRONICS (CROLLES 2) SAS,,,,,,,,,,,26.11Z,NAFRev2,,N,,51,2023,00032,2025-12-06T05:26:37.171,GE,2023,,850,,,RUE,JEAN MONNET,38920,CROLLES,,38140,,,381400485_B,926609.9108632721,6467423.019210409,A,,,,,26.11Z,NAFRev2,O,26.11Y
409768520,00135,40976852000135,O,2008-12-29,32,2023,,2025-12-05T19:32:32.165,true,A,O,,1996-11-08,5710,STMICROELECTRONICS (GRAND OUEST) SAS,,,,,,,,,,,72.19Z,NAFRev2,,N,,32,2023,00135,2025-12-06T07:16:54.646,GE,2023,,11,,,RUE,PIERRE-FELIX DELARUE,72000,LE MANS,,72181,,,721814197_B,490154.73585285986,6769706.712646925,A,,,,,26.11Z,NAFRev2,O,26.11Y
