siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
006980387,00044,00698038700044,O,1989-01-01,NN,,,2025-12-05T18:40:56.824,false,A,O,,1969-01-01,5710,SOCIETE DES ETABLISSEMENTS ALLAIRE,SETAL,,,,,,,,,,68.20B,NAFRev2,,N,,NN,,00036,2025-12-06T05:41:01.751,ETI,2023,,,,,,ZI BONNE NOUVELLE,44480,DONGES,,44052,,,,,,A,,,,,26.51A,NAFRev2,N,26.51Y
304925159,00044,30492515900044,O,1981-11-02,12,2023,,2025-12-06T00:16:20.681,true,A,O,,1981-11-02,5710,COMPAGNIE INDUSTRIELLE DES REFLECTEURS RADARS,,,,,,,,,,,26.51A,NAFRev2,,N,,12,2023,00044,2026-01-27T10:02:41.776,ETI,2023,,285,,,RUE,HELENE BOUCHER,78530,BUC,,78117,,,781170173_B,635467.0830222714,6852157.009861948,A,,,,,26.51A,NAFRev2,O,26.51Y
320442122,00059,32044212200059,O,2010-06-01,NN,,,2025-12-05T19:11:18.653,true,A,O,,1980-09-01,5710,SOCIETE DE MARQUAGE ET DE SIGNALISATION,SMS,,,,,,,,,,26.51A,NAFRev2,,N,,NN,,00059,2025-12-06T07:29:29.999,ETI,2023,174-178,174,,,QUAI,DE JEMMAPES,75010,PARIS,,75110,,,751104964_B,653597.9269999467,6864509.419549713,A,,,,,26.51A,NAFRev2,O,26.51Y
334474111,00021,33447411100021,O,1998-12-28,22,2023,,2025-12-05T16:26:14.993,true,A,O,,1985-12-11,5710,MEGGITT (SENSOREX),,,,,,,,,,,26.51A,NAFRev2,,N,,22,2023,00021,2025-12-06T07:57:36.432,ETI,2023,ARCHAMPS TECHNOPOLE,196,,,RUE,LOUIS RUSTIN,74160,ARCHAMPS,,74016,,,740160208_B,940632.0148889244,6564730.53980397,A,,,,,26.51A,NAFRev2,O,26.51Y
380295451,00047,38029545100047,O,2001-06-21,22,2023,,2025-12-05T22:38:03.877,true,A,O,,1990-12-20,5710,ZF AUTOCRUISE FRANCE,,,,,,,,,,,26.51A,NAFRev2,,N,,22,2023,00047,2025-12-06T05:25:21.226,ETI,2023,ZAC TECHNOPOLE BREST IROISE,,,,,LA POINTE DU DIABLE,29280,PLOUZANE,,29212,,,29212B213_C,,,A,,,,,26.51A,NAFRev2,O,26.51Y
380685297,00042,38068529700042,O,2018-01-09,11,2023,2651AZ,2025-12-06T04:34:14.575,true,A,O,,1991-01-01,5599,GISMAN,,,,,,,,,,,26.51A,NAFRev2,,N,,11,2023,00042,2025-12-06T05:38:11.625,ETI,2023,ZA DE KERSTRAN 1,12,,,IMPASSE,DU BOIS,56400,BRECH,,56023,,,560230006_B,248334.3072665137,6749042.063065075,A,,,,,26.51A,NAFRev2,O,26.51Y
410458624,00039,41045862400039,O,2002-01-01,12,2023,,2025-12-05T23:34:44.149,true,A,O,,1996-12-20,5710,THALES RAYTHEON SYSTEMS AIR AND MISSILE DEFENSE COMMAND AND CONTROL SAS ET EN FORME ABREGEE TRS AMDC2,,,,,,,,,,,26.51A,NAFRev2,,N,,12,2023,00039,2025-12-06T05:21:05.827,ETI,2023,1 A 5,1,,,AVENUE,CARNOT,91300,MASSY,,91377,,,913770810_B,645949.8260047212,6847595.459223478,A,,,,,26.51A,NAFRev2,O,26.51Y
433185121,00228,43318512100228,O,2023-05-01,NN,,,2025-12-06T04:51:43.193,false,A,O,,2000-09-26,5710,EXAIL,,,,,,,,,,,26.51A,NAFRev2,,N,,41,2023,00129,2026-01-15T17:01:56.321,ETI,2023,3 AVENUE DE LA MADELEINE,27,,,AVENUE,DE LA POTERIE,33170,GRADIGNAN,,33192,,,331928664_B,412411.3792341981,6414916.9583322145,A,,,,,26.51A,NAFRev2,N,26.51Y
433591153,00013,43359115300013,O,2000-01-01,NN,,,2025-12-05T23:45:07.703,true,A,O,,2000-01-01,3120,DIEHL AEROSPACE GMBH,,,,,,,,,,,33.13Z,NAFRev2,,N,,22,2023,00013,2025-12-06T06:16:09.651,ETI,2023,,,,,,UBERLINGEN,,,88642,,99109,ALLEMAGNE,,,,A,,,,,26.51A,NAFRev2,N,26.51Y
433591153,00039,43359115300039,O,2009-05-01,22,2023,,2025-12-06T04:33:01.848,false,A,O,,2000-01-01,3120,DIEHL AEROSPACE GMBH,,,,,,,,,,,33.13Z,NAFRev2,,N,,22,2023,00013,2025-12-06T06:16:09.651,ETI,2023,ZAC DE SAINT MARTIN DU TOUCH,6,,,IMPASSE,ALICE GUY,31300,TOULOUSE,,31555,,,315550203_B,567756.7243493486,6279264.781387969,A,DIEHL AEROSPACE TOULOUSE,,,,26.51A,NAFRev2,O,26.51Y
