siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
056800659,00130,05680065900130,O,1900-01-01,21,2023,,2025-12-05T18:40:08.81,false,A,O,,1954-01-01,5599,SNEF,,,,,,,,,,,43.21A,NAFRev2,,N,N,51,2023,00155,2025-12-08T13:01:45.614,GE,2023,ZONE INDUSTRIELLE PORT,6,,,RUE,JEAN CH CHEVILLOTTE,29200,BREST,,29019,,,290192267_C,,,A,SNEF ELECTRIC FLUX,,,,26.51A,NAFRev2,O,26.51Y
319159877,00053,31915987700053,O,1995-12-01,32,2023,,2025-12-05T19:07:55.852,false,A,O,,1980-05-13,5710,THALES LAS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00111,2025-12-12T13:09:40.332,GE,2023,,,,,,ZI DU MONT JARRET,76520,YMARE,,76753,,,,,,A,,,,,26.51A,NAFRev2,O,26.51Y
319159877,00061,31915987700061,O,1995-12-01,42,2023,,2025-12-05T18:52:37.011,false,A,O,,1980-05-13,5710,THALES LAS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00111,2025-12-12T13:09:40.332,GE,2023,,,,,,VOIE PIERRE GILLES DE GENNES,91470,LIMOURS,,91338,,,,,,A,,,,,26.51A,NAFRev2,O,26.51Y
319159877,00079,31915987700079,O,1995-12-01,32,2023,,2025-12-06T03:55:55.756,false,A,O,,1980-05-13,5710,THALES LAS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00111,2025-12-12T13:09:40.332,GE,2023,,29,,,RUE,DE MONTARAN,45400,FLEURY-LES-AUBRAIS,,45147,,,451470540_B,618980.4076752034,6761038.069676959,A,,,,,26.51A,NAFRev2,O,26.51Y
319159877,00103,31915987700103,O,2007-04-27,42,2023,,2025-12-05T16:02:34.921,false,A,O,,1980-05-13,5710,THALES LAS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00111,2025-12-12T13:09:40.332,GE,2023,,3,,,AVENUE,CHARLES LINDBERGH,94150,RUNGIS,,94065,,,940650200_B,652490.8584460536,6850285.928255284,A,,,,,26.51A,NAFRev2,O,26.51Y
319159877,00111,31915987700111,O,2007-06-26,51,2023,,2025-12-05T16:58:28.495,true,A,O,,1980-05-13,5710,THALES LAS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00111,2025-12-12T13:09:40.332,GE,2023,,2,,,AVENUE,GAY-LUSSAC,78990,ELANCOURT,,78208,,,782081650_B,624702.1510074227,6854968.094597836,A,,,,,26.51A,NAFRev2,O,26.51Y
319159877,00145,31915987700145,O,2006-12-21,NN,,,2025-12-06T04:45:04.214,false,A,O,,1980-05-13,5710,THALES LAS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00111,2025-12-12T13:09:40.332,GE,2023,,105,,,AVENUE,DU GENERAL EISENHOWER,31100,TOULOUSE,,31555,,,315553818_B,569905.237537468,6274907.0533684455,A,,,,,26.51A,NAFRev2,O,26.51Y
319159877,00152,31915987700152,O,2017-12-31,NN,,,2025-12-05T15:56:51.024,false,A,O,,1980-05-13,5710,THALES LAS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00111,2025-12-12T13:09:40.332,GE,2023,CEV,,,,,LDT BASE AERIENNE 125,13118,ISTRES,,13047,,,130470085_C,,,A,,,,,26.51A,NAFRev2,N,26.51Y
319159877,00202,31915987700202,O,2017-12-31,42,2023,,2025-12-06T04:45:04.213,false,A,O,,1980-05-13,5710,THALES LAS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00111,2025-12-12T13:09:40.332,GE,2023,1 A 5,1,,,AVENUE,CARNOT,91300,MASSY,,91377,,,913770810_B,645949.8260047212,6847595.459223478,A,,,,,26.51A,NAFRev2,O,26.51Y
319159877,00228,31915987700228,O,2025-01-01,NN,,,2025-12-06T04:18:55.855,false,A,O,,1980-05-13,5710,THALES LAS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00111,2025-12-12T13:09:40.332,GE,2023,,19,,21,AVENUE,MORANE SAULNIER,78140,VELIZY-VILLACOUBLAY,,78640,,,786400435_B,642460.08,6854142.64,A,,,,,26.51A,NAFRev2,O,26.51Y
319159877,00236,31915987700236,O,2019-04-01,NN,,,2025-12-05T19:58:44.141,false,A,O,,1980-05-13,5710,THALES LAS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00111,2025-12-12T13:09:40.332,GE,2023,,1,B,,RUE,LOUIS BRAILLE,35136,SAINT-JACQUES-DE-LA-LANDE,,35281,,,352810834_B,349962.43,6787325.55,A,,,,,26.51A,NAFRev2,O,26.51Y
375780103,00137,37578010300137,O,1993-11-01,12,2023,,2025-12-06T05:06:42.469,false,A,O,,1957-01-01,5710,BARILLEC SAS,,,,,,,,,,,33.20D,NAFRev2,,N,,32,2023,00236,2026-01-29T13:01:12.357,GE,2023,,4,,,RUE,DE L'INDUSTRIE,56100,LORIENT,,56121,,,561212630_B,222392.03832442046,6756288.6322803125,A,,,,,26.51A,NAFRev2,O,26.51Y
383475092,00037,38347509200037,O,1995-11-30,NN,,,2025-12-05T23:50:35.693,false,A,O,,1991-10-18,5710,THALES DMS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00110,2025-12-06T05:26:37.032,GE,2023,LA CLEF DE SAINT PIERRE,1,,,BOULEVARD,JEAN MOULIN,78990,ELANCOURT,,78208,,,78208mnbh_B,624449.4350533673,6855715.0742974095,A,,,,,26.51A,NAFRev2,O,26.51Y
383475092,00045,38347509200045,O,1995-12-01,42,2023,,2025-12-05T20:13:31.986,false,A,O,,1991-10-18,5710,THALES DMS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00110,2025-12-06T05:26:37.032,GE,2023,DIVISION FRANCAISE LIBRE,10,,,AVENUE,1ERE D.F.L.,29200,BREST,,29019,,,29019lyv1_B,141565.2486585736,6835153.811470409,A,,,,,26.51A,NAFRev2,O,26.51Y
383475092,00110,38347509200110,O,1999-12-01,42,2023,,2025-12-05T23:50:01.201,true,A,O,,1991-10-18,5710,THALES DMS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00110,2025-12-06T05:26:37.032,GE,2023,LA CLEF SAINT PIERRE,2,,,AVENUE,GAY-LUSSAC,78990,ELANCOURT,,78208,,,782081650_B,624702.1510074227,6854968.094597836,A,,,,,26.51A,NAFRev2,O,26.51Y
383475092,00193,38347509200193,O,2016-08-01,42,2023,,2025-12-06T03:33:21.126,false,A,O,,1991-10-18,5710,THALES DMS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00110,2025-12-06T05:26:37.032,GE,2023,75-77,75,,,AVENUE,MARCEL DASSAULT,33700,MERIGNAC,,33281,,,332811849_B,407438.605989499,6423454.590350662,A,,,,,26.51A,NAFRev2,O,26.51Y
383475092,00201,38347509200201,O,2017-12-31,41,2023,,2025-12-05T20:00:03.034,false,A,O,,1991-10-18,5710,THALES DMS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00110,2025-12-06T05:26:37.032,GE,2023,BP 157,525,,,ROUTE,DES DOLINES,06560,VALBONNE,,06152,,,061520100_B,1025751.7970746751,6288599.764055609,A,,,,,26.51A,NAFRev2,O,26.51Y
383475092,00243,38347509200243,O,2019-01-01,NN,,,2025-12-06T03:34:05.545,false,A,O,,1991-10-18,5710,THALES DMS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00110,2025-12-06T05:26:37.032,GE,2023,19/21,19,,,AVENUE,MORANE SAULNIER,78140,VELIZY-VILLACOUBLAY,,78640,,,786400435_B,642545.4633403604,6854195.05215019,A,,,,,26.51A,NAFRev2,N,26.51Y
383475092,00250,38347509200250,O,2023-07-01,22,2023,,2025-12-06T01:18:21.026,false,A,O,,1991-10-18,5710,THALES DMS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00110,2025-12-06T05:26:37.032,GE,2023,,525,,,AVENUE,DU PIC DE BERTAGNE,13420,GEMENOS,,13042,,,130420287_B,912332.3641150018,6246050.205532856,A,,,,,26.51A,NAFRev2,N,26.51Y
393232509,00033,39323250900033,O,2009-07-06,21,2023,,2025-12-06T00:07:34.042,true,A,O,,1993-12-08,5710,GDI SIMULATION,,,,,,,,,,,26.51A,NAFRev2,,N,,21,2023,00033,2025-12-06T05:15:21.832,GE,2023,ZAC DE  CLEF SAINT PIERRE,1,,,BOULEVARD,JEAN MOULIN,78990,ELANCOURT,,78208,,,78208mnbh_B,624449.4350533673,6855715.0742974095,A,GDI SIMULATION,,,,26.51A,NAFRev2,O,26.51Y
480107911,00020,48010791100020,O,2005-05-10,41,2023,,2025-12-05T15:43:02.849,false,A,O,,2005-05-10,5710,SAFRAN ELECTRONICS & DEFENSE,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00426,2025-12-06T05:26:28.802,GE,2023,,26,,,AVENUE,DES HAUTS DE LA CHAUME,86280,SAINT-BENOIT,,86214,,,862141494_B,495762.75287705415,6609316.566050083,A,,,,,26.51A,NAFRev2,O,26.51Y
480107911,00079,48010791100079,O,2005-05-10,32,2023,,2025-12-06T05:06:41.665,false,A,O,,2005-05-10,5710,SAFRAN ELECTRONICS & DEFENSE,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00426,2025-12-06T05:26:28.802,GE,2023,BP 97 509,45,,,AVENUE,DE STALINGRAD,21000,DIJON,,21231,,,212318270_B,855359.848191163,6695505.937087721,A,,,,,26.51A,NAFRev2,O,26.51Y
480107911,00111,48010791100111,O,2005-05-10,NN,,,2025-12-06T05:06:41.767,false,A,O,,2005-05-10,5710,SAFRAN ELECTRONICS & DEFENSE,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00426,2025-12-06T05:26:28.802,GE,2023,,11,,,RUE,AMPERE,91300,MASSY,,91377,,,913770160_B,646135.4138694969,6846785.741391985,A,,,,,26.51A,NAFRev2,O,26.51Y
480107911,00129,48010791100129,O,2005-05-10,NN,,,2025-12-06T04:32:00.489,false,A,O,,2005-05-10,5710,SAFRAN ELECTRONICS & DEFENSE,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00426,2025-12-06T05:26:28.802,GE,2023,,19,,,RUE,AMPERE,91300,MASSY,,91377,,,913770160_B,646421.1847624049,6846955.659744779,A,,,,,26.51A,NAFRev2,O,26.51Y
480107911,00137,48010791100137,O,2005-05-10,NN,,,2025-12-06T05:06:41.622,false,A,O,,2005-05-10,5710,SAFRAN ELECTRONICS & DEFENSE,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00426,2025-12-06T05:26:28.802,GE,2023,,13,,,RUE,AMPERE,91300,MASSY,,91377,,,913770160_B,646202.3303559197,6846806.02430078,A,,,,,26.51A,NAFRev2,O,26.51Y
480107911,00145,48010791100145,O,2005-05-10,42,2023,,2025-12-05T15:18:19.412,false,A,O,,2005-05-10,5710,SAFRAN ELECTRONICS & DEFENSE,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00426,2025-12-06T05:26:28.802,GE,2023,PARC D ACTIVITES DES BELLE,21,,,AVENUE,DU GROS CHENE,95610,ERAGNY,,95218,,,952180237_B,634976.8181943345,6880979.426181075,A,,,,,26.51A,NAFRev2,O,26.51Y
