siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
056800295,00026,05680029500026,O,1983-01-01,NN,,,2025-12-06T04:33:54.47,true,A,O,,1956-01-01,5599,TRAMONI ET COMPAGNIE,,,,,,,,,,,26.51A,NAFRev2,,,,NN,,00026,2025-12-06T05:42:44.229,PME,2023,,1,,,PLACE,DE LORETTE,13002,MARSEILLE,,13202,,,132025359_B,892352.2734036191,6247417.253033306,A,,,,,26.51A,NAFRev2,N,26.51Y
067804807,00096,06780480700096,O,1985-03-01,NN,,,2025-12-05T18:44:22.68,true,A,O,,1967-01-01,5499,APPLICATIONS TECHNIQUES DE L'OUEST,ATO,,,,,,,,,,26.51A,NAFRev2,,,,NN,,00096,2025-12-06T08:48:40.4,PME,2023,LOT 44 CAPITAINE GEZE,10,,,RUE,CHARLES TELLIER,13014,MARSEILLE,,13214,,,132142098_B,892362.4751130115,6251331.488417706,A,,,,,26.51A,NAFRev2,N,26.51Y
306385287,00025,30638528700025,O,1987-08-01,03,2023,,2025-12-05T17:13:43.092,true,A,O,,1976-01-01,5710,SOCIETE CHARENTAISE DE MECANIQUE MARINE,,,,,,,,,,,26.51A,NAFRev2,,N,,03,2023,00025,2025-12-06T06:32:11.302,PME,2023,ZI PORTUAIRE,,,,,LA COTINIERE,17310,SAINT-PIERRE-D OLERON,,17385,,,17385B105_C,,,A,,,,,26.51A,NAFRev2,O,26.51Y
312368038,00013,31236803800013,O,1978-01-01,01,2023,2651AZ,2025-12-06T04:45:36.295,true,A,O,,1978-01-01,5499,SOCIETE ELECTRIC AUTO-YACHTING,,,,,,,,,,,46.19B,NAFRev2,,,,01,2023,00013,2025-12-06T05:20:08.971,PME,2023,,6,,,RUE,DE LA PAIX MARCEL PAUL,13001,MARSEILLE,,13201,,,132016734_B,892602.9425598371,6246690.2059792355,A,,,,,26.51A,NAFRev2,N,26.51Y
312368038,00039,31236803800039,O,2002-09-29,NN,,3012ZZ,2025-12-05T22:47:22.843,false,A,O,,1978-01-01,5499,SOCIETE ELECTRIC AUTO-YACHTING,,,,,,,,,,,46.19B,NAFRev2,,,,01,2023,00013,2025-12-06T05:20:08.971,PME,2023,,8,,,RUE,DE LA PAIX MARCEL PAUL,13001,MARSEILLE,,13201,,,132016734_B,892606.3206577774,6246680.520539737,A,,,,,26.51A,NAFRev2,N,26.51Y
312368038,00047,31236803800047,O,2008-01-01,NN,,3315ZZ,2025-12-06T00:26:48.422,false,A,O,,1978-01-01,5499,SOCIETE ELECTRIC AUTO-YACHTING,,,,,,,,,,,46.19B,NAFRev2,,,,01,2023,00013,2025-12-06T05:20:08.971,PME,2023,,7,,,RUE,DE LA PAIX MARCEL PAUL,13001,MARSEILLE,,13201,,,132016734_B,892614.5079429429,6246689.21897075,A,,,,,26.51A,NAFRev2,N,26.51Y
318154275,00040,31815427500040,O,1986-02-01,NN,,,2025-12-05T16:40:17.926,true,A,O,,1980-01-01,1000,,,M,SEGUIN,,JEAN,ROBERT,CHARLES,,JEAN,,26.51A,NAFRev2,,,,NN,,00040,2025-12-06T05:39:17.943,PME,2023,,12,,,BOULEVARD,D'AGUILLON,06600,ANTIBES,,06004,,,060040030_B,1033190.4915648374,6284710.195956659,A,,,,,26.51A,NAFRev2,N,26.51Y
321932436,00025,32193243600025,O,1985-02-21,NN,,,2025-12-05T20:05:35.232,true,A,O,,1981-03-01,2210,LEBON JEAN-JACQUES LORILLU JEAN,,,,,,,,,,,26.51A,NAFRev2,,,,NN,,00025,2025-12-06T10:42:56.486,PME,2023,,,,,AVENUE,DU GENERAL DE GAULLE,14520,PORT-EN-BESSIN-HUPPAIN,,14515,,,145150006_B,427330.39472020837,6922598.44497879,A,,,,,26.51A,NAFRev2,N,26.51Y
322731589,00030,32273158900030,O,1994-04-11,NN,,,2025-12-05T19:39:21.6,true,A,O,,1976-01-01,1000,,,M,MOREAU,,GEORGES,JOSEPH,M,,GEORGES,,26.51A,NAFRev2,,,,NN,,00030,2025-12-06T07:57:44.144,PME,2023,,1,,,AVENUE,DE VERDUN,06600,ANTIBES,,06004,,,060043560_B,1033006.8833981887,6284792.969537637,A,,,,,26.51A,NAFRev2,N,26.51Y
323439737,00020,32343973700020,O,1989-02-01,NN,,4321AB,2025-12-05T19:05:49.832,true,A,O,,1981-07-01,5499,FIAB-ELEC,,,,,,,,,,,26.51A,NAFRev2,,,,NN,,00020,2025-12-06T08:19:15.35,PME,2023,,,,,,,76440,HAUCOURT,,76343,,,,,,A,,,,,26.51A,NAFRev2,N,26.51Y
