siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
037213451,00034,03721345100034,O,1992-09-01,NN,,,2025-12-05T19:14:47.991,true,A,O,,1992-09-01,1000,,,M,CHEURLIN,,JEAN,LOUIS,,,JEAN,,26.30Z,NAFRev2,,,,NN,,00034,2025-12-06T07:37:14.641,PME,2023,,17,,,AVENUE,GABRIEL PERI,83520,ROQUEBRUNE-SUR-ARGENS,,83107,,,831070980_B,994633.7305617707,6267438.580244583,A,,,,,26.30Z,NAFRev2,N,26.51Y
046350047,00109,04635004700109,O,2005-06-14,01,2023,,2025-12-06T03:46:34.715,true,A,O,,1963-01-01,5710,IMMOBILIERE ET INDUSTRIELLE NORMAND,,,,,,,,,,,68.20B,NAFRev2,,N,,01,2023,00109,2025-12-06T06:18:07.597,PME,2023,,,,,BOULEVARD,EUGENE THOMAS,62110,HENIN-BEAUMONT,,62427,,,624270281_B,697998.321151106,7032991.217158148,A,,,,,26.30Z,NAFRev2,O,26.51Y
073502981,00092,07350298100092,O,2002-01-01,12,2023,,2025-12-06T00:51:27.208,false,A,O,,1973-01-01,5710,SYSTEME DE SECURITE INCENDIE SERVICE,SSI SERVICE,,,,,,,,,,43.21A,NAFRev2,,N,,32,2023,00332,2025-12-06T05:16:17.494,ETI,2023,ZI DES BLANCHISSERIES,,,,RUE,DE TAILLE,38500,VOIRON,,38563,,,385631598_B,901836.2049649846,6479779.335444188,A,,,,,26.30Z,NAFRev2,O,26.51Y
073502981,00134,07350298100134,O,2009-04-01,11,2023,,2025-12-05T22:41:30.572,false,A,O,,1973-01-01,5710,SYSTEME DE SECURITE INCENDIE SERVICE,SSI SERVICE,,,,,,,,,,43.21A,NAFRev2,,N,,32,2023,00332,2025-12-06T05:16:17.494,ETI,2023,,6,,,ALLEE,DE LONGUETERRE,31850,MONTRABE,,31389,,,313890209_B,580070.899725511,6284263.61435782,A,,,,,26.30Z,NAFRev2,O,26.51Y
073502981,00316,07350298100316,O,2016-07-27,12,2023,,2025-12-06T01:13:12.026,false,A,O,,1973-01-01,5710,SYSTEME DE SECURITE INCENDIE SERVICE,SSI SERVICE,,,,,,,,,,43.21A,NAFRev2,,N,,32,2023,00332,2025-12-06T05:16:17.494,ETI,2023,IMMEUBLE SMART BUILDING,17,,,RUE,DES GRANGES GALAND,37550,SAINT-AVERTIN,,37208,,,372080574_B,527936.5956502957,6698923.835760259,A,,,,SSI SERVICE,26.30Z,NAFRev2,O,26.51Y
073502981,00332,07350298100332,O,2018-09-27,21,2023,,2025-12-05T21:26:56.338,true,A,O,,1973-01-01,5710,SYSTEME DE SECURITE INCENDIE SERVICE,SSI SERVICE,,,,,,,,,,43.21A,NAFRev2,,N,,32,2023,00332,2025-12-06T05:16:17.494,ETI,2023,PARC DES ALGORITHMES,,,,ROUTE,DE L’ORME DES MERISIERS,91190,SAINT-AUBIN,,91538,,,915384bgil1_B,637347.7276813794,6845907.989519715,A,,,,,26.30Z,NAFRev2,O,26.51Y
101237527,00011,10123752700011,O,2026-01-01,NN,,,2026-02-16T07:48:08.599,true,A,O,,2026-01-01,3220,RADIO DESIGN LTD,,,,,,,,,,,26.30Z,NAFRev2,,N,N,NN,,00011,2026-02-16T07:48:08.598,,,,37,,,,ALBYN PLACE,AB10 1YN,,ABERDEEN,,99132,ROYAUME-UNI,,,,A,,,,,26.30Z,NAFRev2,N,26.30Y
302344072,00012,30234407200012,O,1972-10-10,NN,,,2025-12-05T21:01:35.677,true,A,O,,1972-10-10,5499,OPTIPHONE,,,,,,,,,,,26.30Z,NAFRev2,,,,NN,,00012,2025-12-06T11:11:49.787,PME,2023,,25,,,RUE,DE LA VALLEE,91610,BALLANCOURT-SUR-ESSONNE,,91045,,,910450660_B,654778.0136768317,6824749.039755429,A,,,,,26.30Z,NAFRev2,N,26.51Y
309174589,00742,30917458900742,O,2025-01-01,NN,,,2025-12-06T01:59:08.151,false,A,O,,1977-01-01,5710,SCUTUM FRANCE,PROTEXT,,,,,,,,,,80.20Z,NAFRev2,,N,,41,2023,00122,2025-12-30T09:00:51.62,ETI,2023,TEB SECURITE ET TEB VIDEO SECURITE,,,,CHEMIN,DES HIRONDELLES,69570,DARDILLY,,69072,,,690720102_B,836962.18,6524476.44,A,,,,,26.30Z,NAFRev2,O,26.51Y
309174589,00759,30917458900759,O,2025-01-01,NN,,,2025-12-06T05:04:50.993,false,A,O,,1977-01-01,5710,SCUTUM FRANCE,PROTEXT,,,,,,,,,,80.20Z,NAFRev2,,N,,41,2023,00122,2025-12-30T09:00:51.62,ETI,2023,RESIDENCE BEAU SITE LES PINS,33,,,RUE,DE LA MAURELLE,13013,MARSEILLE,,13213,,,132135904_B,897870.54,6250373.69,A,,,,,26.30Z,NAFRev2,O,26.51Y
