siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
073502981,00092,07350298100092,O,2002-01-01,12,2023,,2025-12-06T00:51:27.208,false,A,O,,1973-01-01,5710,SYSTEME DE SECURITE INCENDIE SERVICE,SSI SERVICE,,,,,,,,,,43.21A,NAFRev2,,N,,32,2023,00332,2025-12-06T05:16:17.494,ETI,2023,ZI DES BLANCHISSERIES,,,,RUE,DE TAILLE,38500,VOIRON,,38563,,,385631598_B,901836.2049649846,6479779.335444188,A,,,,,26.30Z,NAFRev2,O,26.51Y
073502981,00134,07350298100134,O,2009-04-01,11,2023,,2025-12-05T22:41:30.572,false,A,O,,1973-01-01,5710,SYSTEME DE SECURITE INCENDIE SERVICE,SSI SERVICE,,,,,,,,,,43.21A,NAFRev2,,N,,32,2023,00332,2025-12-06T05:16:17.494,ETI,2023,,6,,,ALLEE,DE LONGUETERRE,31850,MONTRABE,,31389,,,313890209_B,580070.899725511,6284263.61435782,A,,,,,26.30Z,NAFRev2,O,26.51Y
073502981,00316,07350298100316,O,2016-07-27,12,2023,,2025-12-06T01:13:12.026,false,A,O,,1973-01-01,5710,SYSTEME DE SECURITE INCENDIE SERVICE,SSI SERVICE,,,,,,,,,,43.21A,NAFRev2,,N,,32,2023,00332,2025-12-06T05:16:17.494,ETI,2023,IMMEUBLE SMART BUILDING,17,,,RUE,DES GRANGES GALAND,37550,SAINT-AVERTIN,,37208,,,372080574_B,527936.5956502957,6698923.835760259,A,,,,SSI SERVICE,26.30Z,NAFRev2,O,26.51Y
073502981,00332,07350298100332,O,2018-09-27,21,2023,,2025-12-05T21:26:56.338,true,A,O,,1973-01-01,5710,SYSTEME DE SECURITE INCENDIE SERVICE,SSI SERVICE,,,,,,,,,,43.21A,NAFRev2,,N,,32,2023,00332,2025-12-06T05:16:17.494,ETI,2023,PARC DES ALGORITHMES,,,,ROUTE,DE L’ORME DES MERISIERS,91190,SAINT-AUBIN,,91538,,,915384bgil1_B,637347.7276813794,6845907.989519715,A,,,,,26.30Z,NAFRev2,O,26.51Y
309174589,00742,30917458900742,O,2025-01-01,NN,,,2025-12-06T01:59:08.151,false,A,O,,1977-01-01,5710,SCUTUM FRANCE,PROTEXT,,,,,,,,,,80.20Z,NAFRev2,,N,,41,2023,00122,2025-12-30T09:00:51.62,ETI,2023,TEB SECURITE ET TEB VIDEO SECURITE,,,,CHEMIN,DES HIRONDELLES,69570,DARDILLY,,69072,,,690720102_B,836962.18,6524476.44,A,,,,,26.30Z,NAFRev2,O,26.51Y
309174589,00759,30917458900759,O,2025-01-01,NN,,,2025-12-06T05:04:50.993,false,A,O,,1977-01-01,5710,SCUTUM FRANCE,PROTEXT,,,,,,,,,,80.20Z,NAFRev2,,N,,41,2023,00122,2025-12-30T09:00:51.62,ETI,2023,RESIDENCE BEAU SITE LES PINS,33,,,RUE,DE LA MAURELLE,13013,MARSEILLE,,13213,,,132135904_B,897870.54,6250373.69,A,,,,,26.30Z,NAFRev2,O,26.51Y
315319897,00031,31531989700031,O,1988-01-01,03,2023,,2025-12-06T04:41:34.083,false,A,O,,1979-01-01,5710,NORALSY,,,,,,,,,,,26.30Z,NAFRev2,,N,,21,2023,00064,2025-12-06T05:15:55.194,ETI,2023,,16,A,,BOULEVARD,DE REUILLY,75012,PARIS,,75112,,,751128174_B,655323.7870280908,6860036.452544648,A,CLEMATIC,,,NORALSY ELECTRONIQUE CONNECTIQUE,26.30Z,NAFRev2,O,80.09Y
315319897,00064,31531989700064,O,1995-07-01,21,2023,,2025-12-06T00:27:47.304,true,A,O,,1979-01-01,5710,NORALSY,,,,,,,,,,,26.30Z,NAFRev2,,N,,21,2023,00064,2025-12-06T05:15:55.194,ETI,2023,ZI ET 37 R GAY LUSSAC,16,,,RUE,LAVOISIER,94430,CHENNEVIERES-SUR-MARNE,,94019,,,940190374_B,666693.723369339,6854896.348990085,A,,,,,26.30Z,NAFRev2,O,80.09Y
315319897,00098,31531989700098,O,1990-04-04,NN,,,2025-12-06T04:33:23.157,false,A,O,,1979-01-01,5710,NORALSY,,,,,,,,,,,26.30Z,NAFRev2,,N,,21,2023,00064,2025-12-06T05:15:55.194,ETI,2023,,16,,,BOULEVARD,DE REUILLY,75012,PARIS,,75112,,,751128174_B,655319.710573587,6860050.383538913,A,NORALSY,,,,26.30Z,NAFRev2,N,80.09Y
315319897,00106,31531989700106,O,2019-01-01,03,2023,,2025-12-05T23:11:11.371,false,A,O,,1979-01-01,5710,NORALSY,,,,,,,,,,,26.30Z,NAFRev2,,N,,21,2023,00064,2025-12-06T05:15:55.194,ETI,2023,,17,,,RUE,PROFESSEUR JEAN BERNARD,69007,LYON,,69387,,,693875779_B,843498.9954497525,6515364.006529043,A,,,,,26.30Z,NAFRev2,O,80.09Y
328885157,00144,32888515700144,O,2013-03-31,NN,,,2025-12-06T01:32:32.529,false,A,O,,1983-12-02,5710,VIDELIO HMS,,,,,,,,,,,33.20D,NAFRev2,,N,,12,2023,00151,2025-12-06T05:25:38.281,ETI,2023,,42,,,RUE,VAUCANSON,69150,DECINES-CHARPIEU,,69275,,,692750288_B,850767.0398439735,6518958.345859954,A,KEZIA,,,,26.30Z,NAFRev2,O,26.51Y
328885157,00151,32888515700151,O,2023-09-01,12,2023,,2025-12-06T04:52:35.127,true,A,O,,1983-12-02,5710,VIDELIO HMS,,,,,,,,,,,33.20D,NAFRev2,,N,,12,2023,00151,2025-12-06T05:25:38.281,ETI,2023,--71 BIS,,,,RUE,HENRI GAUTIER,44550,MONTOIR-DE-BRETAGNE,,44103,,,441030520_B,309295.9797887446,6702803.187279853,A,HMS,,,KEZIA,26.30Z,NAFRev2,N,26.51Y
332059518,00057,33205951800057,O,1997-11-01,21,2023,,2025-12-06T02:44:26.318,false,A,O,,1985-03-11,5710,OBERTHUR CASH PROTECTION,,,,,,,,,,,25.99B,NAFRev2,,N,,21,2023,00073,2025-12-06T06:41:50.156,ETI,2023,ZAE CAPNORD,3,,,RUE,DOCTEUR QUIGNARD,21000,DIJON,,21231,,,212312786_B,856023.5910397437,6696291.793179072,A,,,,,26.30Z,NAFRev2,O,26.51Y
332059518,00073,33205951800073,O,2012-04-10,02,2023,,2025-12-05T22:12:06.401,true,A,O,,1985-03-11,5710,OBERTHUR CASH PROTECTION,,,,,,,,,,,25.99B,NAFRev2,,N,,21,2023,00073,2025-12-06T06:41:50.156,ETI,2023,,7,,,AVENUE,DE MESSINE,75008,PARIS,,75108,,,751086296_B,649645.3809902036,6864216.396601576,A,,,,,26.30Z,NAFRev2,O,26.51Y
332989953,00028,33298995300028,O,1990-08-27,22,2023,,2025-12-06T04:50:22.221,true,A,O,,1985-07-01,5710,ATRAL SECURITY,ATRAL,,,,,,,,,,26.30Z,NAFRev2,,N,,32,2023,00028,2025-12-06T05:15:09.209,ETI,2023,,,,,RUE,DU PRE DE L’HORME,38920,CROLLES,,38140,,,381400528_B,926488.1278140912,6467480.683583139,A,,,,,26.30Z,NAFRev2,O,26.51Y
332989953,00044,33298995300044,O,2012-12-18,21,2023,,2025-12-06T03:52:15.143,false,A,O,,1985-07-01,5710,ATRAL SECURITY,ATRAL,,,,,,,,,,26.30Z,NAFRev2,,N,,32,2023,00028,2025-12-06T05:15:09.209,ETI,2023,,,,,,ZAC ALTAIS,74650,CHAVANOD,,74067,,,,,,A,,,,,26.30Z,NAFRev2,O,26.51Y
333119766,00066,33311976600066,O,2022-07-01,01,2023,4321AB,2025-12-06T04:34:57.016,false,A,O,,1985-07-01,5499,AGENCE GENERA TELECOMMUNIC,AGT,,,,,,,,,,26.30Z,NAFRev2,,N,,01,2023,00074,2025-12-06T05:16:06.77,ETI,2023,LES SUVIERES 29,923,,,AV,DES MIMOSAS,83530,SAINT-RAPHAEL,,83118,,,,,,A,,,,,26.30Z,NAFRev2,N,26.51Y
334579869,00077,33457986900077,O,2024-09-01,NN,,,2025-12-06T05:02:08.92,false,A,O,,1986-01-01,5710,MAJORCOM,,,,,,,,,,,46.43Z,NAFRev2,,N,,12,2023,00093,2025-12-06T06:22:33.04,ETI,2023,,1270,,,AVENUE,DE TOULOUSE,82000,MONTAUBAN,,82121,,,821217730_B,566701.24,6323260.76,A,,,,,26.30Z,NAFRev2,O,26.51Y
334736147,00185,33473614700185,O,2015-11-12,41,2023,,2025-12-05T22:42:57.166,true,A,O,,1986-02-03,5710,ERICSSON FRANCE,,,,,,,,,,,33.20D,NAFRev2,,N,,41,2023,00185,2025-12-06T05:15:09.239,ETI,2023,,25,,,AVENUE,CARNOT,91300,MASSY,,91377,,,913770810_B,645818.4868264593,6847647.050732784,A,ERICSSON FRANCE,,,,26.30Z,NAFRev2,O,26.51Y
335035366,00061,33503536600061,O,2007-06-01,NN,,,2025-12-06T03:03:11.495,false,A,O,,1986-04-01,5710,SOC ETUDE ET FABRI ELECT ET ELECT,SEFEE,,,,,,,,,,30.30Z,NAFRev2,,,,22,2023,00020,2025-12-06T07:38:43.604,ETI,2023,,1,,,RUE,HENRI MICHEL,12400,SAINT-AFFRIQUE,,12208,,,122080760_B,691474.3743038272,6317366.869724672,A,,,,,26.30Z,NAFRev2,N,26.51Y
340161595,00053,34016159500053,O,2014-09-24,NN,,,2025-12-05T18:38:31.227,true,A,O,,1987-01-01,5710,ALSEAMAR,,,,,,,,,,,22.29A,NAFRev2,,N,,22,2023,00053,2025-12-25T13:09:55.079,ETI,2023,,6,,,RUE,PAUL BAUDRY,75008,PARIS,,75108,,,751087119_B,649170.0400964968,6863794.204236571,A,,,,,26.30Z,NAFRev2,N,26.51Y
340161595,00111,34016159500111,O,2018-04-01,21,2023,,2025-12-06T04:26:10.875,false,A,O,,1987-01-01,5710,ALSEAMAR,,,,,,,,,,,22.29A,NAFRev2,,N,,22,2023,00053,2025-12-25T13:09:55.079,ETI,2023,,60,,,AVENUE,OLIVIER PERROY,13790,ROUSSET,,13087,,,130876710_B,911426.381517376,6266760.263782458,A,,,,,26.30Z,NAFRev2,O,26.51Y
340161595,00129,34016159500129,O,2023-02-01,12,2023,,2025-12-05T21:37:45.02,false,A,O,,1987-01-01,5710,ALSEAMAR,,,,,,,,,,,22.29A,NAFRev2,,N,,22,2023,00053,2025-12-25T13:09:55.079,ETI,2023,,291,,,VOIE,ATLAS,13600,LA CIOTAT,,13028,,,130280084_B,912008.9054407511,6237658.075555824,A,,,,ALSEAMAR LA CIOTAT,26.30Z,NAFRev2,O,26.51Y
340161595,00137,34016159500137,O,2023-08-25,NN,,,2025-12-05T21:04:58.721,false,A,O,,1987-01-01,5710,ALSEAMAR,,,,,,,,,,,22.29A,NAFRev2,,N,,22,2023,00053,2025-12-25T13:09:55.079,ETI,2023,LOT 2 B3   ZONE ATHELIA 5,390,,,AVENUE,DES ROSIERS,13600,LA CIOTAT,,13028,,,130281517_B,911497.9420412923,6238254.88926292,A,,,,ALSEAMAR LA CIOTAT 2,26.30Z,NAFRev2,O,26.51Y
342221736,00065,34222173600065,O,2015-06-01,02,2023,,2025-12-05T23:56:21.911,true,A,O,,1987-08-01,5710,GS4,,,,,,,,,,,26.30Z,NAFRev2,,N,,02,2023,00065,2025-12-06T06:34:47.625,ETI,2023,8-10,8,,,RUE,SAINT-NICOLAS,75012,PARIS,,75112,,,751128714_B,654071.9157328948,6861340.12994556,A,,,,DIALPHONE - DIALOG - MURVOX - MEMOSAT - MOBISAT - PUBLISAT,26.30Z,NAFRev2,O,26.30Y
342404399,02588,34240439902588,O,1999-08-31,NN,,,2025-12-05T21:15:52.803,false,A,O,,1987-06-04,5710,T D F,TDF,,,,,,,,,,61.20Z,NAFRev2,,N,,42,2023,03453,2025-12-15T18:26:43.36,ETI,2023,,,,,,LE BAPTIEUX,74170,LES CONTAMINES MONTJOIE,,74085,,,74085B009_C,,,A,,,,,26.30Z,NAFRev2,N,26.51Y
349462192,00023,34946219200023,O,2010-09-01,12,2023,,2025-12-05T22:38:53.687,true,A,O,,1989-01-24,5710,FABRIC APPLICATIONS REALISAT ELECTRONIQU,FARE,,,,,,,,,,26.30Z,NAFRev2,,N,,12,2023,00023,2025-12-06T08:00:10.696,ETI,2023,ZA DE LA GUINETTE,,,,RUE,DUHAMEL DU MONCEAU,45300,DADONVILLE,,45119,,,451190072_B,643373.0249608725,6783854.478956535,A,,,,,26.30Z,NAFRev2,O,26.51Y
349462192,00031,34946219200031,O,2023-06-26,02,2023,,2025-12-05T21:42:32.627,false,A,O,,1989-01-24,5710,FABRIC APPLICATIONS REALISAT ELECTRONIQU,FARE,,,,,,,,,,26.30Z,NAFRev2,,N,,12,2023,00023,2025-12-06T08:00:10.696,ETI,2023,,80,,,RUE,GUTENBERG,91120,PALAISEAU,,91477,,,914772460_B,645276.8863655108,6845618.75227713,A,,,,,26.30Z,NAFRev2,O,26.51Y
351305180,00066,35130518000066,O,2021-03-15,22,2023,,2025-12-06T02:52:54.196,true,A,O,,1989-07-01,5599,F.D.I MATELEC,,,,,,,,,,,26.30Z,NAFRev2,,N,,22,2023,00066,2025-12-06T11:09:25.863,ETI,2023,ZI DU CORMIER,110,,,RUE,PIERRE-GILLES DE GENNES,49300,CHOLET,,49099,,,490991902_B,402167.2812098019,6665214.424815801,A,,,,,26.30Z,NAFRev2,N,26.51Y
378384291,00035,37838429100035,O,2000-09-01,11,2023,,2025-12-06T01:11:20.952,true,A,O,,1990-06-06,5710,ERARD PRO,,,,,,,,,,,26.30Z,NAFRev2,,,,11,2023,00035,2025-12-06T05:25:13.126,ETI,2023,ZI DE CHAVANOZ,4,,,ROUTE,DE LA PLAINE,38230,CHAVANOZ,,38097,,,380970456_B,869863.6103952981,6520535.743901368,A,,,,,26.30Z,NAFRev2,O,26.30Y
392197679,00021,39219767900021,O,2023-01-30,12,2023,,2025-12-05T23:06:36.831,true,A,O,,1993-07-01,5710,HAGER SAFETY,,,,,,,,,,,26.30Z,NAFRev2,,N,,12,2023,00021,2025-12-06T06:06:11.538,ETI,2023,,364,,,RUE,JEAN MONNET,38920,CROLLES,,38140,,,381400485_B,926609.9108632721,6467423.019210409,A,,,,,26.30Z,NAFRev2,N,46.50Y
399024306,00066,39902430600066,O,2008-09-01,NN,,,2025-12-06T01:01:55.778,true,A,O,,1994-12-01,5599,LEXISNEXIS BUSINESS INFORMATION SOLUTIONS HOLDING,,,,,,,,,,,62.01Z,NAFRev2,,N,N,11,2023,00066,2025-12-06T07:23:25.734,ETI,2023,,141,,,RUE,DE JAVEL,75015,PARIS,,75115,,,751154843_B,647859.0332945819,6860523.802070349,A,,,,,26.30Z,NAFRev2,O,26.51Y
401802087,00023,40180208700023,O,2018-03-26,22,2023,,2025-12-05T23:19:01.527,true,A,O,,1995-07-27,5599,CASTEL,,,,,,,,,,,26.30Z,NAFRev2,,N,,22,2023,00023,2025-12-06T05:43:20.997,ETI,2023,ZAC DE LA RONDE,10,,,ROUTE,DU BOIS DE LA CASSE,49680,NEUILLE,,49224,,,492240021_B,471775.77885947586,6694615.244103113,A,,,,,26.30Z,NAFRev2,O,26.30Y
401802087,00031,40180208700031,O,2025-07-01,NN,,,2025-12-05T22:07:23.381,false,A,O,,1995-07-27,5599,CASTEL,,,,,,,,,,,26.30Z,NAFRev2,,N,,22,2023,00023,2025-12-06T05:43:20.997,ETI,2023,,5,,,RUE,DE COPENHAGUE,44000,NANTES,,44109,,,441092134_B,356641.12,6689363.63,A,,,,,26.30Z,NAFRev2,O,26.30Y
402048789,00075,40204878900075,O,2024-01-01,NN,,,2025-12-06T02:47:27.77,false,A,O,,1995-09-04,5710,ALCEA,,,,,,,,,,,33.20C,NAFRev2,,N,,22,2023,00059,2026-01-20T13:14:38.715,ETI,2023,,,,,,LAREINTY,97232,LE LAMENTIN,,97213,,,97213B232_C,,,A,,,,,26.30Z,NAFRev2,O,26.51Y
402048789,00109,40204878900109,O,2024-01-01,NN,,,2025-12-05T23:07:58.652,false,A,O,,1995-09-04,5710,ALCEA,,,,,,,,,,,33.20C,NAFRev2,,N,,22,2023,00059,2026-01-20T13:14:38.715,ETI,2023,IMMEUBLE L'OISEAU DU PARADIS,42,,,RUE,HENRI BECQUEREL-JARRY,97122,BAIE-MAHAULT,,97103,,,971030402_B,652842.221575603,1796183.094466259,A,,,,,26.30Z,NAFRev2,N,26.51Y
412162448,00010,41216244800010,O,1997-04-01,22,2023,,2025-12-05T21:10:03.905,true,A,O,,1997-04-01,5710,THALES AEROSPACE COMMUNICATIONS DOURDAN,,,,,,,,,,,26.30Z,NAFRev2,,N,,22,2023,00010,2025-12-06T05:25:30.377,ETI,2023,,7,,,CHEMIN,DE VAUBESNARD,91410,DOURDAN,,91200,,,912002320_B,627711.26,6826896.16,A,,,,,26.30Z,NAFRev2,O,26.30Y
428787550,00014,42878755000014,O,1999-12-14,21,2023,2630ZZ,2025-12-06T02:20:49.909,true,A,O,,1999-12-14,5710,WORLDCAST SYSTEMS,,,,,,,,,,,26.30Z,NAFRev2,,N,,21,2023,00014,2025-12-06T05:17:13.098,ETI,2023,P ACTIVITES JF KENNEDY,20,,,AVENUE,NEIL ARMSTRONG,33700,MERIGNAC,,33281,,,332812161_B,408477.04213375645,6422467.472260545,A,,,,,26.30Z,NAFRev2,O,26.30Y
433034782,00030,43303478200030,O,2015-08-17,32,2023,,2025-12-05T23:17:05.765,true,A,O,,2000-09-29,5599,COGELEC,,,,,,,,,,,26.30Z,NAFRev2,,N,,32,2023,00030,2025-12-06T05:38:05.836,ETI,2023,,370,,,RUE,DE MAUNIT,85290,MORTAGNE-SUR-SEVRE,,85151,,,851510767_B,401475.40855745884,6661703.245530721,A,,,,,26.30Z,NAFRev2,O,26.30Y
444829592,00062,44482959200062,O,2024-05-23,NN,,,2025-12-06T04:56:33.676,true,A,O,,2003-01-03,5599,EKINOPS,,,,,,,,,,,26.30Z,NAFRev2,,N,,21,2023,00062,2025-12-06T09:14:18.12,ETI,2023,,10,,,RUE,EDOUARD BRANLY,22300,LANNION,,22113,,,221131503_B,226333.34,6870370.71,A,,,,,26.30Z,NAFRev2,N,26.30Y
444829592,00070,44482959200070,O,2023-04-20,NN,,,2025-12-06T03:43:11.199,false,A,O,,2003-01-03,5599,EKINOPS,,,,,,,,,,,26.30Z,NAFRev2,,N,,21,2023,00062,2025-12-06T09:14:18.12,ETI,2023,,27,,29,AVENUE,CARNOT,91300,MASSY,,91377,,,913770810_B,645726.15,6847550.29,A,EKINOPS SA,,,EKINOPS SA,26.30Z,NAFRev2,O,26.30Y
451063739,00135,45106373900135,O,2014-04-01,12,2023,,2025-12-05T23:03:18.524,false,A,O,,2003-12-01,5710,HUAWEI TECHNOLOGIES FRANCE,,,,,,,,,,,46.52Z,NAFRev2,,N,,41,2023,00119,2025-12-06T05:40:25.636,ETI,2023,MARCO POLO A,790,,,AVENUE,DU DOCTEUR MAURICE DONAT,06250,MOUGINS,,06085,,,060850322_B,1024320.1882653536,6287320.928353734,A,HUAWEI,,,,26.30Z,NAFRev2,O,26.51Y
477555718,00055,47755571800055,O,2010-10-25,12,2023,,2025-12-05T21:19:44.021,false,A,O,,2004-06-21,5710,HARMONIC FRANCE,,,,,,,,,,,72.19Z,NAFRev2,,N,,32,2023,00071,2026-02-09T17:01:02.83,ETI,2023,TECHNOPOLE BREST IROISE,,,,AVENUE,ALEXIS DE ROCHON,29280,PLOUZANE,,29212,,,292120453_B,140518.97169869416,6833430.171756143,A,,,,,26.30Z,NAFRev2,O,26.51Y
477555718,00071,47755571800071,O,2015-06-01,32,2023,,2025-12-05T22:38:33.329,true,A,O,,2004-06-21,5710,HARMONIC FRANCE,,,,,,,,,,,72.19Z,NAFRev2,,N,,32,2023,00071,2026-02-09T17:01:02.83,ETI,2023,,57,,,RUE,CLEMENT ADER,35510,CESSON-SEVIGNE,,35051,,,350510662_B,356506.50132835767,6791734.452902287,A,,,,,26.30Z,NAFRev2,O,26.51Y
477555718,00105,47755571800105,O,2024-11-21,NN,,,2025-12-06T05:04:32.888,false,A,O,,2004-06-21,5710,HARMONIC FRANCE,,,,,,,,,,,72.19Z,NAFRev2,,N,,32,2023,00071,2026-02-09T17:01:02.83,ETI,2023,HARMONIC CENTRE D'AFFAIRES REGUS,13,,,RUE,CAMILLE DESMOULINS,92130,ISSY-LES-MOULINEAUX,,92040,,,920401410_B,646083.31,6859154.08,A,,,,,26.30Z,NAFRev2,N,26.51Y
518316823,00021,51831682300021,O,2016-08-29,12,2023,,2025-12-05T23:04:07.734,true,A,O,,2009-12-01,5710,OMELCOM,,,,,,,,,,,26.30Z,NAFRev2,,N,,12,2023,00021,2025-12-06T05:23:29.329,ETI,2023,ZA EN BEAUVOIR,360,,,RUE,DE LA OUTARDE,01500,CHATEAU-GAILLARD,,01089,,,010890105_B,879786.6668192638,6544763.647774675,A,OMELCOM,,,OMELCOM,26.30Z,NAFRev2,O,27.33Y
529176059,00036,52917605900036,O,2020-09-01,03,2023,,2025-12-05T23:36:15.974,true,A,O,,2010-12-01,5710,SAFE HOME DETECTOR,SHD,,,,,,,,,,26.30Z,NAFRev2,,N,,03,2023,00036,2025-12-06T05:16:30.624,ETI,2023,,8,,,ROUTE,DE BOUZONVILLE-EN-BEAUCE,45300,PITHIVIERS,,45252,,,452520175_B,643794.2719150855,6787242.519931147,A,,,,SAFE HOME DETECTOR,26.30Z,NAFRev2,O,26.51Y
572095982,00045,57209598200045,O,2022-01-08,02,2023,,2025-12-05T22:56:58.089,false,A,O,,1976-01-01,5710,ARESIA-OZOIR,,,,,,,,,,,71.12B,NAFRev2,,N,,12,2023,00037,2025-12-06T05:43:29.466,ETI,2023,BATIMENT HORUS ZAC AEROPORT,75,,,RUE,JEREMY BENTHAM,34470,PEROLS,,34198,,,341980429_B,775715.9101273293,6276158.865713385,A,,,,,26.30Z,NAFRev2,O,26.51Y
