siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
323459974,00057,32345997400057,O,2003-01-01,NN,,,2025-12-06T05:06:38.377,false,A,O,,1981-12-01,5710,INEO DEFENSE,,,,,,,,,,,26.30Z,NAFRev2,,N,,32,2023,00073,2025-12-06T05:24:55.951,GE,2023,,,,,,Z I DE KERIVIN,29600,SAINT-MARTIN-DES-CHAMPS,,29254,,,29254B107_C,,,A,EQUANS,,,,26.30Z,NAFRev2,O,26.30Y
323459974,00065,32345997400065,O,2008-05-01,22,2023,,2025-12-05T20:42:22.904,false,A,O,,1981-12-01,5710,INEO DEFENSE,,,,,,,,,,,26.30Z,NAFRev2,,N,,32,2023,00073,2025-12-06T05:24:55.951,GE,2023,,90,,,TRAVERSE,DES MESSUGUES,06560,VALBONNE,,06152,,,061520212_B,1025824.8638425944,6289034.505409689,A,EQUANS,,,,26.30Z,NAFRev2,O,26.30Y
323459974,00073,32345997400073,O,2008-10-27,32,2023,,2025-12-06T04:20:03.001,true,A,O,,1981-12-01,5710,INEO DEFENSE,,,,,,,,,,,26.30Z,NAFRev2,,N,,32,2023,00073,2025-12-06T05:24:55.951,GE,2023,,23,,,RUE,GENERAL VALERIE ANDRE,78140,VELIZY-VILLACOUBLAY,,78640,,,786400233_B,641085.0062799103,6853456.031064454,A,EQUANS,,,AMP,26.30Z,NAFRev2,O,26.30Y
323459974,00107,32345997400107,O,2015-01-01,21,2023,,2025-12-05T15:16:00.162,false,A,O,,1981-12-01,5710,INEO DEFENSE,,,,,,,,,,,26.30Z,NAFRev2,,N,,32,2023,00073,2025-12-06T05:24:55.951,GE,2023,ZONE INDUSTRIELLE DE KERIVEN,21,,,RUE,MARCELLIN BERTHELOT,29600,SAINT-MARTIN-DES-CHAMPS,,29254,,,292540145_B,194625.64929712372,6850983.052287367,A,EQUANS,,,INEO DEFENSE BRETAGNE,26.30Z,NAFRev2,O,26.30Y
348212697,00059,34821269700059,O,2016-01-15,12,2023,2630ZZ,2025-12-06T01:33:03.677,true,A,O,,1988-09-01,5710,NORD AUDIO ELECTRONIQUE,NAE,,,,,,,,,,26.30Z,NAFRev2,,N,,12,2023,00059,2025-12-06T05:17:01.58,GE,2023,,415,,,RUE,DES BOURRELIERS,59320,HALLENNES-LEZ-HAUBOURDIN,,59278,,,592780090_B,697068.4775944985,7056593.562951985,A,,,,,26.30Z,NAFRev2,O,26.51Y
383470937,00061,38347093700061,O,1995-12-01,51,2023,,2025-12-05T21:22:07.048,false,A,O,,1991-10-18,5710,THALES SIX GTS FRANCE SAS,,,,,,,,,,,26.30Z,NAFRev2,,N,,52,2023,00194,2025-12-06T10:06:55.35,GE,2023,,110,,,AVENUE,DU MARECHAL LECLERC,49300,CHOLET,,49099,,,490992856_B,407261.28002104064,6670066.903542032,A,,,,,26.30Z,NAFRev2,O,26.30Y
383470937,00079,38347093700079,O,1995-12-01,32,2023,,2025-12-06T04:23:21.049,false,A,O,,1991-10-18,5710,THALES SIX GTS FRANCE SAS,,,,,,,,,,,26.30Z,NAFRev2,,N,,52,2023,00194,2025-12-06T10:06:55.35,GE,2023,,6,,,RUE,LT COL LAPORTE,19100,BRIVE-LA-GAILLARDE,,19031,,,190314053_B,586784.0271422784,6451867.586745744,A,,,,,26.30Z,NAFRev2,O,26.30Y
383470937,00087,38347093700087,O,1995-11-30,NN,,,2025-12-06T05:06:40.605,false,A,O,,1991-10-18,5710,THALES SIX GTS FRANCE SAS,,,,,,,,,,,26.30Z,NAFRev2,,N,,52,2023,00194,2025-12-06T10:06:55.35,GE,2023,,36,B,,CHEMIN,DE LIFFARD,31100,TOULOUSE,,31555,,,315555252_B,569053.6583825094,6275174.708845261,A,,,,,26.30Z,NAFRev2,N,26.30Y
383470937,00129,38347093700129,O,1997-01-01,NN,,,2025-12-05T22:36:49.92,false,A,O,,1991-10-18,5710,THALES SIX GTS FRANCE SAS,,,,,,,,,,,26.30Z,NAFRev2,,N,,52,2023,00194,2025-12-06T10:06:55.35,GE,2023,LES FLACHES,,,,,AERODROME DE PONTOISE,95650,BOISSY L'AILLERIE,,95078,,,,,,A,,,,,26.30Z,NAFRev2,N,26.30Y
383470937,00152,38347093700152,O,2003-12-02,32,2023,,2025-12-05T22:25:35.649,false,A,O,,1991-10-18,5710,THALES SIX GTS FRANCE SAS,,,,,,,,,,,26.30Z,NAFRev2,,N,,52,2023,00194,2025-12-06T10:06:55.35,GE,2023,PARC DU PORT ROYAL,251,,,AVENUE,DU BOIS,59130,LAMBERSART,,59328,,,593280190_B,703023.2256800919,7061148.923814891,A,,,,,26.30Z,NAFRev2,O,26.30Y
383470937,00160,38347093700160,O,2007-07-01,NN,,,2025-12-05T23:16:24.179,false,A,O,,1991-10-18,5710,THALES SIX GTS FRANCE SAS,,,,,,,,,,,26.30Z,NAFRev2,,N,,52,2023,00194,2025-12-06T10:06:55.35,GE,2023,,,,,RTE,DEPARTEMENTALE 128,91120,PALAISEAU,,91477,,,,,,A,,,,,26.30Z,NAFRev2,N,26.30Y
