siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
037213451,00034,03721345100034,O,1992-09-01,NN,,,2025-12-05T19:14:47.991,true,A,O,,1992-09-01,1000,,,M,CHEURLIN,,JEAN,LOUIS,,,JEAN,,26.30Z,NAFRev2,,,,NN,,00034,2025-12-06T07:37:14.641,PME,2023,,17,,,AVENUE,GABRIEL PERI,83520,ROQUEBRUNE-SUR-ARGENS,,83107,,,831070980_B,994633.7305617707,6267438.580244583,A,,,,,26.30Z,NAFRev2,N,26.51Y
046350047,00109,04635004700109,O,2005-06-14,01,2023,,2025-12-06T03:46:34.715,true,A,O,,1963-01-01,5710,IMMOBILIERE ET INDUSTRIELLE NORMAND,,,,,,,,,,,68.20B,NAFRev2,,N,,01,2023,00109,2025-12-06T06:18:07.597,PME,2023,,,,,BOULEVARD,EUGENE THOMAS,62110,HENIN-BEAUMONT,,62427,,,624270281_B,697998.321151106,7032991.217158148,A,,,,,26.30Z,NAFRev2,O,26.51Y
302344072,00012,30234407200012,O,1972-10-10,NN,,,2025-12-05T21:01:35.677,true,A,O,,1972-10-10,5499,OPTIPHONE,,,,,,,,,,,26.30Z,NAFRev2,,,,NN,,00012,2025-12-06T11:11:49.787,PME,2023,,25,,,RUE,DE LA VALLEE,91610,BALLANCOURT-SUR-ESSONNE,,91045,,,910450660_B,654778.0136768317,6824749.039755429,A,,,,,26.30Z,NAFRev2,N,26.51Y
309231942,00025,30923194200025,O,1980-09-29,12,2023,,2025-12-05T23:57:40.371,true,A,O,,1965-01-01,5710,SERME,,,,,,,,,,,26.30Z,NAFRev2,,,,12,2023,00025,2025-12-06T05:25:04.515,PME,2023,PARC ACTIVIT HAIE GRISELLE,19,,,RUE,DU 8 MAI 1945,94470,BOISSY-SAINT-LEGER,,94004,,,940040181_B,663314.3286211136,6851299.301757865,A,,,,,26.30Z,NAFRev2,O,26.30Y
309231942,00041,30923194200041,O,1996-04-01,NN,,,2025-12-05T22:04:31.936,false,A,O,,1965-01-01,5710,SERME,,,,,,,,,,,26.30Z,NAFRev2,,,,12,2023,00025,2025-12-06T05:25:04.515,PME,2023,,16,,,RUE,DES SABLONS,94470,BOISSY-SAINT-LEGER,,94004,,,940040359_B,663381.0067276671,6851358.255001673,A,,,,,26.30Z,NAFRev2,N,26.30Y
309483139,00023,30948313900023,O,1991-01-21,11,2023,,2025-12-06T03:07:12.372,true,A,O,,1974-01-01,5710,LABO TELE 34,,,,,,,,,,,26.30Z,NAFRev2,,,,11,2023,00023,2025-12-06T05:25:12.616,PME,2023,ZI LA LAUZE,21,,,ZI,DE LA LAUZE,34430,SAINT-JEAN-DE-VEDAS,,34270,,,34270A150_B,768053.2593569295,6274100.631820459,A,,,,,26.30Z,NAFRev2,O,26.30Y
309646628,00037,30964662800037,O,2021-10-01,NN,2023,2630ZZ,2025-12-05T23:27:23.06,true,A,O,,1977-01-01,5499,SOC FABRIC PRODUIT OPTEX,,,,,,,,,,,26.30Z,NAFRev2,,N,,01,2023,00037,2025-12-06T05:43:36.153,PME,2023,,117,,,BOULEVARD,EUGENE THOMAS,62110,HENIN-BEAUMONT,,62427,,,624270281_B,697887.660165649,7033353.057819581,A,,,,,26.30Z,NAFRev2,N,26.30Y
311306344,00012,31130634400012,O,1977-01-01,NN,,,2025-12-06T02:33:28.589,true,A,O,,1977-01-01,3220,GENE INSTRUMENT INTER CORPORAT,,,,,,,,,,,26.30Z,NAFRev2,,,,NN,,00012,2025-12-06T06:50:57.749,PME,2023,,1775,,,,BROODWAY NEW YORK,,,,,99404,ETATS-UNIS,,,,A,,,,,26.30Z,NAFRev2,N,26.51Y
311360994,00033,31136099400033,O,1980-03-01,NN,,,2025-12-06T02:27:39.793,false,A,O,,1977-01-01,5599,NORMEREL,,,,,,,,,,,26.20Z,NAFRev2,,,,NN,,00041,2025-12-06T06:15:59.924,PME,2023,ZONE INDUSTRIELLE,,,,RUE,DU CONILLOT,50400,GRANVILLE,,50218,,,502180316_B,365278.98315179744,6869674.764184531,A,,,,,26.30Z,NAFRev2,N,26.51Y
311737308,00016,31173730800016,O,1900-01-01,NN,,,2025-12-06T02:25:12.125,false,A,O,,1900-01-01,1000,,,M,THOMAS,,CLAUDE,ALBERT,,,CLAUDE,,26.30Z,NAFRev2,,,,NN,,00024,2025-12-06T06:19:03.213,PME,2023,,7,,,RUE,DE L'ESPERE,06510,CARROS,,06033,,,060330250_B,1037086.2112438582,6306570.660373374,A,,,,,26.30Z,NAFRev2,N,26.51Y
