siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
062802327,00023,06280232700023,O,1982-04-01,NN,,,2025-12-05T22:01:19.486,false,A,O,,1962-01-01,5710,HOLDING IZARD,,,,,,,,,,,68.20B,NAFRev2,,N,,02,2023,00015,2025-12-06T05:52:29.046,PME,2023,,1,,,IMPASSE,DE CHATEAUDUN,79200,PARTHENAY,,79202,,,792020405_B,452077.98536353715,6621611.959189816,A,,,,,26.20Z,NAFRev2,N,26.40Y
071501803,00036,07150180300036,O,1990-01-01,NN,,,2025-12-05T20:58:32.346,false,A,O,,1971-01-01,5699,GEA GRENOBLOISE ELECTRONIQUE AUTOMATISME,GEA,,,,,,,,,,26.20Z,NAFRev2,,N,,22,2023,00028,2025-12-06T05:15:21.135,PME,2023,,,,,,AEROPORT,38590,SAINT-ETIENNE-DE-SAINT-GEOIRS,,38384,,,,,,A,,,,,26.20Z,NAFRev2,N,26.20Y
073500605,00040,07350060500040,O,2024-02-14,NN,,,2025-12-05T23:12:52.7,true,A,O,,1973-01-01,5710,LUMIPLAN DUHAMEL,,,,,,,,,,,26.20Z,NAFRev2,,N,,21,2023,00040,2025-12-06T06:35:04.583,ETI,2023,ZA DE LA GRANDE ILE,215,,,RUE,GUYNEMER,38420,LE VERSOUD,,38538,,,385380243_B,925416.3392836293,6463188.9806532655,A,,,,,26.20Z,NAFRev2,N,26.20Y
100039544,00018,10003954400018,O,2026-01-19,NN,,,2026-02-04T08:53:41.301,true,A,O,,2026-01-19,1000,,,M,SOUIL--COLIGNON,,GAUTHIER,BRUNO,RENE,,GAUTHIER,,26.20Z,NAFRev2,,,,NN,,00018,2026-02-04T08:53:41.301,,,315 BATIMENT D,35,,,RUE,MUSTEL,76000,ROUEN,,76540,,,765405870_B,560097.48,6929562.69,A,,,,GRAUWT COMPUTER,26.20Z,NAFRev2,N,26.20Y
100340835,00014,10034083500014,P,2026-02-01,NN,,,2026-01-27T15:11:34.071,true,A,P,,2026-02-01,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],26.20Z,NAFRev2,,,,NN,,00014,2026-01-27T15:11:34.07,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],BROUSSEY-RAULECOURT,,55085,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],26.20Z,NAFRev2,N,26.20Y
100660414,00010,10066041400010,P,2026-02-16,NN,,,2026-02-12T15:33:35.348,true,A,P,,2026-02-16,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],26.20Z,NAFRev2,,,,NN,,00010,2026-02-12T15:33:35.348,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],PEROUSE,,90076,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],26.20Z,NAFRev2,N,95.10Y
101088201,00013,10108820100013,P,2026-03-01,NN,,,2026-02-18T15:06:40.5,true,A,P,,2026-03-01,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],26.20Z,NAFRev2,,,,NN,,00013,2026-02-18T15:06:40.5,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],SAINT-PREST,,28358,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],26.20Z,NAFRev2,N,26.20Y
101124360,00013,10112436000013,O,2026-02-07,NN,,,2026-02-20T17:52:17.08,true,A,O,,2026-02-07,1000,,,M,DUMENET,,QUENTIN,,,,QUENTIN,,26.20Z,NAFRev2,,,,NN,,00013,2026-02-20T17:52:17.082,,,,3,,,RUE,DE L'ECOLE,44800,SAINT-HERBLAIN,,44162,,,441620940_B,351475.02,6689896.4,A,,,,RAZIR,26.20Z,NAFRev2,N,26.20Y
101370617,00017,10137061700017,P,2026-02-17,NN,,,2026-02-18T08:59:15.223,true,A,P,,2026-02-17,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],26.20Z,NAFRev2,,,,NN,,00017,2026-02-18T08:59:15.223,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],PIERRELAYE,,95488,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],26.20Z,NAFRev2,N,26.20Y
305585887,00063,30558588700063,O,1987-08-31,21,2023,,2025-12-06T03:10:48.629,true,A,O,,1974-01-01,5710,CARTADIS,CMF,,,,,,,,,,26.20Z,NAFRev2,,N,,21,2023,00063,2025-12-06T05:16:17.562,PME,2023,ZONE DES MARAIS,1,,,AVENUE,LOUISON BOBET,94120,FONTENAY-SOUS-BOIS,,94033,,,940335184_B,662823.7210753987,6861301.49857143,A,,,,,26.20Z,NAFRev2,O,26.20Y
