siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
073500605,00040,07350060500040,O,2024-02-14,NN,,,2025-12-05T23:12:52.7,true,A,O,,1973-01-01,5710,LUMIPLAN DUHAMEL,,,,,,,,,,,26.20Z,NAFRev2,,N,,21,2023,00040,2025-12-06T06:35:04.583,ETI,2023,ZA DE LA GRANDE ILE,215,,,RUE,GUYNEMER,38420,LE VERSOUD,,38538,,,385380243_B,925416.3392836293,6463188.9806532655,A,,,,,26.20Z,NAFRev2,N,26.20Y
320797855,00162,32079785500162,O,1998-06-01,NN,,,2025-12-05T22:13:55.566,false,A,O,,1981-03-01,5710,HONEYWELL PRODUCTIVITY SOLUTIONS,,,,,,,,,,,46.51Z,NAFRev2,,N,,11,2023,00204,2025-12-06T05:38:03.497,ETI,2023,,25,,,BOULEVARD,DES BOUVETS,92000,NANTERRE,,92050,,,920500769_B,643156.1262172516,6866600.827832804,A,,,,,26.20Z,NAFRev2,N,26.40Y
329095640,00135,32909564000135,O,1993-04-01,NN,,,2025-12-06T00:42:58.731,false,A,O,,1984-12-03,5499,TIBCO IMMO,TIBCO,,,,,,,,,,68.20B,NAFRev2,,N,,NN,,00119,2025-12-06T05:40:32.696,ETI,2023,IMMEUBLE LE PERIPHERIQUE C,16,,,RUE,DES BROSSES,69100,VILLEURBANNE,,69266,,,692660640_B,848376.2099179062,6518721.562371478,A,,,,,26.20Z,NAFRev2,N,26.40Y
329095640,00408,32909564000408,O,1996-11-15,NN,,,2025-12-06T00:56:09.061,false,A,O,,1984-12-03,5499,TIBCO IMMO,TIBCO,,,,,,,,,,68.20B,NAFRev2,,N,,NN,,00119,2025-12-06T05:40:32.696,ETI,2023,,80,,,AVENUE,DES BUTTES DE COESMES,35700,RENNES,,35238,,,352381319_B,355758.9600662972,6790782.506541474,A,,,,,26.20Z,NAFRev2,N,26.40Y
350544896,00029,35054489600029,O,1989-11-13,22,2023,,2025-12-05T22:02:09.892,true,A,O,,1989-05-01,5599,SHARP MANUFACTURING FRANCE,,,,,,,,,,,26.20Z,NAFRev2,,N,,22,2023,00029,2025-12-06T08:10:38.316,ETI,2023,,,,,ROUTE,DE BOLLWILLER,68360,SOULTZ-HAUT-RHIN,,68315,,,683150090_B,1016425.9089973851,6761915.027409509,A,,,,,26.20Z,NAFRev2,O,26.40Y
350786950,00047,35078695000047,O,1996-09-01,12,2023,,2025-12-05T22:06:02.221,true,A,O,,1989-05-17,5499,ZF DIGITAL SOLUTIONS DIS,DIS,,,,,,,,,,26.20Z,NAFRev2,,N,,12,2023,00047,2025-12-06T08:45:32.05,ETI,2023,,,,,ROUTE,DE NIMES,30560,SAINT-HILAIRE-DE-BRETHMAS,,30259,,,30259n2khzl_B,788816.8074212226,6333044.228461299,A,,,,,26.20Z,NAFRev2,O,26.40Y
401250626,00017,40125062600017,O,1995-06-01,02,2023,,2025-12-06T04:07:41.977,true,A,O,,1995-06-01,5710,TONERFILL FRANCE,,,,,,,,,,,26.20Z,NAFRev2,,,,02,2023,00017,2025-12-06T05:25:13.513,ETI,2023,,10,,,RUE,PIERRE GEMIN,53800,RENAZE,,53188,,,531880560_B,397329.1899724145,6751184.591028308,A,,,,,26.20Z,NAFRev2,O,26.20Y
403145303,00018,40314530300018,O,1996-01-01,03,2023,2620ZZ,2025-12-06T01:54:23.523,true,A,O,,1996-01-01,5710,LACOUR ELECTRONIQUE,,,,,,,,,,,26.20Z,NAFRev2,,N,,03,2023,00018,2025-12-06T06:15:42.709,ETI,2023,,1,,,AVENUE,HENRI DEBORD,18230,SAINT-DOULCHARD,,18205,,,182050642_B,652402.3062990472,6666387.474897663,A,,,,,26.20Z,NAFRev2,O,26.20Y
424761419,00011,42476141900011,O,1999-10-15,11,2023,,2025-12-06T04:17:38.175,false,A,O,,1999-10-15,5710,OVH,,,,,,,,,,,63.11Z,NAFRev2,,N,,42,2023,00045,2025-12-06T05:25:30.467,ETI,2023,,140,,,QUAI,DU SARTEL,59100,ROUBAIX,,59512,,,595125180_B,714078.8528773311,7066265.805576437,A,,,,,26.20Z,NAFRev2,O,26.40Y
424761419,00037,42476141900037,O,2006-05-24,12,2023,,2025-12-06T02:10:58.315,false,A,O,,1999-10-15,5710,OVH,,,,,,,,,,,63.11Z,NAFRev2,,N,,42,2023,00045,2025-12-06T05:25:30.467,ETI,2023,,156,,,QUAI,DU SARTEL,59100,ROUBAIX,,59512,,,595125180_B,714153.6270272131,7066283.936246042,A,,,,,26.20Z,NAFRev2,O,26.40Y
