siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
385365713,00671,38536571300671,O,2017-05-01,22,2023,,2025-12-05T23:17:39.4,false,A,O,,1992-04-08,5710,INETUM,,,,,,,,,,,62.02A,NAFRev2,,N,N,52,2023,00978,2025-12-06T05:43:36.644,GE,2023,,121,,,RUE,DES GUILLEES,79180,CHAURAY,,79081,,,790810245_B,441018.71669972804,6588096.154604017,A,,,,,26.20Z,NAFRev2,N,26.40Y
433115904,00073,43311590400073,O,2009-10-01,NN,,,2025-12-06T03:34:38.771,false,A,O,,2000-08-30,5710,SCALEWAY,,,,,,,,,,,63.11Z,NAFRev2,,N,,41,2023,00057,2026-01-28T15:32:28.806,GE,2023,,16,,,RUE,DE LA VILLE L'EVEQUE,75008,PARIS,,75108,,,751089830_B,650148.9244735484,6863722.311731554,A,,,,,26.20Z,NAFRev2,N,26.40Y
433115904,00081,43311590400081,O,2015-10-01,NN,,,2025-12-06T02:13:40.548,false,A,O,,2000-08-30,5710,SCALEWAY,,,,,,,,,,,63.11Z,NAFRev2,,N,,41,2023,00057,2026-01-28T15:32:28.806,GE,2023,,25,,,AVENUE,DE L'EGUILLETTE,95310,SAINT-OUEN-L'AUMONE,,95572,,,955720225_B,636862.7253925774,6883999.935208023,A,,,,,26.20Z,NAFRev2,N,26.40Y
433115904,00115,43311590400115,O,2019-05-14,NN,,,2025-12-06T03:36:01.947,false,A,O,,2000-08-30,5710,SCALEWAY,,,,,,,,,,,63.11Z,NAFRev2,,N,,41,2023,00057,2026-01-28T15:32:28.806,GE,2023,,11,B,,RUE,ROQUEPINE,75008,PARIS,,75108,,,751088355_B,650023.3131312623,6863906.208255953,A,,,,ONLINE,26.20Z,NAFRev2,N,26.40Y
433115904,00123,43311590400123,O,2017-11-03,NN,,,2025-12-06T03:31:02.62,false,A,O,,2000-08-30,5710,SCALEWAY,,,,,,,,,,,63.11Z,NAFRev2,,N,,41,2023,00057,2026-01-28T15:32:28.806,GE,2023,,37,,,RUE,DE LA BARRE,59800,LILLE,,59350,,,593500591_B,704015.3908373336,7060180.764707826,A,,,,,26.20Z,NAFRev2,N,26.40Y
433115904,00172,43311590400172,O,2025-12-01,NN,,,2026-01-28T15:32:28.809,false,A,O,,2000-08-30,5710,SCALEWAY,,,,,,,,,,,63.11Z,NAFRev2,,N,,41,2023,00057,2026-01-28T15:32:28.806,GE,2023,,1000,,,,L'OCCITANE,31670,LABEGE,,31254,,,31254qgad3k_B,579381.77,6272813.64,A,SCALEWAY SAS,,,SCALEWAY SAS,26.20Z,NAFRev2,O,95.10Y
440305282,00103,44030528200103,O,2024-07-03,NN,,,2025-12-06T04:58:01.901,false,A,O,,2001-12-01,5710,IN SMART IDENTITY FRANCE,,,,,,,,,,,26.20Z,NAFRev2,,N,,41,2023,00087,2026-02-05T16:31:46.124,GE,2023,GREEN SIDE VILLAGE - BATIMENT 3,400,,,AVENUE,ROUMANILLE,06410,BIOT,,06018,,,060180698_B,1028827.89,6288719.5,A,,,,,26.20Z,NAFRev2,N,26.20Y
440305282,00111,44030528200111,O,2025-06-04,NN,,,2025-12-05T22:34:27.003,false,A,O,,2001-12-01,5710,IN SMART IDENTITY FRANCE,,,,,,,,,,,26.20Z,NAFRev2,,N,,41,2023,00087,2026-02-05T16:31:46.124,GE,2023,,4,,,RUE,DE LA CROIX DES CERISIERS,35500,VITRE,,35360,,,353600629_C,,,A,,,,,26.20Z,NAFRev2,O,26.20Y
622050318,00048,62205031800048,O,1985-12-30,21,2023,,2025-12-05T21:10:01.786,false,A,O,,1900-01-01,5710,IMPRESSION ENREGISTRE RESULTAT,IER,,,,,,,,,,28.23Z,NAFRev2,,N,,32,2023,00063,2025-12-06T05:26:37.78,GE,2023,,19,,,CHEMIN,DES PLANCHES,25000,BESANCON,,25056,,,250564080_B,929554.6886668749,6689586.835076385,A,,,,,26.20Z,NAFRev2,O,26.40Y
622050318,00063,62205031800063,O,1995-03-10,22,2023,,2025-12-05T22:49:24.214,true,A,O,,1900-01-01,5710,IMPRESSION ENREGISTRE RESULTAT,IER,,,,,,,,,,28.23Z,NAFRev2,,N,,32,2023,00063,2025-12-06T05:26:37.78,GE,2023,,3,,,RUE,SALOMON DE ROTHSCHILD,92150,SURESNES,,92073,,,920738510_B,643696.0540415152,6863960.704233249,A,,,,,26.20Z,NAFRev2,O,26.40Y
