siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
100158625,00010,10015862500010,P,2026-02-01,NN,,,2026-02-03T15:47:46.217,true,A,P,,2026-02-01,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],26.40Z,NAFRev2,,,,NN,,00010,2026-02-03T15:47:46.217,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],SAINT-PIERRE-EYNAC,,43218,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],26.40Z,NAFRev2,N,26.40Y
100198092,00015,10019809200015,O,2026-01-19,NN,,,2026-02-07T07:57:14.302,true,A,O,,2026-01-19,5710,STAGELAN,,,,,,,,,,,26.40Z,NAFRev2,,N,N,NN,,00015,2026-02-07T07:57:14.302,,,,72,,,CHEMIN,DU COMBEAU,38690,LE GRAND-LEMPS,,38182,,,381820130_B,889509.89,6480755.65,A,,,,,26.40Z,NAFRev2,N,26.40Y
100251297,00014,10025129700014,O,2026-01-02,NN,,,2026-01-26T12:00:42.876,true,A,O,,2026-01-02,5499,ARCADEUS,,,,,,,,,,,26.40Z,NAFRev2,,N,N,NN,,00014,2026-01-26T12:00:42.876,,,,701,,,ROUTE,D'ONDES,82170,GRISOLLES,,82075,,,820750205_B,562470.5,6303621.31,A,,,,,26.40Z,NAFRev2,N,71.12Y
100437615,00014,10043761500014,O,2025-11-01,NN,,,2026-01-28T10:30:46.639,true,A,O,,2025-11-01,3220,EDSON ELECTRONICS LTD,,,,,,,,,,,26.40Z,NAFRev2,,N,N,NN,,00014,2026-01-28T10:30:46.639,,,,,,,,"UNIT 2, AMBLE INDUSTRIAL ESTATE",NE65 0PE,,AMBLE,,99132,ROYAUME-UNI,,,,A,,,,,26.40Z,NAFRev2,N,26.40Y
100449214,00012,10044921400012,O,2026-01-14,NN,,,2026-02-12T16:03:02.458,true,A,O,,2026-01-14,1000,,,M,CAGNONCLE,,REMI,GILLES,FABRICE,,REMI,,26.40Z,NAFRev2,,,,NN,,00012,2026-02-12T16:03:02.458,,,,16,,,AVENUE,DES CHATAIGNIERS,94350,VILLIERS-SUR-MARNE,,94079,,,940790195_B,667641.94,6858624.37,A,,,,JAPAN ARCADE,26.40Z,NAFRev2,N,26.40Y
100620749,00018,10062074900018,O,2026-02-02,NN,,,2026-02-17T16:50:40.472,true,A,O,,2026-02-02,5710,SUNSET DIVISION,,,,,,,,,,,26.40Z,NAFRev2,,N,N,NN,,00018,2026-02-17T16:50:40.472,,,,1,,,RUE,MARGUERIN,75014,PARIS,,75114,,,751146057_B,650735.89,6858825.12,A,,,,,26.40Z,NAFRev2,N,26.40Y
100771815,00014,10077181500014,O,2026-02-04,NN,,,2026-02-18T10:50:15.567,true,A,O,,2026-02-04,5710,LUMSHINE,,,,,,,,,,,26.40Z,NAFRev2,,N,N,NN,,00014,2026-02-18T10:50:15.566,,,,154,,,RUE,DU PDT SALVADOR ALLENDE,92700,COLOMBES,,92025,,,920257278_B,644148.72,6869409.34,A,,,,,26.40Z,NAFRev2,N,26.40Y
100999093,00014,10099909300014,O,2026-02-01,NN,,,2026-02-11T15:27:33.579,true,A,O,,2026-02-01,3220,GREENLUX LIGHTING SOLUTIONS OY,,,,,,,,,,,26.40Z,NAFRev2,,N,N,NN,,00014,2026-02-11T15:27:33.579,,,,,,,,MEKAANIKONKATU 1,00880,,HELSINKI,,99105,FINLANDE,,,,A,,,,,26.40Z,NAFRev2,O,26.40Y
101115780,00013,10111578000013,O,2026-02-12,NN,,,2026-02-19T11:01:56.826,true,A,O,,2026-02-12,1000,,,M,VITTORINI,,JULIEN,MICHEL,,,JULIEN,,26.40Z,NAFRev2,,,,NN,,00013,2026-02-19T11:01:56.825,,,,,,,RUE,DES ECOLES,13116,VERNEGUES,,13115,,,131150064_B,877790.23,6290403.63,A,,,,,26.40Z,NAFRev2,N,26.40Y
101257467,00015,10125746700015,P,2026-03-01,NN,,,2026-02-16T13:46:00.554,true,A,P,,2026-03-01,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],26.40Z,NAFRev2,,,,NN,,00015,2026-02-16T13:46:00.554,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],SAINT-EPAIN,,37216,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],26.40Z,NAFRev2,N,26.40Y
304486673,00037,30448667300037,O,1993-01-01,01,2023,,2025-12-05T23:54:02.277,true,A,O,,1975-01-01,5499,KLINGER FAVRE,,,,,,,,,,,26.40Z,NAFRev2,,N,,01,2023,00037,2025-12-06T08:19:43.764,PME,2023,,8,,,RUE,DE RICHARDVILLE,88100,SAINT-DIE-DES-VOSGES,,88413,,,884131110_B,992890.4893373945,6805099.023636169,A,,,,,26.40Z,NAFRev2,O,26.40Y
309445054,00088,30944505400088,O,2002-07-01,12,2023,,2025-12-06T00:08:30.526,true,A,O,,1977-01-01,5599,SOC EXPLOITATION ETS NORMAND,,,,,,,,,,,26.40Z,NAFRev2,,N,,12,2023,00088,2025-12-06T06:46:51.333,PME,2023,ZI DU POMMIER,,,,BOULEVARD,EUGENE THOMAS,62110,HENIN-BEAUMONT,,62427,,,624270281_B,697998.321151106,7032991.217158148,A,,,,,26.40Z,NAFRev2,O,46.64G
309445054,00096,30944505400096,O,2025-01-01,NN,,,2025-10-14T17:56:30.285,false,A,O,,1977-01-01,5599,SOC EXPLOITATION ETS NORMAND,,,,,,,,,,,26.40Z,NAFRev2,,N,,12,2023,00088,2025-12-06T06:46:51.333,PME,2023,,1,,,RUE,DE PERDIGUIER,05160,SAVINES-LE-LAC,,05164,,,051640160_B,970080.62,6386358.86,A,,,,,26.40Z,NAFRev2,N,26.40Y
312816838,00022,31281683800022,O,2012-03-01,NN,,2640ZZ,2025-12-05T19:23:07.262,true,A,O,,1900-01-01,1000,,,M,BERNARD,,PHILIPPE,LEOPOLD,,,PHILIPPE,,26.40Z,NAFRev2,,,,NN,,00022,2025-12-06T09:05:42.856,PME,2023,ZA,10,,,,PRE CHARDON,17120,SEMUSSAC,,17425,,,17425B092_C,,,A,ATELIER DE SYNERGIE ACOUSTIQUE,,,A.S.A,26.40Z,NAFRev2,N,26.40Y
