siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
330596800,00046,33059680000046,O,2002-02-15,31,2023,2640ZZ,2025-12-06T00:47:06.26,true,A,O,,1984-09-01,5710,L-ACOUSTICS,,,,,,,,,,,26.40Z,NAFRev2,,N,,32,2023,00046,2025-12-06T05:14:45.731,ETI,2023,PARC FONTAINE DE JOUVENCE,13,,,RUE,LEVACHER CINTRAT,91460,MARCOUSSIS,,91363,,,913630524_B,641808.7309333138,6840680.526256442,A,,,,,26.40Z,NAFRev2,O,26.40Y
330596800,00079,33059680000079,O,2013-11-14,22,2023,,2025-12-05T18:17:43.897,false,A,O,,1984-09-01,5710,L-ACOUSTICS,,,,,,,,,,,26.40Z,NAFRev2,,N,,32,2023,00046,2025-12-06T05:14:45.731,ETI,2023,,10,,,RUE,ANGIBOUST,91460,MARCOUSSIS,,91363,,,913630025_C,,,A,,,,,26.40Z,NAFRev2,O,26.40Y
330596800,00095,33059680000095,O,2024-01-15,NN,,,2025-12-05T18:50:50.64,false,A,O,,1984-09-01,5710,L-ACOUSTICS,,,,,,,,,,,26.40Z,NAFRev2,,N,,32,2023,00046,2025-12-06T05:14:45.731,ETI,2023,ZAC DE LA NOUE ROUSSEAU-TECHNIPARC,6,,,RUE,DIDEROT,91240,SAINT-MICHEL-SUR-ORGE,,91570,,,915700456_B,650376.7799558206,6835815.533834798,A,L-ACOUSTICS,,,,26.40Z,NAFRev2,O,26.40Y
330596800,00103,33059680000103,O,2025-05-27,NN,,,2025-12-05T17:33:15.88,false,A,O,,1984-09-01,5710,L-ACOUSTICS,,,,,,,,,,,26.40Z,NAFRev2,,N,,32,2023,00046,2025-12-06T05:14:45.731,ETI,2023,BATIMENT HELIOS,2,,,RUE,CHRISTOPHE COLOMB,91300,MASSY,,91377,,,913771015_B,645850.57,6847680.33,A,L-ACOUSTICS,,,L-ACOUSTICS,26.40Z,NAFRev2,O,26.40Y
335173241,00068,33517324100068,O,2024-09-30,NN,,,2025-12-05T18:23:23.924,false,A,O,,1986-05-01,5710,NGV ELECTRONIQUE,,,,,,,,,,,26.12Z,NAFRev2,,N,,11,2023,00050,2025-12-06T09:31:44.318,ETI,2023,,40,,,RUE,LA TOUR D'AUVERGNE,44200,NANTES,,44109,,,441094812_B,354992.51,6688380.6,A,,,,WIRESTONE,26.40Z,NAFRev2,N,26.40Y
344394309,00035,34439430900035,O,2002-04-12,32,2023,,2025-12-05T16:30:29.456,true,A,O,,1988-02-29,5710,FOCAL JMLAB,,,,,,,,,,,26.40Z,NAFRev2,,N,,32,2023,00035,2025-12-06T05:43:44.249,ETI,2023,ZI MOLINA LA CHAZOTTE,108,,,RUE,DE L’AVENIR,42350,LA TALAUDIERE,,42305,,,423050012_B,811289.9052932996,6485537.214252784,A,,,,FOCAL POWERED BY NAIM,26.40Z,NAFRev2,O,26.40Y
344394309,00043,34439430900043,O,2021-04-26,NN,,,2025-12-05T16:49:40.993,false,A,O,,1988-02-29,5710,FOCAL JMLAB,,,,,,,,,,,26.40Z,NAFRev2,,N,,32,2023,00035,2025-12-06T05:43:44.249,ETI,2023,ET ANGLE RUE CONSTANTINE / LOT 8,2,,,RUE,DE BONE,06400,CANNES,,06029,,,060290440_B,1025467.8973871272,6280886.353029421,A,,,,,26.40Z,NAFRev2,O,26.40Y
351305180,00058,35130518000058,O,2020-12-31,NN,,,2025-12-05T18:11:18.526,false,A,O,,1989-07-01,5599,F.D.I MATELEC,,,,,,,,,,,26.30Z,NAFRev2,,N,,22,2023,00066,2025-12-06T11:09:25.863,ETI,2023,ZI DU CORMIER,,,,RUE,CHARLES MESSIER,49300,CHOLET,,49099,,,490992981_B,403081.58885158104,6667172.092317601,A,,,,,26.40Z,NAFRev2,N,26.40Y
402272009,00075,40227200900075,O,2024-09-01,NN,,,2025-12-06T04:29:25.701,false,A,O,,1995-09-01,5710,ADETEC,,,,,,,,,,,26.12Z,NAFRev2,,N,,02,2023,00067,2025-12-06T05:20:18.957,ETI,2023,LE GRAND ANGLE,,,,AVENUE,PERIER,33520,BRUGES,,33075,,,330750295_B,416708.66,6426072.0,A,,,,,26.40Z,NAFRev2,O,26.40Y
402293450,00100,40229345000100,O,2024-11-13,NN,,,2025-12-06T05:03:48.652,true,A,O,,1995-09-21,5699,SBE FRANCE,ACEAN,,,,,,,,,,95.12Z,NAFRev2,,N,,32,2023,00100,2025-12-30T10:02:18.417,ETI,2023,ZONE INDUSTRIELLE,10,,,RUE,DE LA CAPELLE,62280,SAINT-MARTIN-BOULOGNE,,62758,,,627580404_B,606410.0,7071044.17,A,SACEL,,,,26.40Z,NAFRev2,O,26.40Y
