siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
302456199,00223,30245619900223,O,2015-07-30,12,2023,,2025-12-06T04:08:31.874,false,A,O,,1985-04-01,5710,INTEL CORPORATION SAS,,,,,,,,,,,62.02A,NAFRev2,,N,N,22,2023,00264,2025-12-06T05:15:21.169,ETI,2023,,166,,,RUE,DU ROCHER DE LORZIER,38430,MOIRANS,,38239,,,382390333_B,902997.1157668476,6472426.402064364,A,,,,,62.01Z,NAFRev2,O,62.10Y
302456199,00256,30245619900256,O,2018-09-01,11,2023,,2025-12-06T04:39:58.863,false,A,O,,1985-04-01,5710,INTEL CORPORATION SAS,,,,,,,,,,,62.02A,NAFRev2,,N,N,22,2023,00264,2025-12-06T05:15:21.169,ETI,2023,LE CARGO B6,425,,,RTE,DE GOA,06160,ANTIBES,,06004,,,060041409_C,,,A,,,,,62.01Z,NAFRev2,N,62.10Y
305489932,00064,30548993200064,O,1995-01-23,22,2023,,2025-12-06T03:33:09.937,true,A,O,,1981-12-01,5710,SYMPHONYEYC FRANCE,,,,,,,,,,,58.29C,NAFRev2,,N,,22,2023,00064,2025-12-06T05:25:38.134,ETI,2023,,37,,,RUE,DU COLONEL PIERRE AVIA,75015,PARIS,,75115,,,751152214_B,646828.1527472218,6859128.631272851,A,,,,,62.01Z,NAFRev2,O,62.10Y
309214864,00089,30921486400089,O,2023-03-01,NN,,,2025-12-06T03:26:46.655,false,A,O,,1977-01-01,5710,SEPTEO SOLUTIONS CDJ,,,,,,,,,,,58.29C,NAFRev2,,N,,21,2023,00055,2025-12-06T05:43:36.151,ETI,2023,FONT DE LA BANQUIERE,194,,,AVENUE,DE LA GARE SUD DE FRANCE,34970,LATTES,,34129,,,341290466_B,775328.54,6277383.92,A,,,,,62.01Z,NAFRev2,O,62.10Y
310551031,00118,31055103100118,O,2024-12-12,NN,,,2025-12-05T18:30:32.88,true,A,O,,1977-10-25,5710,SINARI TMS PRO,,,,,,,,,,,58.29C,NAFRev2,,N,,12,2023,00118,2025-12-06T10:51:58.589,ETI,2023,TECHNOPARC BAT A,4,,,AVENUE,DES PEUPLIERS,35510,CESSON-SEVIGNE,,35051,,,350510511_B,357498.56,6789192.53,A,,,,,62.01Z,NAFRev2,O,62.10Y
310551031,00175,31055103100175,O,2025-01-01,NN,,,2025-12-05T17:58:18.291,false,A,O,,1977-10-25,5710,SINARI TMS PRO,,,,,,,,,,,58.29C,NAFRev2,,N,,12,2023,00118,2025-12-06T10:51:58.589,ETI,2023,PORTE A1,48,,,AVENUE,MARCEL LEMOINE,36000,CHATEAUROUX,,36044,,,360441872_B,600660.78,6635993.94,A,,,,,62.01Z,NAFRev2,O,62.10Y
313966129,00873,31396612900873,O,2024-05-01,NN,,,2025-12-06T00:05:55.044,false,A,O,,1978-01-01,5710,SAGE,SAGE,,,,,,,,,,58.29C,NAFRev2,,N,N,42,2023,00857,2025-12-31T15:01:05.152,ETI,2023,IMMEUBLE ATRIA,8,,,ESPLANADE,COMPANS CAFFARELLI,31000,TOULOUSE,,31555,,,315552251_B,573615.63,6280315.16,A,,,,,62.01Z,NAFRev2,O,62.10Y
320508229,00178,32050822900178,O,2024-04-26,NN,,,2025-12-06T01:23:11.811,true,A,O,,1980-12-01,5710,IFS FRANCE,,,,,,,,,,,58.29C,NAFRev2,,N,,22,2023,00178,2025-12-06T09:42:24.225,ETI,2023,,9,,,PLACE,MARIE - JEANNE BASSOT,92300,LEVALLOIS-PERRET,,92044,,,920446136_B,647423.39,6866613.65,A,,,,,62.01Z,NAFRev2,N,62.10Y
322548363,00249,32254836300249,O,2023-09-25,22,2023,,2025-12-05T20:45:27.449,false,A,O,,1981-08-25,5710,SD WORX,,,,,,,,,,,70.22Z,NAFRev2,,O,,31,2023,00231,2025-12-29T19:01:12.945,ETI,2023,,52,,,AVENUE,DU 8 MAI 1945,64100,BAYONNE,,64102,,,641021161_B,336694.6220712343,6273652.8840541,A,,,,,62.01Z,NAFRev2,N,62.10Y
324284611,00062,32428461100062,O,2018-08-01,03,2023,,2025-12-06T04:53:39.993,false,A,O,,1982-02-16,5710,VIDEOR,,,,,,,,,,,62.01Z,NAFRev2,,N,,12,2023,00070,2025-12-06T05:22:12.824,ETI,2023,,3,,,ALLEE,DU CLOS TONNERRE,91120,PALAISEAU,,91477,,,914771136_B,645544.1810696891,6846116.687478344,A,,,,,62.01Z,NAFRev2,N,62.10Y
