siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
313167116,00018,31316711600018,O,1978-01-01,NN,,,2025-12-05T17:01:17.935,true,A,O,,1978-01-01,5532,SERVICES ET MAINTENANCE INFORMATIQUE,,,,,,,,,,,62.01Z,NAFRev2,,O,,NN,,00018,2025-12-06T06:04:29.351,GE,2023,,,,,,Z I DE LANRINOU,29800,LANDERNEAU,,29103,,,29103B104_C,,,A,,,,,62.01Z,NAFRev2,O,62.10Y
313609133,00159,31360913300159,O,2017-01-01,22,2023,,2025-12-05T23:31:07.643,false,A,O,,1978-01-01,5710,STEF INFORMATION ET TECHNOLOGIES,,,,,,,,,,,62.02A,NAFRev2,,N,,32,2023,00050,2025-12-06T05:39:10.904,GE,2023,CS 30211,67,,,AVENUE,TONY GARNIER,69007,LYON,,69387,,,693877035_B,842686.4514322684,6515764.068679433,A,,,,,62.01Z,NAFRev2,O,62.10Y
317288389,00065,31728838900065,O,1987-11-30,12,2023,,2025-12-05T16:15:35.022,false,A,O,,1979-01-01,5710,FIDUCIAL INFORMATIQUE,,,,,,,,,,,62.02A,NAFRev2,,N,,41,2023,00529,2025-12-06T07:18:41.023,GE,2023,,31,,,RUE,D'ORGEMONT,49000,ANGERS,,49007,,,490075830_B,432903.5599078734,6711963.897097877,A,,,,,62.01Z,NAFRev2,O,62.10Y
317288389,00099,31728838900099,O,1999-01-01,11,2023,,2025-12-05T23:25:23.179,false,A,O,,1979-01-01,5710,FIDUCIAL INFORMATIQUE,,,,,,,,,,,62.02A,NAFRev2,,N,,41,2023,00529,2025-12-06T07:18:41.023,GE,2023,PARC DE LA PLAINE,2,,,IMPASSE,RENE COUZINET,31500,TOULOUSE,,31555,,,315557406_B,578161.4562246022,6277228.214821844,A,,,,,62.01Z,NAFRev2,O,62.10Y
317288389,00107,31728838900107,O,1999-10-01,02,2023,,2025-12-06T03:17:07.089,false,A,O,,1979-01-01,5710,FIDUCIAL INFORMATIQUE,,,,,,,,,,,62.02A,NAFRev2,,N,,41,2023,00529,2025-12-06T07:18:41.023,GE,2023,,6,,,RUE,LOUIS DE BROGLIE,21000,DIJON,,21231,,,212315334_B,854053.0211694902,6697094.714643095,A,,,,,62.01Z,NAFRev2,O,62.10Y
317288389,00123,31728838900123,O,2000-01-01,02,2023,,2025-12-05T22:48:53.555,false,A,O,,1979-01-01,5710,FIDUCIAL INFORMATIQUE,,,,,,,,,,,62.02A,NAFRev2,,N,,41,2023,00529,2025-12-06T07:18:41.023,GE,2023,,50,,,ALLEE,NIELS BOHR,34000,MONTPELLIER,,34172,,,341723953_B,773801.8210974643,6279667.495951753,A,SATELIT  ORGASOFT INFORMATIQUE,,,,62.01Z,NAFRev2,O,62.10Y
317288389,00131,31728838900131,O,1999-10-01,03,2023,,2025-12-05T18:34:35.218,false,A,O,,1979-01-01,5710,FIDUCIAL INFORMATIQUE,,,,,,,,,,,62.02A,NAFRev2,,N,,41,2023,00529,2025-12-06T07:18:41.023,GE,2023,,180,,,BOULEVARD,DE MONS,59650,VILLENEUVE-D'ASCQ,,59009,,,590095680_B,709424.0623077533,7060988.227982779,A,,,,,62.01Z,NAFRev2,O,62.10Y
317288389,00164,31728838900164,O,2000-09-01,NN,,,2025-12-06T03:17:46.308,false,A,O,,1979-01-01,5710,FIDUCIAL INFORMATIQUE,,,,,,,,,,,62.02A,NAFRev2,,N,,41,2023,00529,2025-12-06T07:18:41.023,GE,2023,PARC D ESTER,9,,,ALL,LOEWY,87000,LIMOGES,,87085,,,870853116_C,,,A,SATELIT ORGASOFT INFORMATIQUE,,,,62.01Z,NAFRev2,O,62.10Y
317288389,00172,31728838900172,O,2000-12-29,01,2023,,2025-12-05T18:28:17.409,false,A,O,,1979-01-01,5710,FIDUCIAL INFORMATIQUE,,,,,,,,,,,62.02A,NAFRev2,,N,,41,2023,00529,2025-12-06T07:18:41.023,GE,2023,,23,,,RUE,CLAUDE CHAPPE,14000,CAEN,,14118,,,141181776_B,452506.17240005394,6903372.281417406,A,SATELIT ORGASOFT INFORMATIQUE,,,,62.01Z,NAFRev2,O,62.10Y
317288389,00206,31728838900206,O,2000-12-29,NN,,,2025-12-05T16:57:59.648,false,A,O,,1979-01-01,5710,FIDUCIAL INFORMATIQUE,,,,,,,,,,,62.02A,NAFRev2,,N,,41,2023,00529,2025-12-06T07:18:41.023,GE,2023,ZAC LA VALLEE DES VIGNES,23,,,AVENUE,D'ITALIE,80090,AMIENS,,80021,,,800214355_B,648428.8752816261,6974922.859345371,A,,,,,62.01Z,NAFRev2,O,62.10Y
