siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
100064823,00014,10006482300014,O,2025-11-25,NN,,,2026-01-22T06:40:34.193,true,A,O,,2025-11-25,5499,HORIZON FIBRE MAYOTTE,,,,,,,,,,,61.10Z,NAFRev2,,N,N,NN,,00014,2026-01-22T06:40:34.192,,,LOT N6 RESIDENCE LE TERRE PLEIN,,,,,MTSAPERE,97600,MAMOUDZOU,,97611,,,97611148ip2_B,524052.35,8586350.38,A,,,,,61.10Z,NAFRev2,N,61.10Y
100131721,00019,10013172100019,O,2025-12-16,NN,,,2026-01-23T18:33:09.957,true,A,O,,2025-12-16,5710,ACSES SERVICES,,,,,,,,,,,61.10Z,NAFRev2,,N,N,NN,,00019,2026-01-23T18:33:09.957,,,,7,,,RUE,DE NANTES,75019,PARIS,,75119,,,751196671_B,654743.4,6865886.26,A,,,,,61.10Z,NAFRev2,N,61.10Y
100276971,00015,10027697100015,O,2025-12-22,NN,,,2026-01-26T11:32:07.656,true,A,O,,2025-12-22,5710,LUMINAFIBRE,,,,,,,,,,,61.10Z,NAFRev2,,N,N,NN,,00015,2026-01-26T11:32:07.656,,,,26,,,RUE,DES FRENES,77181,COURTRY,,77139,,,771390420_B,670233.14,6867810.31,A,,,,LUMINAFIBRE,61.10Z,NAFRev2,N,61.10Y
100335066,00013,10033506600013,O,2026-01-02,NN,,,2026-01-29T16:33:20.953,true,A,O,,2026-01-02,5710,FIBRATIS,FIBRATIS,,,,,,,,,,61.10Z,NAFRev2,,N,N,NN,,00013,2026-01-29T16:33:20.952,,,BAT A APPART 12,3,,,RUE,AGRICOL PERDIGUIER,31830,PLAISANCE-DU-TOUCH,,31424,,,314240472_B,561544.9,6277547.6,A,FIBRATIS,,,FIBRATIS,61.10Z,NAFRev2,O,61.10Y
100432129,00011,10043212900011,O,2026-01-26,NN,,,2026-02-10T13:17:10.205,true,A,O,,2026-01-26,5710,AMVAR TELECOM,,,,,,,,,,,61.10Z,NAFRev2,,N,N,NN,,00011,2026-02-10T13:17:10.202,,,CS20008 CEDEX,145,,,RUE,DE NOISY-LE-SEC,93260,LES LILAS,,93045,,,930456650_B,657301.69,6864184.25,A,,,,,61.10Z,NAFRev2,O,61.10Y
100811850,00013,10081185000013,O,2026-01-30,NN,,,2026-02-06T13:03:03.518,true,A,O,,2026-01-30,5499,NEXIO,,,,,,,,,,,61.10Z,NAFRev2,,N,N,NN,,00013,2026-02-06T13:03:03.518,,,,7,,,RUE,DU PROGRES,93100,MONTREUIL,,93048,,,930487291_B,657664.62,6861475.0,A,,,,NEXIO,61.10Z,NAFRev2,N,61.10Y
100940626,00011,10094062600011,P,2026-02-09,NN,,,2026-02-09T09:07:27.822,true,A,P,,2026-02-09,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],61.10Z,NAFRev2,,,,NN,,00011,2026-02-09T09:07:27.821,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],PLAISIR,,78490,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],61.10Z,NAFRev2,N,61.10Y
100973411,00018,10097341100018,O,2026-02-09,NN,,,2026-02-11T17:37:49.248,true,A,O,,2026-02-09,5710,NEOTECH,,,,,,,,,,,61.10Z,NAFRev2,,N,N,NN,,00018,2026-02-11T17:37:49.247,,,,60,,,RUE,FRANCOIS IER,75008,PARIS,,75108,,,75108jjat_B,648794.46,6863544.75,A,,,,,61.10Z,NAFRev2,N,61.10Y
101147874,00016,10114787400016,O,2026-02-10,NN,,,2026-02-19T11:36:27.823,true,A,O,,2026-02-10,5710,VENN TELECOM FRANCE,,,,,,,,,,,61.10Z,NAFRev2,,N,N,NN,,00016,2026-02-19T11:36:27.823,,,SOFRADOM,38,,,RUE,DES MATHURINS,75008,PARIS,,75108,,,751086176_B,650522.93,6863907.15,A,,,,,61.10Z,NAFRev2,N,61.10Y
101194660,00011,10119466000011,O,2026-02-13,NN,,,2026-02-17T12:36:39.331,true,A,O,,2026-02-13,5710,GO TEL PRO,,,,,,,,,,,61.10Z,NAFRev2,,N,N,NN,,00011,2026-02-17T12:36:39.331,,,,60,,,RUE,FRANCOIS IER,75008,PARIS,,75108,,,75108jjat_B,648794.46,6863544.75,A,,,,,61.10Z,NAFRev2,N,61.10Y
