siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
200000172,00128,20000017200128,O,2020-12-17,NN,,,2025-12-05T20:29:36.251,false,A,O,,2006-01-01,7346,COMMUNAUTE DE COMMUNES FAUCIGNY GLIERES,,,,,,,,,,,84.11Z,NAFRev2,,N,,32,2023,00011,2025-12-06T10:50:54.764,ETI,2023,,6,,,PLACE,DE L'HOTEL DE VILLE,74130,BONNEVILLE,,74042,,,740420820_B,963335.9815248954,6558761.641589212,A,ETABLISSEMENT ET EXPLOITATION D'INFRASTRUCTURES,DE RESEAUX DE COMMUNICATION ELECTRONIQUES,,,61.10Z,NAFRev2,O,61.10Y
200055507,00087,20005550700087,O,2020-02-04,NN,,,2025-12-05T16:33:02.346,false,A,O,,2016-01-01,7229,COLLECTIVITE TERRITORIALE DE MARTINIQUE,,,,,,,,,,,84.11Z,NAFRev2,,N,,51,2023,00012,2026-01-05T16:11:23.706,ETI,2023,,,,,RUE,GASTON DEFFERRE,97200,FORT-DE-FRANCE,,97209,,,972090553_B,706866.3868673188,1616935.30896561,A,TRES HAUT DEBIT,,,,61.10Z,NAFRev2,N,61.10Y
200066918,00208,20006691800208,O,2017-01-01,NN,,,2025-12-06T03:34:27.739,false,A,O,,2017-01-01,7348,CA ALES AGGLOMERATION,,,,,,,,,,,84.11Z,NAFRev2,,N,,42,2023,00018,2025-12-06T07:39:31.221,ETI,2023,BATIMENT ATOME,2,,,RUE,MICHELET,30100,ALES,,30007,,,300071760_B,786527.5074105675,6336766.98207447,A,TRES HAUT DEBIT,,,,61.10Z,NAFRev2,N,61.10Y
200067213,00120,20006721300120,O,2017-01-01,NN,,,2025-12-06T04:06:49.084,false,A,O,,2017-01-01,7343,COMMUNAUTE URBAINE DU GRAND REIMS,,,,,,,,,,,84.11Z,NAFRev2,,N,,42,2023,00013,2025-12-06T10:04:03.805,ETI,2023,,3,,,RUE,EUGENE DESTEUQUE,51100,REIMS,,51454,,,514543430_B,775422.5899550142,6906655.220954285,A,BOUCLE LOCALE DE TELECOMMUNICATIONS - GRAND REIMS,,,,61.10Z,NAFRev2,N,61.10Y
200067932,00059,20006793200059,O,2017-01-01,NN,,,2025-12-05T16:01:30.15,false,A,O,,2017-01-01,7348,CA GOLFE DU MORBIHAN - VANNES AGGLOMERATION,,,,,,,,,,,84.11Z,NAFRev2,,,,41,2023,00018,2025-12-06T11:13:57.789,ETI,2023,,30,,,RUE,ALFRED KASTLER,56000,VANNES,,56260,,,562600099_B,268622.84382437385,6742604.304478273,A,TRES HAUT DEBIT,,,,61.10Z,NAFRev2,N,61.10Y
200068757,00042,20006875700042,O,2017-01-01,NN,,,2025-12-06T03:24:10.645,false,A,O,,2017-01-01,7348,CA D'EPINAL,,,,,,,,,,,84.11Z,NAFRev2,,N,,41,2023,00158,2025-12-06T06:01:11.209,ETI,2023,,1,,,AVENUE,DUTAC,88000,EPINAL,,88160,,,881600810_B,955691.8601748225,6792267.272835999,A,NTIC,,,,61.10Z,NAFRev2,N,61.10Y
220800049,00326,22080004900326,O,2010-03-31,NN,,,2025-12-05T16:13:42.321,false,A,O,,1978-01-01,7220,DEPARTEMENT DES ARDENNES,,,,,,,,,,,84.11Z,NAFRev2,,,,42,2023,00011,2025-12-06T05:40:32.562,ETI,2023,,2,,,RUE,LUCIEN HUBERT,08000,CHARLEVILLE-MEZIERES,,08105,,,081052320_B,823961.0102083693,6963808.676344126,A,AMENAGEMENT NUMERIQUE DU TERRITOIRE,,,,61.10Z,NAFRev2,N,61.10Y
224500017,01185,22450001701185,O,2025-01-01,NN,,,2025-12-05T18:10:47.507,false,A,O,,1978-01-01,7220,DEPARTEMENT DU LOIRET,,,,,,,,,,,84.11Z,NAFRev2,,N,,51,2023,00013,2025-12-06T05:41:01.895,ETI,2023,,15,,,RUE,EUGENE VIGNAT,45000,ORLEANS,,45234,,,452342720_B,618603.56,6756962.43,A,RESEAU THD MEDIALYS,,,,61.10Z,NAFRev2,N,61.10Y
225400019,01551,22540001901551,O,2008-05-01,NN,,,2025-12-05T19:06:37.178,false,A,O,,1980-01-01,7220,DEPARTEMENT DE MEURTHE ET MOSELLE,,,,,,,,,,,84.11Z,NAFRev2,,N,,51,2023,00785,2025-12-06T08:03:40.479,ETI,2023,CTRE ADM DEP DIR LOGISTIQUE,48,,,,ESP JACQUES BAUDOT,54000,NANCY,,54395,,,,,,A,RESEAU DEP HAUT DEBIT,,,,61.10Z,NAFRev2,N,61.10Y
226600013,00453,22660001300453,O,2016-10-10,NN,,,2025-12-06T04:20:58.291,false,A,O,,1982-01-01,7220,DEPARTEMENT DES PYRENEES-ORIENTALES,,,,,,,,,,,84.11Z,NAFRev2,,N,,51,2023,00016,2025-12-06T05:41:16.257,ETI,2023,,24,,,QUAI,SADI CARNOT,66000,PERPIGNAN,,66136,,,661364560_B,691261.5761301767,6177827.883299168,A,TRES HAUT DEBIT,,,,61.10Z,NAFRev2,N,61.10Y
