siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
306769688,00111,30676968800111,O,2021-05-26,NN,,,2025-12-06T03:07:39.743,true,A,O,,1974-01-01,5599,ORANGE DIGITAL INVESTMENT,OC,,,,,,,,,,61.10Z,NAFRev2,,N,,NN,,00111,2025-12-06T08:48:33.175,GE,2023,,111,,,QUAI,DU PRESIDENT ROOSEVELT,92130,ISSY-LES-MOULINEAUX,,92040,,,920407180_B,645793.6904198219,6859146.441431535,A,,,,,61.10Z,NAFRev2,N,64.21Y
343059564,01049,34305956401049,O,2019-03-01,11,2023,,2025-12-05T17:32:47.84,false,A,O,,1987-07-31,5599,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,,,,,,,,,,,61.20Z,NAFRev2,,N,N,52,2023,00959,2026-02-04T16:33:27.136,GE,2023,,230,,,AVENUE,DE COLMAR,67100,STRASBOURG,,67482,,,674821430_B,1050015.6714940174,6838903.183360937,A,,,,,61.10Z,NAFRev2,O,61.10Y
343059564,01239,34305956401239,O,2023-01-01,NN,,,2025-12-05T19:52:31.888,false,A,O,,1987-07-31,5599,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,,,,,,,,,,,61.20Z,NAFRev2,,N,N,52,2023,00959,2026-02-04T16:33:27.136,GE,2023,127- 129,127,,,AVENUE,DE PARIS,91300,MASSY,,91377,,,913773690_B,645718.1893777628,6847170.995232261,A,,,,,61.10Z,NAFRev2,N,61.10Y
343059564,01643,34305956401643,O,2010-05-01,NN,,,2025-12-05T16:56:10.883,false,A,O,,1987-07-31,5599,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,,,,,,,,,,,61.20Z,NAFRev2,,N,N,52,2023,00959,2026-02-04T16:33:27.136,GE,2023,,29,,,RUE,DE CONSTANTINOPLE,75008,PARIS,,75108,,,751082289_B,650039.38,6864705.16,A,,,,,61.10Z,NAFRev2,N,61.10Y
343059564,01890,34305956401890,O,2007-10-01,NN,,,2025-10-10T17:34:11.845,false,A,O,,1987-07-31,5599,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,,,,,,,,,,,61.20Z,NAFRev2,,N,N,52,2023,00959,2026-02-04T16:33:27.136,GE,2023,,90,,,AVENUE,DES CHAMPS ELYSEES,75008,PARIS,,75108,,,751081733_B,648908.37,6863717.89,A,,,,,61.10Z,NAFRev2,N,42.22Y
351555792,00107,35155579200107,O,2005-03-01,11,2023,,2025-12-05T17:35:41.749,false,A,O,,1989-06-07,5710,CANAL + TELECOM,,,,,,,,,,,61.10Z,NAFRev2,,N,,22,2023,00214,2026-02-05T09:00:43.955,GE,2023,IMM TEXACO 17 ZI LES MANGLES,,,,,ACAJOU,97232,LE LAMENTIN,,97213,,,972134prwqp_B,713873.0305243166,1617460.5223608734,A,,,,,61.10Z,NAFRev2,O,61.10Y
351555792,00123,35155579200123,O,2009-12-17,NN,,,2025-12-05T18:24:21.041,false,A,O,,1989-06-07,5710,CANAL + TELECOM,,,,,,,,,,,61.10Z,NAFRev2,,N,,22,2023,00214,2026-02-05T09:00:43.955,GE,2023,,43,,,RUE,DOCTEUR PITAT,97100,BASSE-TERRE,,97105,,,,,,A,MEDIASERV,,,,61.10Z,NAFRev2,N,61.10Y
351555792,00172,35155579200172,O,2010-03-15,01,2023,,2025-12-05T20:14:43.977,false,A,O,,1989-06-07,5710,CANAL + TELECOM,,,,,,,,,,,61.10Z,NAFRev2,,N,,22,2023,00214,2026-02-05T09:00:43.955,GE,2023,MARENGO,12,,,LOTISSEMENT,ZI COLLERY I,97300,CAYENNE,,97302,,,97302a141_B,353128.0457425221,542131.8734400407,A,,,,,61.10Z,NAFRev2,O,61.10Y
351555792,00180,35155579200180,O,2011-06-01,NN,,,2025-12-05T16:33:02.936,false,A,O,,1989-06-07,5710,CANAL + TELECOM,,,,,,,,,,,61.10Z,NAFRev2,,N,,22,2023,00214,2026-02-05T09:00:43.955,GE,2023,CENTRE COMMERCIAL GALLERIA,,,,,ACAJOU,97232,LE LAMENTIN,,97213,,,972134prwqp_B,713873.0305243166,1617460.5223608734,A,MEDIASERV,,,,61.10Z,NAFRev2,O,61.10Y
351555792,00206,35155579200206,O,2018-01-01,12,2023,,2025-12-05T15:52:52.359,false,A,O,,1989-06-07,5710,CANAL + TELECOM,,,,,,,,,,,61.10Z,NAFRev2,,N,,22,2023,00214,2026-02-05T09:00:43.955,GE,2023,,6,,,RUE,RENE DEMARNE,97490,SAINT-DENIS,,97411,,,974111204_B,344042.6081299803,7687861.8467619615,A,,,,,61.10Z,NAFRev2,O,61.10Y
