siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
200019313,00010,20001931300010,O,2009-02-20,01,2023,,2025-12-05T17:53:45.964,true,A,O,,2009-02-20,7355,SYNDICAT MIXTE NUMERIQUE POUR LA COMMUNICATION AUDIOVISUELLE,SMNCA,,,,,,,,,,61.10Z,NAFRev2,,,,01,2023,00010,2025-12-06T08:38:47.14,PME,2023,HOTEL DU DEPARTEMENT,1,,,RUE,DU PONT MOREAU,57000,METZ,,57463,,,574635320_B,931749.8456437394,6896100.941272779,A,,,,,61.10Z,NAFRev2,N,61.10Y
200025997,00012,20002599700012,O,2010-09-09,02,2023,,2025-12-06T00:00:54.373,true,A,O,,2010-09-09,7353,SYND INTERCOMMUNAL GESTION RESEAUX TELECOMMUNICATIONS COMMUNES DE CLOUANGE GANDRANGE VITRY ROSSELANGE,SITEVO,,,,,,,,,,61.10Z,NAFRev2,,,,02,2023,00012,2025-12-06T05:59:21.543,PME,2023,,93,,,RUE,MARECHAL JOFFRE,57185,CLOUANGE,,57143,,,571430320_B,924572.3756872625,6911017.269817136,A,,,,,61.10Z,NAFRev2,O,61.10Y
200026789,00038,20002678900038,O,2015-02-13,NN,,,2025-12-06T03:21:37.774,false,A,O,,2010-12-01,7355,SYNDICAT AUDOIS D'ENERGIES ET DU NUMERIQUE SYADEN,SYADEN,,,,,,,,,,84.13Z,NAFRev2,,N,,21,2023,00053,2025-12-06T05:56:27.282,PME,2023,,15,,,RUE,BARBES,11000,CARCASSONNE,,11069,,,110690490_B,647448.9772526207,6235123.004632048,A,COMMUNICATIONS  ELECTRONIQUES,,,,61.10Z,NAFRev2,N,61.10Y
200037729,00023,20003772900023,O,2016-12-09,03,2023,,2025-12-05T16:09:49.454,true,A,O,,2013-02-27,7355,"SM ""DOUBS TRES HAUT DEBIT""",SMIX DOUBS THD,,,,,,,,,,61.10Z,NAFRev2,,,,03,2023,00023,2025-12-06T10:26:29.298,PME,2023,,6,,,RUE,DU COLLEGE,25800,VALDAHON,,25578,,,255780060_B,953279.57,6677639.7,A,,,,,61.10Z,NAFRev2,O,61.10Y
200039386,00046,20003938600046,O,2016-01-01,NN,,,2025-12-05T22:16:33.214,false,A,O,,2013-07-04,7355,NORD-PAS-DE-CALAIS NUMERIQUE,,,,,,,,,,,61.90Z,NAFRev2,,N,,03,2023,00038,2025-12-06T05:12:03.393,PME,2023,LA CITADELLE - QUAR DES 3 PARALLELLES,335,,,ALLEE,DU GENERAL GIRARD,62000,ARRAS,,62041,,,620411816_B,682777.5232587309,7020579.172988641,A,SM N-PDC NUMERIQUE RESEAUX,,,,61.10Z,NAFRev2,N,61.10Y
200044527,00014,20004452700014,O,2014-01-01,03,2023,,2025-12-05T19:58:43.99,true,A,O,,2014-01-01,7355,SM HAUTE SAONE NUMERIQUE,,,,,,,,,,,61.10Z,NAFRev2,,N,,03,2023,00014,2025-12-06T10:07:19.174,PME,2023,HOTEL DU DEPARTEMENT,23,,,RUE,DE LA PREFECTURE,70000,VESOUL,,70550,,,705501010_B,936656.8865305479,6729419.998005533,A,,,,,61.10Z,NAFRev2,O,61.10Y
200045979,00024,20004597900024,O,2014-03-11,03,2023,,2025-12-06T04:39:28.403,false,A,O,,2014-03-11,7355,UNION DES SECTEURS D'ENERGIE DU DEPARTEMENT DE L'AISNE,USEDA,,,,,,,,,,84.13Z,NAFRev2,,,,12,2023,00016,2025-12-06T05:38:20.62,PME,2023,ZAC CHAMP DU ROY,,,,RUE,TURGOT,02000,LAON,,02408,,,024082749_B,747541.1815675014,6942479.413774971,A,COMMUNICATIONS ELECTRONIQUES,,,,61.10Z,NAFRev2,N,61.10Y
200046050,00023,20004605000023,O,2016-01-29,NN,,,2025-12-05T17:19:15.567,false,A,O,,2014-07-11,7355,"SYNDICAT MIXTE OUVERT ""VAL DE LOIRE NUMERIQUE""",,,,,,,,,,,84.11Z,NAFRev2,,N,,11,2023,00015,2025-12-06T05:39:56.333,PME,2023,HOTEL DU DEPARTEMENT,,,,PLACE,DE LA REPUBLIQUE,41000,BLOIS,,41018,,,410183340_B,574786.4921644955,6722406.0940036345,A,TRES HAUT DEBIT,,,,61.10Z,NAFRev2,N,61.10Y
200052090,00061,20005209000061,O,2015-06-01,NN,,,2025-12-06T03:22:23.499,false,A,O,,2015-06-01,7355,SYNDICAT INTERCOMMUNALD'ENERGIES DU DEPARTEMENT DE L'AVEYRON,SIEDA,,,,,,,,,,84.13Z,NAFRev2,,,,12,2023,00012,2025-12-06T06:08:18.43,PME,2023,ZAC DE BOURRAN,12,,,RUE,DE BRUXELLES,12000,RODEZ,,12202,,,122020296_B,664848.7390905682,6362273.5373173375,A,TRES HAUT DEBIT,,,,61.10Z,NAFRev2,N,61.10Y
200061778,00011,20006177800011,O,2016-03-09,02,2023,,2025-12-05T20:54:29.553,true,A,O,,2016-03-09,7355,MAYENNE TRES HAUT DEBIT,,,,,,,,,,,61.10Z,NAFRev2,,,,02,2023,00011,2025-12-06T08:25:09.5,PME,2023,,39,,,RUE,MAZAGRAN,53000,LAVAL,,53130,,,531303600_B,419517.60461655253,6781060.347412763,A,,,,,61.10Z,NAFRev2,O,61.10Y
