siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
220900013,00768,22090001300768,O,2015-01-13,NN,,,2025-12-06T03:43:44.175,false,A,O,,1983-03-01,7220,DEPARTEMENT DE L ARIEGE,,,,,,,,,,,84.11Z,NAFRev2,,N,,42,2023,00016,2025-12-06T11:32:16.361,ETI,2023,,5,,,RUE,DU CAP DE LA VILLE,09000,FOIX,,09122,,,091220241_B,585714.0896894496,6208057.546643131,A,RESEAU DEPARTEMENTAL HAUT DEBIT,,,,61.30Z,NAFRev2,N,61.10Y
332787498,00069,33278749800069,O,2021-05-01,02,2023,,2025-12-05T20:17:12.988,true,A,O,,1985-05-22,5499,CONSORTIUM DE L'AUDIOVISUEL,CAV,,,,,,,,,,61.30Z,NAFRev2,,N,,02,2023,00069,2025-12-06T06:53:12.529,PME,2023,,8,,,RUE,GERARD DE NERVAL,97430,LE TAMPON,,97422,,,974220969_B,344092.4745470638,7647884.096574359,A,,,,,61.30Z,NAFRev2,N,61.10Y
334306172,00084,33430617200084,O,2011-01-01,12,2023,,2025-12-06T00:12:36.532,true,A,O,,1985-12-17,5710,MARLINK EVENTS SAS,,,,,,,,,,,61.30Z,NAFRev2,,N,,12,2023,00084,2025-12-06T10:04:24.214,ETI,2023,PARC D'ACTIVITES LES GONDOLES 114-126,114,,,AVENUE,D'ALFORTVILLE,94600,CHOISY-LE-ROI,,94022,,,940220030_B,657082.9110798684,6852930.816104642,A,,,,,61.30Z,NAFRev2,O,61.10Y
388543126,00105,38854312600105,O,2023-09-01,NN,,,2025-12-05T19:56:12.31,true,A,O,,1992-09-01,5710,CANAL + ANTILLES,,,,,,,,,,,61.30Z,NAFRev2,,N,,NN,,00105,2025-12-06T05:51:28.733,GE,2023,IMMEUBLE CANAL MEDIA,,,,ZONE INDUSTRIELLE,DE JARRY,97122,BAIE-MAHAULT,,97103,,,97103C188_B,653749.7947576178,1795768.1984824196,A,,,,,61.30Z,NAFRev2,N,61.10Y
400461950,00034,40046195000034,O,1999-05-17,12,2023,,2025-12-06T05:00:25.696,true,A,O,,1995-03-22,5710,SFR FIBRE SAS,,,,,,,,,,,61.10Z,NAFRev2,,N,N,32,2023,00034,2025-12-06T07:55:22.335,GE,2023,,10,,,RUE,ALBERT EINSTEIN,77420,CHAMPS-SUR-MARNE,,77083,,,770830012_B,669593.127441366,6859658.251671252,A,,,,,61.30Z,NAFRev2,O,61.10Y
400461950,00042,40046195000042,O,1999-11-05,NN,,,2025-12-06T00:27:58.907,false,A,O,,1995-03-22,5710,SFR FIBRE SAS,,,,,,,,,,,61.10Z,NAFRev2,,N,N,32,2023,00034,2025-12-06T07:55:22.335,GE,2023,,90,,,AVENUE,DE LANESSAN,69410,CHAMPAGNE-AU-MONT-D'OR,,69040,,,690400180_B,838908.7935664171,6523712.915829782,A,,,,,61.30Z,NAFRev2,O,61.10Y
400461950,00059,40046195000059,O,1999-11-05,NN,,,2025-12-05T20:55:00.356,false,A,O,,1995-03-22,5710,SFR FIBRE SAS,,,,,,,,,,,61.10Z,NAFRev2,,N,N,32,2023,00034,2025-12-06T07:55:22.335,GE,2023,PARC ESTER,7,,,RUE,DE COLUMBIA,87280,LIMOGES,,87085,,,870851256_B,567387.6027865361,6530663.638854641,A,,,,,61.30Z,NAFRev2,O,61.10Y
400461950,00109,40046195000109,O,2000-01-04,NN,,,2025-12-05T21:48:37.423,false,A,O,,1995-03-22,5710,SFR FIBRE SAS,,,,,,,,,,,61.10Z,NAFRev2,,N,N,32,2023,00034,2025-12-06T07:55:22.335,GE,2023,,7,,,IMPASSE,LOUIS STEVENOT,58000,NEVERS,,58194,,,581943195_B,712086.4387001402,6655638.886624085,A,,,,,61.30Z,NAFRev2,O,61.10Y
400461950,00141,40046195000141,O,2001-01-01,01,2023,,2025-12-05T16:46:19.431,false,A,O,,1995-03-22,5710,SFR FIBRE SAS,,,,,,,,,,,61.10Z,NAFRev2,,N,N,32,2023,00034,2025-12-06T07:55:22.335,GE,2023,CENTRE ACTIPOLE,88,,,RUE,DU COMTAT,84300,CAVAILLON,,84035,,,840350372_B,864152.104371576,6307421.6191996895,A,,,,,61.30Z,NAFRev2,O,61.10Y
400461950,00158,40046195000158,O,2001-01-01,NN,,,2025-12-06T04:05:11.274,false,A,O,,1995-03-22,5710,SFR FIBRE SAS,,,,,,,,,,,61.10Z,NAFRev2,,N,N,32,2023,00034,2025-12-06T07:55:22.335,GE,2023,,197,,,BOULEVARD,CHARLES DE GAULLE,92700,COLOMBES,,92025,,,920251564_B,644006.391825603,6867939.010180272,A,,,,,61.30Z,NAFRev2,N,61.10Y
