siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
220900013,00768,22090001300768,O,2015-01-13,NN,,,2025-12-06T03:43:44.175,false,A,O,,1983-03-01,7220,DEPARTEMENT DE L ARIEGE,,,,,,,,,,,84.11Z,NAFRev2,,N,,42,2023,00016,2025-12-06T11:32:16.361,ETI,2023,,5,,,RUE,DU CAP DE LA VILLE,09000,FOIX,,09122,,,091220241_B,585714.0896894496,6208057.546643131,A,RESEAU DEPARTEMENTAL HAUT DEBIT,,,,61.30Z,NAFRev2,N,61.10Y
334306172,00084,33430617200084,O,2011-01-01,12,2023,,2025-12-06T00:12:36.532,true,A,O,,1985-12-17,5710,MARLINK EVENTS SAS,,,,,,,,,,,61.30Z,NAFRev2,,N,,12,2023,00084,2025-12-06T10:04:24.214,ETI,2023,PARC D'ACTIVITES LES GONDOLES 114-126,114,,,AVENUE,D'ALFORTVILLE,94600,CHOISY-LE-ROI,,94022,,,940220030_B,657082.9110798684,6852930.816104642,A,,,,,61.30Z,NAFRev2,O,61.10Y
422551176,00049,42255117600049,O,2004-09-01,21,2023,,2025-12-05T19:09:47.297,false,A,O,,1999-04-20,5599,EUTELSAT S.A.,,,,,,,,,,,61.30Z,NAFRev2,,N,,41,2023,00072,2025-12-06T05:14:21.961,ETI,2023,,,,,AV,DE CERQUEUSE,28700,AUNEAU-BLEURY-SAINT-SYMPHORIEN,,28015,,,,,,A,,,,,61.30Z,NAFRev2,O,61.10Y
422551176,00072,42255117600072,O,2020-09-01,41,2023,,2025-12-06T05:01:03.959,true,A,O,,1999-04-20,5599,EUTELSAT S.A.,,,,,,,,,,,61.30Z,NAFRev2,,N,,41,2023,00072,2025-12-06T05:14:21.961,ETI,2023,,32,,,BOULEVARD,GALLIENI,92130,ISSY-LES-MOULINEAUX,,92040,,,920404115_B,646190.1209306627,6859343.458764612,A,,,,,61.30Z,NAFRev2,N,61.10Y
433700648,00051,43370064800051,O,2003-04-01,21,2023,,2025-12-05T20:24:10.734,false,A,O,,2000-11-06,5710,MARLINK SAS,,,,,,,,,,,61.30Z,NAFRev2,,N,,22,2023,00085,2025-12-06T05:25:30.513,ETI,2023,CECS AUSSAGUEL-ISSUS,,,,,,31450,ISSUS,,31240,,,,,,A,,,,,61.30Z,NAFRev2,O,61.10Y
433700648,00085,43370064800085,O,2009-01-26,21,2023,,2025-12-05T22:31:56.579,true,A,O,,2000-11-06,5710,MARLINK SAS,,,,,,,,,,,61.30Z,NAFRev2,,N,,22,2023,00085,2025-12-06T05:25:30.513,ETI,2023,,137,,,RUE,DU FAUBOURG SAINT-DENIS,75010,PARIS,,75110,,,751103516_B,652780.0098773582,6864368.356216962,A,,,,,61.30Z,NAFRev2,O,61.10Y
433700648,00093,43370064800093,O,2017-02-20,03,2023,,2025-12-05T21:35:29.732,false,A,O,,2000-11-06,5710,MARLINK SAS,,,,,,,,,,,61.30Z,NAFRev2,,N,,22,2023,00085,2025-12-06T05:25:30.513,ETI,2023,IMMEUBLE TERCOL,,,,LOTISSEMENT,ZI COLLERY II,97300,CAYENNE,,97302,,,97302A142_B,352920.3378540182,541743.7483851066,A,,,,,61.30Z,NAFRev2,O,61.10Y
512443201,00029,51244320100029,O,2020-10-19,NN,,,2025-12-05T17:13:17.199,true,A,O,,2009-04-05,5599,FRANSAT,,,,,,,,,,,61.30Z,NAFRev2,,N,,NN,,00029,2025-12-06T06:05:14.221,ETI,2023,,32,,,BOULEVARD,GALLIENI,92130,ISSY-LES-MOULINEAUX,,92040,,,920404115_B,646190.1209306627,6859343.458764612,A,,,,,61.30Z,NAFRev2,N,61.10Y
845195619,00026,84519561900026,O,2020-10-01,NN,,,2025-12-06T04:15:59.59,false,A,O,,2018-11-30,5710,MENIPPE,,,,,,,,,,,61.30Z,NAFRev2,,N,,NN,,00042,2025-12-06T10:06:56.662,ETI,2023,,2247,,,VOIE,DE L’OREE,27100,VAL-DE-REUIL,,27701,,,277010342_B,568021.643592821,6908194.08918486,A,,,,MENIPPE,61.30Z,NAFRev2,N,61.10Y
845195619,00042,84519561900042,O,2021-07-26,NN,,,2025-12-05T18:55:34.669,true,A,O,,2018-11-30,5710,MENIPPE,,,,,,,,,,,61.30Z,NAFRev2,,N,,NN,,00042,2025-12-06T10:06:56.662,ETI,2023,,21,A,,RUE,ALAIN SAVARY,25000,BESANCON,,25056,,,250560042_B,926638.1354836103,6687704.554075889,A,,,,DIOPTIC,61.30Z,NAFRev2,N,61.10Y
