siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
388543126,00105,38854312600105,O,2023-09-01,NN,,,2025-12-05T19:56:12.31,true,A,O,,1992-09-01,5710,CANAL + ANTILLES,,,,,,,,,,,61.30Z,NAFRev2,,N,,NN,,00105,2025-12-06T05:51:28.733,GE,2023,IMMEUBLE CANAL MEDIA,,,,ZONE INDUSTRIELLE,DE JARRY,97122,BAIE-MAHAULT,,97103,,,97103C188_B,653749.7947576178,1795768.1984824196,A,,,,,61.30Z,NAFRev2,N,61.10Y
400461950,00034,40046195000034,O,1999-05-17,12,2023,,2025-12-06T05:00:25.696,true,A,O,,1995-03-22,5710,SFR FIBRE SAS,,,,,,,,,,,61.10Z,NAFRev2,,N,N,32,2023,00034,2025-12-06T07:55:22.335,GE,2023,,10,,,RUE,ALBERT EINSTEIN,77420,CHAMPS-SUR-MARNE,,77083,,,770830012_B,669593.127441366,6859658.251671252,A,,,,,61.30Z,NAFRev2,O,61.10Y
400461950,00042,40046195000042,O,1999-11-05,NN,,,2025-12-06T00:27:58.907,false,A,O,,1995-03-22,5710,SFR FIBRE SAS,,,,,,,,,,,61.10Z,NAFRev2,,N,N,32,2023,00034,2025-12-06T07:55:22.335,GE,2023,,90,,,AVENUE,DE LANESSAN,69410,CHAMPAGNE-AU-MONT-D'OR,,69040,,,690400180_B,838908.7935664171,6523712.915829782,A,,,,,61.30Z,NAFRev2,O,61.10Y
400461950,00059,40046195000059,O,1999-11-05,NN,,,2025-12-05T20:55:00.356,false,A,O,,1995-03-22,5710,SFR FIBRE SAS,,,,,,,,,,,61.10Z,NAFRev2,,N,N,32,2023,00034,2025-12-06T07:55:22.335,GE,2023,PARC ESTER,7,,,RUE,DE COLUMBIA,87280,LIMOGES,,87085,,,870851256_B,567387.6027865361,6530663.638854641,A,,,,,61.30Z,NAFRev2,O,61.10Y
400461950,00109,40046195000109,O,2000-01-04,NN,,,2025-12-05T21:48:37.423,false,A,O,,1995-03-22,5710,SFR FIBRE SAS,,,,,,,,,,,61.10Z,NAFRev2,,N,N,32,2023,00034,2025-12-06T07:55:22.335,GE,2023,,7,,,IMPASSE,LOUIS STEVENOT,58000,NEVERS,,58194,,,581943195_B,712086.4387001402,6655638.886624085,A,,,,,61.30Z,NAFRev2,O,61.10Y
400461950,00141,40046195000141,O,2001-01-01,01,2023,,2025-12-05T16:46:19.431,false,A,O,,1995-03-22,5710,SFR FIBRE SAS,,,,,,,,,,,61.10Z,NAFRev2,,N,N,32,2023,00034,2025-12-06T07:55:22.335,GE,2023,CENTRE ACTIPOLE,88,,,RUE,DU COMTAT,84300,CAVAILLON,,84035,,,840350372_B,864152.104371576,6307421.6191996895,A,,,,,61.30Z,NAFRev2,O,61.10Y
400461950,00158,40046195000158,O,2001-01-01,NN,,,2025-12-06T04:05:11.274,false,A,O,,1995-03-22,5710,SFR FIBRE SAS,,,,,,,,,,,61.10Z,NAFRev2,,N,N,32,2023,00034,2025-12-06T07:55:22.335,GE,2023,,197,,,BOULEVARD,CHARLES DE GAULLE,92700,COLOMBES,,92025,,,920251564_B,644006.391825603,6867939.010180272,A,,,,,61.30Z,NAFRev2,N,61.10Y
400461950,00166,40046195000166,O,1999-06-01,NN,,,2025-12-05T19:46:02.949,false,A,O,,1995-03-22,5710,SFR FIBRE SAS,,,,,,,,,,,61.10Z,NAFRev2,,N,N,32,2023,00034,2025-12-06T07:55:22.335,GE,2023,,71,,,RUE,NATIONALE,49300,CHOLET,,49099,,,490993140_B,404294.9860359446,6662397.957609117,A,,,,,61.30Z,NAFRev2,N,61.10Y
400461950,00174,40046195000174,O,1999-06-01,NN,,,2025-12-05T20:41:18.713,false,A,O,,1995-03-22,5710,SFR FIBRE SAS,,,,,,,,,,,61.10Z,NAFRev2,,N,N,32,2023,00034,2025-12-06T07:55:22.335,GE,2023,,20,,,RUE,JEAN JAURES,85000,LA ROCHE-SUR-YON,,85191,,,851911210_B,361594.66850759473,6628260.537631681,A,,,,,61.30Z,NAFRev2,N,61.10Y
400461950,00208,40046195000208,O,2002-01-01,NN,,,2025-12-05T21:59:32.117,false,A,O,,1995-03-22,5710,SFR FIBRE SAS,,,,,,,,,,,61.10Z,NAFRev2,,N,N,32,2023,00034,2025-12-06T07:55:22.335,GE,2023,,6,,,RUE,DU COMMANDANT FLESCH,88600,BRUYERES,,88078,,,,,,A,,,,,61.30Z,NAFRev2,N,61.10Y
