siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
332787498,00069,33278749800069,O,2021-05-01,02,2023,,2025-12-05T20:17:12.988,true,A,O,,1985-05-22,5499,CONSORTIUM DE L'AUDIOVISUEL,CAV,,,,,,,,,,61.30Z,NAFRev2,,N,,02,2023,00069,2025-12-06T06:53:12.529,PME,2023,,8,,,RUE,GERARD DE NERVAL,97430,LE TAMPON,,97422,,,974220969_B,344092.4745470638,7647884.096574359,A,,,,,61.30Z,NAFRev2,N,61.10Y
405308529,00016,40530852900016,O,1996-02-02,NN,,,2025-12-05T20:45:50.145,true,A,O,,1996-02-02,4150,REGIE TELEDISTRIBUTION DE RETTEL,,,,,,,,,,,61.30Z,NAFRev2,,,,NN,,00016,2025-12-06T07:02:00.662,PME,2023,,8,,,RUE,SAINT NICOLAS,57480,RETTEL,,57576,,,575760090_B,941296.3977614518,6932265.886167308,A,,,,,61.30Z,NAFRev2,N,61.10Y
414347872,00015,41434787200015,O,1997-10-16,NN,,,2025-12-05T21:48:00.786,true,A,O,,1997-10-16,5499,MSR PRIVATE CABLE TV,,,,,,,,,,,61.30Z,NAFRev2,,,,NN,,00015,2025-12-06T06:42:31.273,PME,2023,CZ M CACOOW,,,,LD,AGREMENT MARIGOT,97150,SAINT MARTIN,,97801,,,,,,A,,,,,61.30Z,NAFRev2,O,61.10Y
420523938,00058,42052393800058,O,2001-06-25,NN,,,2025-12-06T04:10:37.535,false,A,O,,1998-09-01,5510,PARABOLE REUNION,,,,,,,,,,,61.30Z,NAFRev2,,N,,12,2023,00041,2026-02-19T13:16:27.21,PME,2023,IMMEUBLE SANA N 4.,4,,,,,97600,MAMOUDZOU,,97611,,,,,,A,,,,,61.30Z,NAFRev2,O,61.10Y
420523938,00108,42052393800108,O,2011-04-01,NN,,,2025-12-05T17:47:01.447,false,A,O,,1998-09-01,5510,PARABOLE REUNION,,,,,,,,,,,61.30Z,NAFRev2,,N,,12,2023,00041,2026-02-19T13:16:27.21,PME,2023,,,,,,MAJICAVO LAMIR,97600,KOUNGOU,,97610,,,97610B490_B,524719.1840817453,8590060.155403782,A,,,,PARABOLE MAYOTTE,61.30Z,NAFRev2,O,61.10Y
421366337,00036,42136633700036,O,2021-09-01,03,2023,4321AA,2025-12-05T16:31:51.562,true,A,O,,1998-12-01,5710,MEDI SAT,,,,,,,,,,,61.30Z,NAFRev2,,N,,03,2023,00036,2025-12-06T09:04:44.669,PME,2023,,44,,,RTE,DU MOULINET L ARTIVIERE,37190,VALLERES,,37264,,,,,,A,,,,,61.30Z,NAFRev2,N,61.10Y
428675870,00037,42867587000037,O,2007-04-01,NN,,4321AA,2025-12-05T19:28:18.005,true,A,O,,1999-12-06,5499,LESIOURD VIDEO TELECOMMUNICATION,LVT,,,,,,,,,,61.30Z,NAFRev2,,N,,NN,,00037,2025-12-06T07:18:25.63,PME,2023,,1,,,IMPASSE,DU STADE,72600,SAINT-VINCENT-DES-PRES,,72324,,,723240310_B,505992.3300747302,6802735.718238602,A,,,,,61.30Z,NAFRev2,O,61.10Y
430054908,00016,43005490800016,O,1998-03-01,NN,,,2025-12-05T16:05:26.022,true,A,O,,1998-03-01,3120,BRITISH TELECOM FRANCE,,,,,,,,,,,61.30Z,NAFRev2,,,,NN,,00016,2025-12-06T07:58:35.456,PME,2023,,204,,,ROND-POINT,DU PONT DE SEVRES,92100,BOULOGNE-BILLANCOURT,,92012,,,920127233_B,643518.5637124425,6859009.818722271,A,,,,,61.30Z,NAFRev2,N,61.10Y
432104198,00077,43210419800077,O,2020-05-04,12,2023,,2025-12-05T22:14:29.526,true,A,O,,2000-06-01,5710,THALOS,,,,,,,,,,,61.30Z,NAFRev2,,N,,12,2023,00077,2025-12-06T05:43:44.844,PME,2023,PARC TECHNOLOGIQUE DE SOYE,8,,,RUE,GALILEE,56270,PLOEMEUR,,56162,,,561623132_B,220227.72929993534,6757467.61196016,A,,,,,61.30Z,NAFRev2,N,61.10Y
439186610,00036,43918661000036,O,2019-02-01,11,2023,,2025-12-06T03:57:03.688,true,A,O,,2001-07-23,5710,INTELSAT FRANCE,,,,,,,,,,,61.30Z,NAFRev2,,N,,11,2023,00036,2025-12-06T06:38:04.816,PME,2023,,40,,,RUE,DU LOUVRE,75001,PARIS,,75101,,,751015825_B,651718.05501198,6862717.782507084,A,,,,,61.30Z,NAFRev2,O,61.10Y
