siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
100182120,00012,10018212000012,O,2026-01-22,NN,,,2026-01-23T10:00:45.329,true,A,O,,2026-01-22,1000,,,M,VITELLI,,BRYAN,,,,BRYAN,,61.20Z,NAFRev2,,,,NN,,00012,2026-01-23T10:00:45.328,,,,1,,,RUE,TRIPERIE VIEILLE,34120,PEZENAS,,34199,,,341991190_B,734245.2,6262462.03,A,,,,VOLTESIA,61.20Z,NAFRev2,N,61.10Y
100182740,00017,10018274000017,O,2026-01-22,NN,,,2026-01-26T14:31:44.902,true,A,O,,2026-01-22,5710,SEDAR CONSULTING,,,,,,,,,,,61.20Z,NAFRev2,,N,N,NN,,00017,2026-01-26T14:31:44.901,,,,32,Q,,, ROUTE DE BLOIS,45380,LA CHAPELLE-SAINT-MESMIN,,45075,,,,,,A,,,,,61.20Z,NAFRev2,N,61.10Y
100798297,00014,10079829700014,O,2026-02-04,NN,,,2026-02-09T13:35:16.925,true,A,O,,2026-02-04,5710,HBCTELECOM,,,,,,,,,,,61.20Z,NAFRev2,,N,N,NN,,00014,2026-02-09T13:35:16.925,,,,60,,,RUE,FRANCOIS IER,75008,PARIS,,75108,,,75108jjat_B,648794.46,6863544.75,A,,,,,61.20Z,NAFRev2,N,61.10Y
200045060,00023,20004506000023,O,2014-02-20,NN,,,2025-12-05T17:35:52.932,false,A,O,,2014-01-16,7355,SYNDICAT MIXTE SEINE-MARITIME NUMERIQUE,,,,,,,,,,,84.11Z,NAFRev2,,,,11,2023,00015,2025-12-06T11:32:18.27,PME,2023,HOTEL DU DEPARTEMENT,,,,QUAI,JEAN MOULIN,76100,ROUEN,,76540,,,765404410_B,561602.8407665708,6927862.175002656,A,BUDGET ANNEXE,,,,61.20Z,NAFRev2,O,61.10Y
223800012,00658,22380001200658,O,2013-11-22,NN,,,2025-12-05T22:42:53.92,false,A,O,,1983-01-01,7220,DEPARTEMENT DE L ISERE,,,,,,,,,,,84.11Z,NAFRev2,,N,,51,2023,00013,2025-12-06T11:32:16.361,ETI,2023,,7,,,RUE,FANTIN LATOUR,38000,GRENOBLE,,38185,,,381852710_B,914596.6961174698,6457903.944034181,A,AMENAGEMENT NUMERIQUE,,,,61.20Z,NAFRev2,N,61.90Y
310471503,00055,31047150300055,O,2017-01-02,01,2023,,2025-12-06T03:50:06.199,true,A,O,,1977-01-01,5710,TELECOMMUNICATION ELECTRONIQUE,,,,,,,,,,,61.20Z,NAFRev2,,,,01,2023,00055,2025-12-06T11:19:21.433,PME,2023,,30,,,AVENUE,DES CHASSEURS,33600,PESSAC,,33318,,,333180850_B,413725.0220549863,6417730.354027196,A,,,,,61.20Z,NAFRev2,O,61.90Y
322980442,00014,32298044200014,O,1981-10-01,12,2023,,2025-12-05T22:46:27.837,true,A,O,,1981-10-01,5710,SERVICE ELECTRONIQUE ENGINEERING,SEE,,,,,,,,,,71.12B,NAFRev2,,N,,12,2023,00014,2025-12-06T05:25:29.64,PME,2023,,90,,,IMPASSE,DES CHENES,26210,LENS-LESTANG,,26162,,,261627ta3_B,860185.5002124286,6468734.365167939,A,SEE,,,SEE.SR SERVICE ELECTRONIQUE ENGINEERING SYSTEME RADIO/ SEE CRITICAL COMMS,61.20Z,NAFRev2,O,61.90Y
327982799,00071,32798279900071,O,2012-08-01,NN,,,2025-12-06T00:10:53.374,true,A,O,,1983-07-30,1000,,,M,PAVARANI,,JEAN-MARC,RENE,,,JEAN-MARC,,56.10C,NAFRev2,,,,NN,,00071,2025-12-06T06:21:51.414,PME,2023,,14,,,AVENUE,DU MONT PACCARD,74170,SAINT-GERVAIS-LES-BAINS,,74236,,,742360467_B,987688.6561986553,6539266.202845549,A,,,,,61.20Z,NAFRev2,O,61.90Y
330764747,00045,33076474700045,O,2020-12-21,01,2023,,2025-12-05T21:38:32.2,false,A,O,,1984-09-26,5710,CFE TELECOM,,,,,,,,,,,61.20Z,NAFRev2,,N,,01,2023,00052,2025-12-06T05:34:13.718,PME,2023,,26,,,RUE,ARISTIDE BRIAND,76133,EPOUVILLE,,76238,,,762380015_B,498641.3758489409,6943651.784368458,A,,,,365 TELECOM,61.20Z,NAFRev2,N,61.10Y
330764747,00052,33076474700052,O,2021-02-05,NN,,,2025-12-06T04:23:40.428,true,A,O,,1984-09-26,5710,CFE TELECOM,,,,,,,,,,,61.20Z,NAFRev2,,N,,01,2023,00052,2025-12-06T05:34:13.718,PME,2023,,5,,,RUE,DU CHANT DES OISEAUX,78360,MONTESSON,,78418,,,784180116_B,635252.5016694603,6867649.437427342,A,,,,,61.20Z,NAFRev2,N,61.10Y
338628134,00094,33862813400094,O,2003-07-21,21,2023,,2025-12-05T21:57:37.811,true,A,O,,1986-07-15,5710,TOWERCAST,,,,,,,,,,,61.20Z,NAFRev2,,N,,22,2023,00094,2025-12-06T05:43:28.427,ETI,2023,,46,,,AVENUE,THEOPHILE GAUTIER,75016,PARIS,,75116,,,751169253_B,646492.6023600062,6861270.057714337,A,,,,,61.20Z,NAFRev2,O,61.10Y
338628134,00110,33862813400110,O,2005-02-01,11,2023,,2025-12-05T23:50:04.694,false,A,O,,1986-07-15,5710,TOWERCAST,,,,,,,,,,,61.20Z,NAFRev2,,N,,22,2023,00094,2025-12-06T05:43:28.427,ETI,2023,PARC DE LA TEILLAIS,,,,RUE,JEAN-GABRIEL COQUIO,35740,PACE,,35210,,,352100240_B,345774.36475991487,6793475.747575667,A,,,,,61.20Z,NAFRev2,O,61.10Y
338628134,00144,33862813400144,O,2005-04-01,02,2023,,2025-12-06T01:01:05.016,false,A,O,,1986-07-15,5710,TOWERCAST,,,,,,,,,,,61.20Z,NAFRev2,,N,,22,2023,00094,2025-12-06T05:43:28.427,ETI,2023,,6,,,RUE,DES ORMES,37530,NAZELLES-NEGRON,,37163,,,371630492_B,546998.9632620229,6703940.635771347,A,,,,,61.20Z,NAFRev2,O,61.10Y
338628134,00201,33862813400201,O,2007-08-01,02,2023,,2025-12-05T21:12:02.766,false,A,O,,1986-07-15,5710,TOWERCAST,,,,,,,,,,,61.20Z,NAFRev2,,N,,22,2023,00094,2025-12-06T05:43:28.427,ETI,2023,,1,,,BOULEVARD,JEAN MONNET,44400,REZE,,44143,,,441431972_B,355699.8755026187,6683887.183115793,A,,,,,61.20Z,NAFRev2,O,61.10Y
338628134,00243,33862813400243,O,2016-01-01,11,2023,,2025-12-06T05:07:26.679,false,A,O,,1986-07-15,5710,TOWERCAST,,,,,,,,,,,61.20Z,NAFRev2,,N,,22,2023,00094,2025-12-06T05:43:28.427,ETI,2023,,1,,,RUE,EN MANCHOTTE,57130,JOUY-AUX-ARCHES,,57350,,,,,,A,,,,,61.20Z,NAFRev2,O,61.10Y
