siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
223800012,00658,22380001200658,O,2013-11-22,NN,,,2025-12-05T22:42:53.92,false,A,O,,1983-01-01,7220,DEPARTEMENT DE L ISERE,,,,,,,,,,,84.11Z,NAFRev2,,N,,51,2023,00013,2025-12-06T11:32:16.361,ETI,2023,,7,,,RUE,FANTIN LATOUR,38000,GRENOBLE,,38185,,,381852710_B,914596.6961174698,6457903.944034181,A,AMENAGEMENT NUMERIQUE,,,,61.20Z,NAFRev2,N,61.90Y
338628134,00094,33862813400094,O,2003-07-21,21,2023,,2025-12-05T21:57:37.811,true,A,O,,1986-07-15,5710,TOWERCAST,,,,,,,,,,,61.20Z,NAFRev2,,N,,22,2023,00094,2025-12-06T05:43:28.427,ETI,2023,,46,,,AVENUE,THEOPHILE GAUTIER,75016,PARIS,,75116,,,751169253_B,646492.6023600062,6861270.057714337,A,,,,,61.20Z,NAFRev2,O,61.10Y
338628134,00110,33862813400110,O,2005-02-01,11,2023,,2025-12-05T23:50:04.694,false,A,O,,1986-07-15,5710,TOWERCAST,,,,,,,,,,,61.20Z,NAFRev2,,N,,22,2023,00094,2025-12-06T05:43:28.427,ETI,2023,PARC DE LA TEILLAIS,,,,RUE,JEAN-GABRIEL COQUIO,35740,PACE,,35210,,,352100240_B,345774.36475991487,6793475.747575667,A,,,,,61.20Z,NAFRev2,O,61.10Y
338628134,00144,33862813400144,O,2005-04-01,02,2023,,2025-12-06T01:01:05.016,false,A,O,,1986-07-15,5710,TOWERCAST,,,,,,,,,,,61.20Z,NAFRev2,,N,,22,2023,00094,2025-12-06T05:43:28.427,ETI,2023,,6,,,RUE,DES ORMES,37530,NAZELLES-NEGRON,,37163,,,371630492_B,546998.9632620229,6703940.635771347,A,,,,,61.20Z,NAFRev2,O,61.10Y
338628134,00201,33862813400201,O,2007-08-01,02,2023,,2025-12-05T21:12:02.766,false,A,O,,1986-07-15,5710,TOWERCAST,,,,,,,,,,,61.20Z,NAFRev2,,N,,22,2023,00094,2025-12-06T05:43:28.427,ETI,2023,,1,,,BOULEVARD,JEAN MONNET,44400,REZE,,44143,,,441431972_B,355699.8755026187,6683887.183115793,A,,,,,61.20Z,NAFRev2,O,61.10Y
338628134,00243,33862813400243,O,2016-01-01,11,2023,,2025-12-06T05:07:26.679,false,A,O,,1986-07-15,5710,TOWERCAST,,,,,,,,,,,61.20Z,NAFRev2,,N,,22,2023,00094,2025-12-06T05:43:28.427,ETI,2023,,1,,,RUE,EN MANCHOTTE,57130,JOUY-AUX-ARCHES,,57350,,,,,,A,,,,,61.20Z,NAFRev2,O,61.10Y
338628134,00250,33862813400250,O,2016-12-01,01,2023,,2025-12-06T02:28:29.843,false,A,O,,1986-07-15,5710,TOWERCAST,,,,,,,,,,,61.20Z,NAFRev2,,N,,22,2023,00094,2025-12-06T05:43:28.427,ETI,2023,IMM MACH 5 ZONE D'ACTIVITE HORIZON 200,9786,,,AVENUE,DES HAUTS GRIGNEUX,76420,BIHOREL,,76095,,,760951249_B,565156.3761296861,6931322.166605055,A,,,,,61.20Z,NAFRev2,O,61.10Y
338628134,00268,33862813400268,O,2017-01-01,02,2023,,2025-12-05T21:03:12.526,false,A,O,,1986-07-15,5710,TOWERCAST,,,,,,,,,,,61.20Z,NAFRev2,,N,,22,2023,00094,2025-12-06T05:43:28.427,ETI,2023,ROUTE DU CANAL DI MELO,,,,,ZA DE TRAGONE HANGAR 23,20620,BIGUGLIA,,2B037,,,,,,A,,,,,61.20Z,NAFRev2,O,61.10Y
338628134,00276,33862813400276,O,2017-06-01,01,2023,,2025-12-06T04:43:15.126,false,A,O,,1986-07-15,5710,TOWERCAST,,,,,,,,,,,61.20Z,NAFRev2,,N,,22,2023,00094,2025-12-06T05:43:28.427,ETI,2023,,1175,,,AVENUE,DE LA REPUBLIQUE,06550,LA ROQUETTE-SUR-SIAGNE,,06108,,,061080240_B,1018601.8812852307,6283737.52018021,A,,,,,61.20Z,NAFRev2,O,61.10Y
338628134,00292,33862813400292,O,2020-08-01,12,2023,,2025-12-06T02:08:29.431,false,A,O,,1986-07-15,5710,TOWERCAST,,,,,,,,,,,61.20Z,NAFRev2,,N,,22,2023,00094,2025-12-06T05:43:28.427,ETI,2023,ZA DE MONTREDON,17,B,,AVENUE,D'HERMES,31240,L'UNION,,31561,,,315610291_B,578651.120001482,6283413.578670725,A,,,,TTI,61.20Z,NAFRev2,N,61.10Y
