siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
343059564,00041,34305956400041,O,1998-06-29,NN,,,2025-12-05T22:14:49.679,false,A,O,,1987-07-31,5599,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,,,,,,,,,,,61.20Z,NAFRev2,,N,N,52,2023,00959,2026-02-04T16:33:27.136,GE,2023,,42,,,AVENUE,DE FRIEDLAND,75008,PARIS,,75108,,,751083868_B,648488.2321707674,6864027.856636868,A,SFRCEGETEL SFR,,,,61.20Z,NAFRev2,O,61.10Y
343059564,00082,34305956400082,O,2011-12-12,11,2023,,2025-12-05T23:14:51.613,false,A,O,,1987-07-31,5599,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,,,,,,,,,,,61.20Z,NAFRev2,,N,N,52,2023,00959,2026-02-04T16:33:27.136,GE,2023,,53,,,RUE,VERNOUILLET,51100,REIMS,,51454,,,514548980_B,774100.7200171862,6906999.472914579,A,SFRCEGETEL,,,,61.20Z,NAFRev2,O,61.10Y
343059564,00090,34305956400090,O,2011-12-12,NN,,,2025-12-05T22:23:58.965,false,A,O,,1987-07-31,5599,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,,,,,,,,,,,61.20Z,NAFRev2,,N,N,52,2023,00959,2026-02-04T16:33:27.136,GE,2023,,55,,,RUE,DE L'OURCQ,75019,PARIS,,75119,,,751196980_B,654599.0158833415,6865876.155197566,A,SFR,,,,61.20Z,NAFRev2,N,61.10Y
343059564,00124,34305956400124,O,2011-12-12,22,2023,,2025-12-05T15:15:07.471,false,A,O,,1987-07-31,5599,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,,,,,,,,,,,61.20Z,NAFRev2,,N,N,52,2023,00959,2026-02-04T16:33:27.136,GE,2023,,12,,,RUE,PAUL MESPLE,31100,TOULOUSE,,31555,,,315556637_B,569615.7550459085,6275995.164029095,A,SFRCEGETEL,,,,61.20Z,NAFRev2,O,61.10Y
343059564,00132,34305956400132,O,2011-12-12,NN,,,2025-12-05T21:29:22.999,false,A,O,,1987-07-31,5599,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,,,,,,,,,,,61.20Z,NAFRev2,,N,N,52,2023,00959,2026-02-04T16:33:27.136,GE,2023,,,,,,LA CROIX DE MISSION,54690,LAY-SAINT-CHRISTOPHE,,54305,,,54305B015_C,,,A,SFRCEGETEL,,,,61.20Z,NAFRev2,N,61.10Y
343059564,00157,34305956400157,O,2011-12-12,01,2023,,2025-12-05T21:15:40.664,false,A,O,,1987-07-31,5599,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,,,,,,,,,,,61.20Z,NAFRev2,,N,N,52,2023,00959,2026-02-04T16:33:27.136,GE,2023,,14,,,ALLEE,DU CANAL,64600,ANGLET,,64024,,,640240368_B,336461.74158212385,6276521.198619863,A,SFRCEGETEL,,,,61.20Z,NAFRev2,O,61.10Y
343059564,00173,34305956400173,O,2011-12-21,NN,,,2025-12-05T21:05:31.645,false,A,O,,1987-07-31,5599,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,,,,,,,,,,,61.20Z,NAFRev2,,N,N,52,2023,00959,2026-02-04T16:33:27.136,GE,2023,,7,,,ALLEE,DE BRAY,35510,CESSON-SEVIGNE,,35051,,,350510652_B,356818.7661877928,6788898.299048033,A,SFRCEGETEL,,,,61.20Z,NAFRev2,N,61.10Y
343059564,00181,34305956400181,O,2011-12-12,NN,,,2025-12-06T04:18:26.822,false,A,O,,1987-07-31,5599,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,,,,,,,,,,,61.20Z,NAFRev2,,N,N,52,2023,00959,2026-02-04T16:33:27.136,GE,2023,,11,,,RUE,DE CAMBRAI,75019,PARIS,,75119,,,751191451_B,654559.7720775713,6866416.238449575,A,SFR,,,,61.20Z,NAFRev2,N,61.10Y
343059564,00199,34305956400199,O,2011-12-12,NN,,,2025-12-05T19:34:30.067,false,A,O,,1987-07-31,5599,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,,,,,,,,,,,61.20Z,NAFRev2,,N,N,52,2023,00959,2026-02-04T16:33:27.136,GE,2023,,40,,,AVENUE,ROGER SALENGRO,13003,MARSEILLE,,13203,,,132037989_B,892632.0637750467,6248585.735600383,A,SFRCEGETEL,,,,61.20Z,NAFRev2,N,61.10Y
343059564,00215,34305956400215,O,2011-12-12,02,2023,,2025-12-05T23:08:49.038,false,A,O,,1987-07-31,5599,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,,,,,,,,,,,61.20Z,NAFRev2,,N,N,52,2023,00959,2026-02-04T16:33:27.136,GE,2023,,,,,AVENUE,EMMANUEL PONTREMOLI,06200,NICE,,06088,,,060882296_B,1038469.9405979819,6296484.571318196,A,SFRCEGETEL,,,,61.20Z,NAFRev2,O,61.10Y
343059564,00223,34305956400223,O,2011-12-12,22,2023,,2025-12-06T02:46:09.629,false,A,O,,1987-07-31,5599,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,,,,,,,,,,,61.20Z,NAFRev2,,N,N,52,2023,00959,2026-02-04T16:33:27.136,GE,2023,,1,,,RUE,DU DOCTEUR GABRIEL PERY,33000,BORDEAUX,,33063,,,330632709_C,,,A,SFRCEGETEL,,,,61.20Z,NAFRev2,O,61.10Y
343059564,00231,34305956400231,O,2011-12-12,03,2023,,2025-12-05T21:13:44.981,false,A,O,,1987-07-31,5599,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,,,,,,,,,,,61.20Z,NAFRev2,,N,N,52,2023,00959,2026-02-04T16:33:27.136,GE,2023,,3,,,RUE,JEAN FRAGONARD,33140,VILLENAVE-D'ORNON,,33550,,,335500391_B,416123.0515020943,6415985.647809606,A,SFRCEGETEL,,,,61.20Z,NAFRev2,O,61.10Y
343059564,00249,34305956400249,O,2011-12-12,NN,,,2025-12-05T21:15:05.248,false,A,O,,1987-07-31,5599,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,,,,,,,,,,,61.20Z,NAFRev2,,N,N,52,2023,00959,2026-02-04T16:33:27.136,GE,2023,,243,,,,CAMPS DE LA LANDE,40180,HINX,,40126,,,40126b017_B,382614.82100398996,6297276.740477398,A,SFRCEGETEL,,,,61.20Z,NAFRev2,N,61.10Y
