siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
200045060,00023,20004506000023,O,2014-02-20,NN,,,2025-12-05T17:35:52.932,false,A,O,,2014-01-16,7355,SYNDICAT MIXTE SEINE-MARITIME NUMERIQUE,,,,,,,,,,,84.11Z,NAFRev2,,,,11,2023,00015,2025-12-06T11:32:18.27,PME,2023,HOTEL DU DEPARTEMENT,,,,QUAI,JEAN MOULIN,76100,ROUEN,,76540,,,765404410_B,561602.8407665708,6927862.175002656,A,BUDGET ANNEXE,,,,61.20Z,NAFRev2,O,61.10Y
310471503,00055,31047150300055,O,2017-01-02,01,2023,,2025-12-06T03:50:06.199,true,A,O,,1977-01-01,5710,TELECOMMUNICATION ELECTRONIQUE,,,,,,,,,,,61.20Z,NAFRev2,,,,01,2023,00055,2025-12-06T11:19:21.433,PME,2023,,30,,,AVENUE,DES CHASSEURS,33600,PESSAC,,33318,,,333180850_B,413725.0220549863,6417730.354027196,A,,,,,61.20Z,NAFRev2,O,61.90Y
322980442,00014,32298044200014,O,1981-10-01,12,2023,,2025-12-05T22:46:27.837,true,A,O,,1981-10-01,5710,SERVICE ELECTRONIQUE ENGINEERING,SEE,,,,,,,,,,71.12B,NAFRev2,,N,,12,2023,00014,2025-12-06T05:25:29.64,PME,2023,,90,,,IMPASSE,DES CHENES,26210,LENS-LESTANG,,26162,,,261627ta3_B,860185.5002124286,6468734.365167939,A,SEE,,,SEE.SR SERVICE ELECTRONIQUE ENGINEERING SYSTEME RADIO/ SEE CRITICAL COMMS,61.20Z,NAFRev2,O,61.90Y
327982799,00071,32798279900071,O,2012-08-01,NN,,,2025-12-06T00:10:53.374,true,A,O,,1983-07-30,1000,,,M,PAVARANI,,JEAN-MARC,RENE,,,JEAN-MARC,,56.10C,NAFRev2,,,,NN,,00071,2025-12-06T06:21:51.414,PME,2023,,14,,,AVENUE,DU MONT PACCARD,74170,SAINT-GERVAIS-LES-BAINS,,74236,,,742360467_B,987688.6561986553,6539266.202845549,A,,,,,61.20Z,NAFRev2,O,61.90Y
330764747,00045,33076474700045,O,2020-12-21,01,2023,,2025-12-05T21:38:32.2,false,A,O,,1984-09-26,5710,CFE TELECOM,,,,,,,,,,,61.20Z,NAFRev2,,N,,01,2023,00052,2025-12-06T05:34:13.718,PME,2023,,26,,,RUE,ARISTIDE BRIAND,76133,EPOUVILLE,,76238,,,762380015_B,498641.3758489409,6943651.784368458,A,,,,365 TELECOM,61.20Z,NAFRev2,N,61.10Y
330764747,00052,33076474700052,O,2021-02-05,NN,,,2025-12-06T04:23:40.428,true,A,O,,1984-09-26,5710,CFE TELECOM,,,,,,,,,,,61.20Z,NAFRev2,,N,,01,2023,00052,2025-12-06T05:34:13.718,PME,2023,,5,,,RUE,DU CHANT DES OISEAUX,78360,MONTESSON,,78418,,,784180116_B,635252.5016694603,6867649.437427342,A,,,,,61.20Z,NAFRev2,N,61.10Y
339235103,00027,33923510300027,O,2014-05-12,NN,,,2025-12-06T04:26:29.342,true,A,O,,1986-11-04,1000,,,M,GUZZO,,ALBIN,,,,ALBIN,,61.20Z,NAFRev2,,,,NN,,00027,2025-12-06T07:27:38.462,PME,2023,,9,,,ALLEE,DU PROFESSEUR MONOD,93600,AULNAY-SOUS-BOIS,,93005,,,930052965_B,664584.4873038987,6872494.252309132,A,,,,,61.20Z,NAFRev2,N,61.10Y
340748151,00016,34074815100016,O,1987-04-01,03,2023,4520AA,2025-12-06T04:43:14.745,true,A,O,,1987-04-01,1000,,,F,GRIMM,BARTZ,MARIE,CHRISTIANE,,,MARIE,,61.20Z,NAFRev2,,,,03,2023,00016,2025-12-06T09:39:42.582,PME,2023,,655,,,RUE,DE SARREGUEMINES,57600,ŒTING,,57521,,,575210440_B,985605.4095523212,6904297.879384735,A,,,,,61.20Z,NAFRev2,O,61.90Y
343393351,00063,34339335100063,O,2018-08-27,12,2023,,2025-12-06T04:17:57.646,true,A,O,,1987-11-16,5710,E MESSAGE WIRELESS INFORMATION SCE FRANC,,,,,,,,,,,61.20Z,NAFRev2,,N,,12,2023,00063,2025-12-06T06:38:13.147,PME,2023,,22,,,QUAI,GALLIENI,92150,SURESNES,,92073,,,920734121_B,643543.4662856519,6863560.639999963,A,,,,,61.20Z,NAFRev2,O,61.10Y
347698359,00077,34769835900077,O,2005-03-01,12,2023,4322BA,2025-12-05T22:01:13.989,true,A,O,,1988-07-04,5710,MARCC SARL,,,,,,,,,,,43.22B,NAFRev2,,N,,12,2023,00077,2025-12-06T07:23:33.521,PME,2023,,58,,,RUE,FLAMMARION,95600,EAUBONNE,,95203,,,952030700_B,647119.393154711,6878522.489268911,A,M A R C C,,,,61.20Z,NAFRev2,O,61.10Y
