siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
054391867,00030,05439186700030,O,2014-03-01,NN,,,2025-12-06T03:46:45.047,true,A,O,,2004-03-29,5499,SERVE U,,,,,,,,,,,62.02B,NAFRev2,,N,,NN,,00030,2025-12-06T07:48:28.738,PME,2023,KAWENI,,,,,NUM 4 ESPACE CORALIUM,97600,MAMOUDZOU,,97611,,,,,,A,,,,,62.02B,NAFRev2,O,62.20H
100040211,00011,10004021100011,O,2026-01-16,NN,,,2026-01-22T13:01:54.438,true,A,O,,2026-01-16,1000,,,M,PROUTEAU,,MAXIME,,,,MAXIME,,62.02B,NAFRev2,,,,NN,,00011,2026-01-22T13:01:54.438,,,BAT A RESIDENCE SCENE VICTOIRE,30,,,ALLEE,ALLEE LUCIE AUBRAC,13100,AIX-EN-PROVENCE,,13001,,,1300131z5_B,890100.41,6267993.55,A,,,,MP-INFORMATIQUE,62.02B,NAFRev2,N,62.20H
100044650,00016,10004465000016,O,2026-01-14,NN,,,2026-01-21T12:01:37.093,true,A,O,,2026-01-14,5710,AUTOMIND FRANCE,,,,,,,,,,,62.02B,NAFRev2,,N,N,NN,,00016,2026-01-21T12:01:37.093,,,,19,,,RUE,DU CHATEAU,60300,FONTAINE-CHAALIS,,60241,,,602410015_B,677147.09,6897129.55,A,,,,AUTOMIND ARTISAN,62.02B,NAFRev2,N,62.20G
100057629,00014,10005762900014,O,2026-01-21,NN,,,2026-01-20T11:39:29.62,true,A,O,,2026-01-21,1000,,,M,JOOS,JOOS,MATHIEU,,,,MATHIEU,,62.02B,NAFRev2,,,,NN,,00014,2026-01-20T11:39:29.619,,,,17,,,RUE,DE QUIMPER,59450,SIN-LE-NOBLE,,59569,,,595691040_B,707541.28,7030201.49,A,,,,MR MATHIEU JOOS,62.02B,NAFRev2,N,62.20H
100092253,00010,10009225300010,O,2025-11-01,NN,,,2026-01-22T08:00:32.59,true,A,O,,2025-11-01,5499,AG INFORMATIQUE,,,,,,,,,,,62.02B,NAFRev2,,N,N,NN,,00010,2026-01-22T08:00:32.59,,,,51,,,ALLEE,DE BIR HAKEIM,93270,SEVRAN,,93071,,,930715qdw_B,664963.9,6870223.79,A,,,,,62.02B,NAFRev2,N,62.20H
100110923,00016,10011092300016,O,2026-01-19,NN,,,2026-01-23T17:34:23.296,true,A,O,,2026-01-19,5710,MISTRAL COMPUTE 13,,,,,,,,,,,62.02B,NAFRev2,,N,N,NN,,00016,2026-01-23T17:34:23.295,,,,15,,,RUE,DES HALLES,75001,PARIS,,75101,,,751014461_B,652032.72,6862433.28,A,,,,,62.02B,NAFRev2,N,62.20H
100112176,00019,10011217600019,O,2026-01-15,NN,,,2026-02-05T05:14:34.946,true,A,O,,2026-01-15,5710,AFFUTIS,,,,,,,,,,,62.02B,NAFRev2,,N,N,NN,,00019,2026-02-05T05:14:34.942,,,BATIMENT GUILAUR 2EME ETAGE,,,,RUE,DE LA ZAMIN,59160,CAPINGHEM,,59128,,,591280011_B,697985.06,7060628.31,A,,,,,62.02B,NAFRev2,O,62.20H
100125798,00015,10012579800015,O,2026-01-21,NN,,,2026-01-21T13:38:58.17,true,A,O,,2026-01-21,1000,,,M,GUELLIER,,BAPTISTE,,,,BAPTISTE,,62.02B,NAFRev2,,,,NN,,00015,2026-01-21T13:38:58.169,,,,1,,,CHEMIN,DES CARRIERES,95450,SERAINCOURT,,95592,,,955920080_B,617218.59,6881997.5,A,,,,GUELLIER BAPTISTE,62.02B,NAFRev2,N,62.20H
100139195,00018,10013919500018,P,2026-01-21,NN,,,2026-01-26T10:41:13.375,true,A,P,,2026-01-21,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],62.02B,NAFRev2,,,,NN,,00018,2026-01-26T10:41:13.375,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],AMIENS,,80021,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],62.02B,NAFRev2,N,62.20H
100148857,00012,10014885700012,P,2026-01-25,NN,,,2026-02-13T13:44:08.67,true,A,P,,2026-01-25,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],62.02B,NAFRev2,,,,NN,,00012,2026-02-13T13:44:08.67,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],NICE,,06088,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],62.02B,NAFRev2,N,62.20H
