siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
300685948,00030,30068594800030,O,2022-05-01,03,2023,9522ZB,2025-12-05T23:59:04.542,true,A,O,,1973-01-01,5710,SERVICE NORD EST,,,,,,,,,,,62.02B,NAFRev2,,N,,03,2023,00030,2025-12-06T11:15:07.805,ETI,2023,,5,,,RUE,DREYFUS DUPONT,57050,METZ,,57463,,,574632075_B,931755.3618543263,6898343.251295741,A,OK SERVICE,,,OK SERVICE,62.02B,NAFRev2,O,62.20H
302491584,00041,30249158400041,O,1989-01-01,21,2023,,2025-12-05T23:10:37.638,true,A,O,,1974-01-01,5710,CEGI-SANTE,,,,,,,,,,,58.29A,NAFRev2,,,,21,2023,00041,2025-12-06T05:20:36.657,ETI,2023,,63,B,,BOULEVARD,BESSIERES,75017,PARIS,,75117,,,751170935_B,650277.4802358503,6866570.644478517,A,,,,,62.02B,NAFRev2,O,62.20H
302491584,00066,30249158400066,O,2013-05-13,03,2023,,2025-12-05T23:50:19.46,false,A,O,,1974-01-01,5710,CEGI-SANTE,,,,,,,,,,,58.29A,NAFRev2,,,,21,2023,00041,2025-12-06T05:20:36.657,ETI,2023,,29,,,RUE,DU JOURDIL,74000,ANNECY,,74010,,,,,,A,,,,CEGI SANTE,62.02B,NAFRev2,O,62.20H
305546616,00049,30554661600049,O,1987-10-20,22,2023,,2025-12-05T18:05:53.932,true,A,O,,1976-01-01,5710,CENTRE D'ETUDES ET DE GESTION INFORMATIQUE,CEGI,,,,,,,,,,62.02B,NAFRev2,,N,,22,2023,00049,2025-12-06T05:43:28.217,ETI,2023,,63,B,,BOULEVARD,BESSIERES,75017,PARIS,,75117,,,751170935_B,650277.4802358503,6866570.644478517,A,,,,,62.02B,NAFRev2,O,62.20H
305546616,00056,30554661600056,O,2010-01-01,NN,,,2025-12-05T17:43:06.85,false,A,O,,1976-01-01,5710,CENTRE D'ETUDES ET DE GESTION INFORMATIQUE,CEGI,,,,,,,,,,62.02B,NAFRev2,,N,,22,2023,00049,2025-12-06T05:43:28.217,ETI,2023,ZAC DE CHATEAU GOMBERT,5245,F,,RUE,PAUL LANGEVIN,13013,MARSEILLE 13EME,,13213,,,132136901_C,,,A,,,,,62.02B,NAFRev2,N,62.20H
305546616,00064,30554661600064,O,2019-01-01,NN,,,2025-12-05T18:58:18.421,false,A,O,,1976-01-01,5710,CENTRE D'ETUDES ET DE GESTION INFORMATIQUE,CEGI,,,,,,,,,,62.02B,NAFRev2,,N,,22,2023,00049,2025-12-06T05:43:28.217,ETI,2023,,1,,,RUE,ALESSANDRO VOLTA,44470,CARQUEFOU,,44026,,,440262017_B,359498.86168694065,6698687.939759324,A,,,,,62.02B,NAFRev2,O,62.20H
309214864,00063,30921486400063,O,2021-11-01,03,2023,,2025-12-06T04:02:44.811,false,A,O,,1977-01-01,5710,SEPTEO SOLUTIONS CDJ,,,,,,,,,,,58.29C,NAFRev2,,N,,21,2023,00055,2025-12-06T05:43:36.151,ETI,2023,ZI COMBEPLAINE,6,,,RUE,DE LA LIBERTE,42800,RIVE-DE-GIER,,42186,,,421860476_B,828076.1898623514,6494802.345530174,A,,,,,62.02B,NAFRev2,O,62.20H
312396328,00139,31239632800139,O,2021-01-25,NN,,,2025-12-05T20:46:04.836,false,A,O,,1978-01-01,5499,AXESS SOFTWARE,,,,,,,,,,,58.29C,NAFRev2,,N,N,21,2023,00089,2026-01-13T13:15:10.493,ETI,2023,,106,,,AVENUE,JEAN JAURES,69007,LYON,,69387,,,693873745_B,843097.4132932621,6517634.9088279465,A,,,,,62.02B,NAFRev2,O,62.20H
322671009,00106,32267100900106,O,2006-07-31,02,2023,,2025-12-06T03:15:49.304,false,A,O,,1981-08-03,5710,INTERGRAPH FRANCE,,,,,,,,,,,58.29C,NAFRev2,,N,,21,2023,00122,2025-12-06T05:31:00.517,ETI,2023,ESPACE CEZANNE,14,,,RES,PARC CLUB DU GOLF,13080,AIX EN PROVENCE,,13001,,,13001A608_C,,,A,,,,,62.02B,NAFRev2,O,62.20H
322671009,00122,32267100900122,O,2023-06-30,21,2023,,2025-12-05T20:19:46.557,true,A,O,,1981-08-03,5710,INTERGRAPH FRANCE,,,,,,,,,,,58.29C,NAFRev2,,N,,21,2023,00122,2025-12-06T05:31:00.517,ETI,2023,CP 7072,2,,,PLACE,GUSTAVE EIFFEL,94150,RUNGIS,,94065,,,9406579vd_B,652546.9179641341,6850011.168399363,A,,,,,62.02B,NAFRev2,O,62.20H
