siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
317288389,00339,31728838900339,O,2001-12-01,11,2023,,2025-12-06T00:03:25.464,false,A,O,,1979-01-01,5710,FIDUCIAL INFORMATIQUE,,,,,,,,,,,62.02A,NAFRev2,,N,,41,2023,00529,2025-12-06T07:18:41.023,GE,2023,,9,,,RUE,DE LA SAILLERIE,49124,SAINT-BARTHELEMY-D'ANJOU,,49267,,,492670412_B,436027.4861514963,6715528.389507982,A,,,,,62.02B,NAFRev2,O,62.20H
319159877,00210,31915987700210,O,2021-06-01,NN,,,2025-12-05T23:19:25.354,false,A,O,,1980-05-13,5710,THALES LAS FRANCE SAS,,,,,,,,,,,26.51A,NAFRev2,,N,,52,2023,00111,2025-12-12T13:09:40.332,GE,2023,,40,,,RUE,DE LA BRELANDIERE,86100,CHATELLERAULT,,86066,,,860660690_B,511398.4961323862,6637676.055879231,A,,,,,62.02B,NAFRev2,N,62.20H
324103829,00788,32410382900788,O,2022-01-10,03,2023,,2025-12-05T15:20:00.598,false,A,O,,1982-04-01,5710,SPIE ICS,,,,,,,,,,,62.02A,NAFRev2,,N,,51,2023,00721,2025-12-06T05:43:51.216,GE,2023,ZI DE LA CHAUVETIERE,4,,,RUE,EDOUARD MARTEL,42100,SAINT-ETIENNE,,42218,,,422183008_B,808054.8842993504,6480541.474708031,A,,,,,62.02B,NAFRev2,N,62.20H
324103829,00804,32410382900804,O,2022-01-10,11,2023,,2025-12-05T19:53:46.23,false,A,O,,1982-04-01,5710,SPIE ICS,,,,,,,,,,,62.02A,NAFRev2,,N,,51,2023,00721,2025-12-06T05:43:51.216,GE,2023,ZAC DES MONTELS,,,,RUE,RENE PANHARD,63118,CEBAZAT,,63063,,,630630704_B,709065.811162104,6526320.940331623,A,,,,,62.02B,NAFRev2,N,62.20H
324103829,00812,32410382900812,O,2022-01-10,03,2023,,2025-12-06T05:07:07.203,false,A,O,,1982-04-01,5710,SPIE ICS,,,,,,,,,,,62.02A,NAFRev2,,N,,51,2023,00721,2025-12-06T05:43:51.216,GE,2023,OASIS DURY ALLEE DE LA PEPINIERE,,,,ALLEE,DE LA PEPINIERE - OASIS,80480,DURY,,80261,,,802610382_B,648181.9867103272,6973774.959402266,A,,,,,62.02B,NAFRev2,N,62.20H
324103829,00879,32410382900879,O,2022-01-10,11,2023,,2025-12-05T15:41:37.772,false,A,O,,1982-04-01,5710,SPIE ICS,,,,,,,,,,,62.02A,NAFRev2,,N,,51,2023,00721,2025-12-06T05:43:51.216,GE,2023,,32,,,RUE,DE LA REDOUTE,21850,SAINT-APOLLINAIRE,,21540,,,215400800_B,856946.0008845895,6695644.392313212,A,,,,,62.02B,NAFRev2,N,62.20H
327733184,00540,32773318400540,O,2021-09-01,12,2023,,2025-12-05T15:56:50.894,false,A,O,,1983-04-01,5710,MICROSOFT FRANCE,,,,,,,,,,,62.02A,NAFRev2,,N,,51,2023,00516,2025-12-06T08:20:54.329,GE,2023,,9,,,RUE,DES CUIRASSIERS,69003,LYON,,69383,,,693832023_B,844256.6451523618,6519402.0256264545,A,,,,,62.02B,NAFRev2,O,62.20H
333134799,00076,33313479900076,O,2025-03-13,NN,,,2025-12-06T00:33:12.752,true,A,O,,1985-05-28,5710,B'INFORMATION SERVICES,,,,,,,,,,,62.02B,NAFRev2,,N,,22,2023,00076,2025-12-06T07:34:44.948,GE,2023,,7,,,ALLEE,DE L'ARCHE,92400,COURBEVOIE,,92026,,,920260071_B,644091.01,6866477.29,A,,,,,62.02B,NAFRev2,N,62.20H
380474494,00016,38047449400016,O,1991-01-01,12,2023,,2025-12-06T04:42:44.047,true,A,O,,1991-01-01,5710,EURO INFORMATION DEVELOPPEMENTS,EID,,,,,,,,,,62.01Z,NAFRev2,,N,,51,2023,00016,2025-12-06T08:05:56.527,GE,2023,,4,,,RUE,FREDERIC-GUILLAUME RAIFFEISEN,67000,STRASBOURG,,67482,,,674827061_B,1050501.0899450732,6843957.665246103,A,,,,,62.02B,NAFRev2,O,62.20H
380474494,00099,38047449400099,O,2001-08-01,32,2023,,2025-12-05T16:45:14.034,false,A,O,,1991-01-01,5710,EURO INFORMATION DEVELOPPEMENTS,EID,,,,,,,,,,62.01Z,NAFRev2,,N,,51,2023,00016,2025-12-06T08:05:56.527,GE,2023,,2,,,AVENUE,JEAN CLAUDE BONDUELLE,44000,NANTES,,44109,,,441094425_B,356219.4876933626,6689073.149391656,A,EURO-INFORMATION DEVELOPPEMENTS,,,,62.02B,NAFRev2,O,62.20H
380474494,00115,38047449400115,O,2001-08-01,22,2023,,2025-12-05T18:25:58.985,false,A,O,,1991-01-01,5710,EURO INFORMATION DEVELOPPEMENTS,EID,,,,,,,,,,62.01Z,NAFRev2,,N,,51,2023,00016,2025-12-06T08:05:56.527,GE,2023,,63,,,CHEMIN,ANTOINE PARDON,69160,TASSIN-LA-DEMI-LUNE,,69244,,,692440030_B,836323.0295728246,6518711.240213672,A,,,,,62.02B,NAFRev2,O,62.20H
