siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
024074924,00010,02407492400010,O,2002-02-28,NN,,,2025-12-05T21:19:02.654,true,A,O,,2002-02-28,5710,TRAITEMENT DE DONNEES INFORMATIQUES,T.D.I.,,,,,,,,,,63.11Z,NAFRev2,,N,,NN,,00010,2025-12-06T08:29:45.077,ETI,2023,IMMEUBLE MAHABA,,,,PL,DU MARCHE,97600,MAMOUDZOU,,97611,,,,,,A,,,,,63.11Z,NAFRev2,O,63.10Y
054394135,00013,05439413500013,O,2004-07-26,NN,,,2025-12-06T03:03:43.867,true,A,O,,2004-07-26,5499,ANTHELIE,,,,,,,,,,,63.11Z,NAFRev2,,,,NN,,00013,2025-12-06T11:27:49.071,PME,2023,IMMEUBLE NOUVELLES TECHNOLOGIES,,,,,ZI KAWENI,97600,MAMOUDZOU,,97611,,,,,,A,,,,,63.11Z,NAFRev2,O,63.10Y
100003086,00012,10000308600012,O,2026-02-16,NN,,,2026-01-19T13:38:19.831,true,A,O,,2026-02-16,1000,,,M,KHADRANE,,RACHID,,,,RACHID,,63.11Z,NAFRev2,,,,NN,,00012,2026-01-19T13:38:19.831,,,,185,,,RUE,SAINT-MAUR,75010,PARIS,,75110,,,751108699_B,653961.39,6863637.6,A,,,,KTECH,63.11Z,NAFRev2,N,63.10Y
100054014,00012,10005401400012,O,2026-01-09,NN,,,2026-01-29T11:34:50.285,true,A,O,,2026-01-09,5710,AOYO,,,,,,,,,,,63.11Z,NAFRev2,,N,N,NN,,00012,2026-01-29T11:34:50.285,,,CS 48756,58,,,RUE,DE MONCEAU,75008,PARIS,,75108,,,751086419_B,649553.32,6864476.85,A,,,,,63.11Z,NAFRev2,N,55.20Y
100054741,00010,10005474100010,P,2026-02-02,NN,,,2026-01-20T11:03:34.482,true,A,P,,2026-02-02,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],63.11Z,NAFRev2,,,,NN,,00010,2026-01-20T11:03:34.482,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],RAMBOUILLET,,78517,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],63.11Z,NAFRev2,N,63.10Y
100062256,00019,10006225600019,P,2026-01-05,NN,,,2026-01-20T13:07:42.972,true,A,P,,2026-01-05,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],63.11Z,NAFRev2,,,,NN,,00019,2026-01-20T13:07:42.972,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],GRADIGNAN,,33192,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],63.11Z,NAFRev2,N,63.10Y
100063569,00014,10006356900014,P,2026-01-20,NN,,,2026-01-20T13:33:43.364,true,A,P,,2026-01-20,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],63.11Z,NAFRev2,,,,NN,,00014,2026-01-20T13:33:43.364,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],BESANCON,,25056,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],63.11Z,NAFRev2,N,63.10Y
100090968,00015,10009096800015,O,2026-01-20,NN,,,2026-01-21T07:41:05.324,true,A,O,,2026-01-20,1000,,,F,GRUZDEVA,ODINTSOVA,ANASTASIJA,,,,ANASTASIJA,,63.11Z,NAFRev2,,,,NN,,00015,2026-01-21T07:41:05.323,,,APPARTEMENT 168,19,,,RUE,DE L'ESPERANTO,05000,GAP,,05061,,,050610835_B,943350.62,6388252.01,A,,,,,63.11Z,NAFRev2,N,62.10Y
100094846,00019,10009484600019,O,2026-01-07,NN,,,2026-01-21T08:18:10.519,true,A,O,,2026-01-07,9220,SB-HEBERG,,,,,,,,,,,63.11Z,NAFRev2,W627011415,O,N,NN,,00019,2026-01-21T08:18:10.519,,,,20,,,RUE,DEBUSSY,62160,GRENAY,,62386,,,623860250_B,682480.43,7039726.24,A,,,,,63.11Z,NAFRev2,N,63.10Y
100125079,00010,10012507900010,O,2026-02-01,NN,,,2026-01-21T13:29:27.132,true,A,O,,2026-02-01,1000,,,F,SARR,,WOLY,,,,WOLY,,63.11Z,NAFRev2,,,,NN,,00010,2026-01-21T13:29:27.131,,,,24,,,RUE,REMI COSSON,45140,SAINT-JEAN-DE-LA-RUELLE,,45285,,,452850259_B,616141.56,6756389.06,A,,,,,63.11Z,NAFRev2,N,63.10Y
100149921,00015,10014992100015,P,2026-02-01,NN,,,2026-01-26T09:00:26.871,true,A,P,,2026-02-01,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],63.11Z,NAFRev2,,,,NN,,00015,2026-01-26T09:00:26.87,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],DOMPIERRE-SUR-BESBRE,,03102,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],63.11Z,NAFRev2,N,63.10Y
100154848,00012,10015484800012,O,2026-01-19,NN,,,2026-01-26T17:37:13.927,true,A,O,,2026-01-19,5710,MISTRAL COMPUTE 14,,,,,,,,,,,63.11Z,NAFRev2,,N,N,NN,,00012,2026-01-26T17:37:13.927,,,,15,,,RUE,DES HALLES,75001,PARIS,,75101,,,751014461_B,652032.72,6862433.28,A,,,,,63.11Z,NAFRev2,N,63.10Y
100172162,00016,10017216200016,P,2026-02-01,NN,,,2026-01-22T10:45:21.44,true,A,P,,2026-02-01,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],63.11Z,NAFRev2,,,,NN,,00016,2026-01-22T10:45:21.44,,,[ND],[ND],[ND],[ND],[ND],[ND],[ND],SAINT-LAURENT-DE-CHAMOUSSET,,69220,,,[ND],[ND],[ND],A,[ND],[ND],[ND],[ND],63.11Z,NAFRev2,N,63.10Y
100179035,00017,10017903500017,O,2025-11-04,NN,,,2026-01-26T19:00:50.168,true,A,O,,2025-11-04,5710,MARIGNY SOLUTION,,,,,,,,,,,63.11Z,NAFRev2,,N,N,NN,,00017,2026-01-26T19:00:50.167,,,,5,,,RUE,DE LA BEUSE AUX LOUPS,25200,MONTBELIARD,,25388,,,253880140_B,985529.33,6718262.58,A,,,,,63.11Z,NAFRev2,N,62.10Y
100186501,00019,10018650100019,O,2026-01-19,NN,,,2026-01-27T18:00:27.032,true,A,O,,2026-01-19,5710,ENZO LOCATION,,,,,,,,,,,63.11Z,NAFRev2,,N,N,NN,,00019,2026-01-27T18:00:27.032,,,,10,,,RUE,MAX BAREL,24750,BOULAZAC ISLE MANOIRE,,24053,,,240530738_B,523660.55,6455702.87,A,,,,,63.11Z,NAFRev2,N,62.10Y
