siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
024074924,00010,02407492400010,O,2002-02-28,NN,,,2025-12-05T21:19:02.654,true,A,O,,2002-02-28,5710,TRAITEMENT DE DONNEES INFORMATIQUES,T.D.I.,,,,,,,,,,63.11Z,NAFRev2,,N,,NN,,00010,2025-12-06T08:29:45.077,ETI,2023,IMMEUBLE MAHABA,,,,PL,DU MARCHE,97600,MAMOUDZOU,,97611,,,,,,A,,,,,63.11Z,NAFRev2,O,63.10Y
180043028,00240,18004302800240,O,1983-03-16,11,2023,,2025-12-05T15:22:55.4,false,A,O,,1978-01-01,7389,OFFICE NATIONAL D INFORMATION SUR LES ENSEIGNEMENTS ET LES PROFESSIONS,ONISEP,,,,,,,,,,63.11Z,NAFRev2,,N,,32,2023,00653,2025-12-06T06:26:44.734,ETI,2023,,32,,,RUE,DU FRESCHE BLANC,44300,NANTES,,44109,,,441093377_B,355645.7662032752,6693179.8095204225,A,DELEGATION REGIONALE DES PAYS-DE-LOIRE,,,,63.11Z,NAFRev2,N,63.10Y
180043028,00265,18004302800265,O,1983-03-16,02,2023,,2025-12-05T15:35:19.861,false,A,O,,1978-01-01,7389,OFFICE NATIONAL D INFORMATION SUR LES ENSEIGNEMENTS ET LES PROFESSIONS,ONISEP,,,,,,,,,,63.11Z,NAFRev2,,N,,32,2023,00653,2025-12-06T06:26:44.734,ETI,2023,,1,,,PLACE,LUCIEN PAYE,13100,AIX-EN-PROVENCE,,13001,,,130012858_B,897937.9784808432,6272260.096991909,A,DELEGATION REGIONALE D'AIX-MARSEILLE,,,,63.11Z,NAFRev2,N,63.10Y
180043028,00273,18004302800273,O,1983-03-16,11,2023,,2025-12-05T15:49:37.117,false,A,O,,1978-01-01,7389,OFFICE NATIONAL D INFORMATION SUR LES ENSEIGNEMENTS ET LES PROFESSIONS,ONISEP,,,,,,,,,,63.11Z,NAFRev2,,N,,32,2023,00653,2025-12-06T06:26:44.734,ETI,2023,,11,,,AVENUE,GENERAL CHAMPON,38000,GRENOBLE,,38185,,,381853060_B,914535.3871270966,6457404.865025059,A,DELEGATION REGIONALE DE GRENOBLE,,,,63.11Z,NAFRev2,N,63.10Y
180043028,00372,18004302800372,O,1984-10-18,02,2023,,2025-12-05T15:14:36.521,false,A,O,,1978-01-01,7389,OFFICE NATIONAL D INFORMATION SUR LES ENSEIGNEMENTS ET LES PROFESSIONS,ONISEP,,,,,,,,,,63.11Z,NAFRev2,,N,,32,2023,00653,2025-12-06T06:26:44.734,ETI,2023,,53,,,AVENUE,CAP DE CROIX,06100,NICE,,06088,,,060881075_B,1044393.5167327218,6301748.248447258,A,DELEGATION REGIONALE DE NICE,,,,63.11Z,NAFRev2,N,63.10Y
180043028,00430,18004302800430,O,1985-02-01,02,2023,,2025-12-05T22:41:27.339,false,A,O,,1978-01-01,7389,OFFICE NATIONAL D INFORMATION SUR LES ENSEIGNEMENTS ET LES PROFESSIONS,ONISEP,,,,,,,,,,63.11Z,NAFRev2,,N,,32,2023,00653,2025-12-06T06:26:44.734,ETI,2023,,17,,,BOULEVARD,DE LA PAIX,51100,REIMS,,51454,,,514546690_B,775793.6678041961,6906556.307452969,A,DELEGATION REGIONALE DE CHAMPAGNE-ARDENNE,,,,63.11Z,NAFRev2,N,63.10Y
180043028,00455,18004302800455,O,1985-03-19,02,2023,,2025-12-06T03:39:48.866,false,A,O,,1978-01-01,7389,OFFICE NATIONAL D INFORMATION SUR LES ENSEIGNEMENTS ET LES PROFESSIONS,ONISEP,,,,,,,,,,63.11Z,NAFRev2,,N,,32,2023,00653,2025-12-06T06:26:44.734,ETI,2023,,1,,,QUAI,DUJARDIN,35000,RENNES,,35238,,,352385221_B,352521.8255210545,6789165.7055955175,A,DELEGATION REGIONALE ONISEP-BRETAGNE,,,,63.11Z,NAFRev2,N,63.10Y
180043028,00596,18004302800596,O,1972-01-10,02,2023,,2025-12-05T23:13:46.998,false,A,O,,1978-01-01,7389,OFFICE NATIONAL D INFORMATION SUR LES ENSEIGNEMENTS ET LES PROFESSIONS,ONISEP,,,,,,,,,,63.11Z,NAFRev2,,N,,32,2023,00653,2025-12-06T06:26:44.734,ETI,2023,,31,,,RUE,DE L'UNIVERSITE,34000,MONTPELLIER,,34172,,,341725650_B,770814.052695288,6279755.206429707,A,DELEGATION REGIONALE DU LANGUEDOC ROUSSILLON,,,,63.11Z,NAFRev2,O,63.10Y
180043028,00653,18004302800653,O,1994-10-12,22,2023,,2025-12-06T04:01:22.611,true,A,O,,1978-01-01,7389,OFFICE NATIONAL D INFORMATION SUR LES ENSEIGNEMENTS ET LES PROFESSIONS,ONISEP,,,,,,,,,,63.11Z,NAFRev2,,N,,32,2023,00653,2025-12-06T06:26:44.734,ETI,2023,,12,,,,MAIL BARTHELEMY THIMONNIER,77185,LOGNES,,77258,,,772581770_B,672713.3943407928,6860010.552986169,A,,,,,63.11Z,NAFRev2,N,63.10Y
180043028,00687,18004302800687,O,1996-12-27,02,2023,,2025-12-05T15:49:37.112,false,A,O,,1978-01-01,7389,OFFICE NATIONAL D INFORMATION SUR LES ENSEIGNEMENTS ET LES PROFESSIONS,ONISEP,,,,,,,,,,63.11Z,NAFRev2,,N,,32,2023,00653,2025-12-06T06:26:44.734,ETI,2023,,45,,,AVENUE,CARNOT,25000,BESANCON,,25056,,,250560670_B,928881.7672795691,6687225.483851079,A,DELEGATION REGIONALE DE FRANCHE-COMTE,,,,63.11Z,NAFRev2,N,63.10Y
