siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
263700189,00081,26370018900081,O,1983-07-01,NN,,,2025-12-06T04:13:15.947,false,A,O,,1978-01-01,7364,CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE DE TOURS,CHRU TOURS,,,,,,,,,,86.10Z,NAFRev2,,N,,53,2023,00016,2025-12-06T05:20:55.333,GE,2023,,2,,,RUE,DE LA PETITE ALOUETTE,37170,CHAMBRAY LES TOURS,,37050,,,370500667_C,,,A,CENTRE REG INFORMAT HOSPITAL,,,,63.11Z,NAFRev2,O,63.10Y
301850277,00221,30185027700221,O,2005-04-11,22,2023,,2025-12-06T02:45:39.693,false,A,O,,1977-01-01,5710,STIME,STIME,,,,,,,,,,62.02A,NAFRev2,,N,,41,2023,00288,2025-12-06T05:18:23.061,GE,2023,,15,,,ALLEE,DES MOUSQUETAIRES,91810,VERT-LE-GRAND,,91648,,,916480085_B,653235.5168199583,6833424.278261631,A,,,,,63.11Z,NAFRev2,O,63.10Y
301850277,00254,30185027700254,O,2015-05-05,01,2023,,2025-12-05T20:15:01.118,false,A,O,,1977-01-01,5710,STIME,STIME,,,,,,,,,,62.02A,NAFRev2,,N,,41,2023,00288,2025-12-06T05:18:23.061,GE,2023,ZAE PARC JEAN MONNET,7,,,RUE,PAUL HENRI SPAAK,77240,VERT-SAINT-DENIS,,77495,,,774950803_B,673268.5145415039,6829955.837708216,A,,,,,63.11Z,NAFRev2,O,63.10Y
304366990,00089,30436699000089,O,2016-01-01,03,2023,,2025-12-05T22:25:12.374,true,A,O,,1975-01-01,5710,I&T AUTOMOTIVE,,,,,,,,,,,63.11Z,NAFRev2,,N,N,12,2023,00089,2025-12-06T06:14:58.553,GE,2023,,278,,,BOULEVARD,SAINT-GERMAIN,75007,PARIS,,75107,,,751078619_B,650194.6483077273,6862530.520590392,A,,,,ITHIS,63.11Z,NAFRev2,O,63.10Y
304366990,00121,30436699000121,O,2021-12-20,NN,,,2025-12-06T04:57:52.467,false,A,O,,1975-01-01,5710,I&T AUTOMOTIVE,,,,,,,,,,,63.11Z,NAFRev2,,N,N,12,2023,00089,2025-12-06T06:14:58.553,GE,2023,,5,,,RUE,SIMONE VEIL,69200,VENISSIEUX,,69259,,,692591572_B,846227.6,6514939.73,A,,,,,63.11Z,NAFRev2,O,63.10Y
305207391,00049,30520739100049,O,2025-12-01,NN,,,2026-01-02T08:00:36.062,true,A,O,,1976-01-01,5710,EGIS DATA & SOLUTIONS,,,,,,,,,,,63.11Z,NAFRev2,,N,,11,2023,00049,2026-01-02T08:00:36.069,GE,2023,BATIMENT LE PASSAGE,27,,,RUE,CUVIER,93100,MONTREUIL,,93048,,,930481595_B,657733.89,6861363.63,A,,,,IOSIS INFORMATIQUE,63.11Z,NAFRev2,N,63.10Y
308197185,00116,30819718500116,O,2024-03-01,NN,,,2025-12-06T02:27:22.504,false,A,O,,1984-10-15,5710,IPSEN PHARMA,SCRAS,,,,,,,,,,46.46Z,NAFRev2,,N,,41,2023,00124,2025-12-06T05:26:36.787,GE,2023,,20,,,RUE,ETHE VIRTON,28100,DREUX,,28134,,,281340740_B,581051.2891164202,6850506.080367312,A,,,,,63.11Z,NAFRev2,N,63.10Y
312730674,00214,31273067400214,O,2006-01-01,NN,,,2025-12-05T21:20:30.516,false,A,O,,1978-01-01,5710,EURO-INFORMATION EUROPEENNE DE TRAITEMENT DE L'INFORMATION,EURO INFORMATION,,,,,,,,,,62.03Z,NAFRev2,,N,,12,2023,00016,2025-12-06T06:23:28.492,GE,2023,,3,,,ALLEE,DE L'ETOILE,95000,CERGY,,95127,,,951270443_B,632314.1849852175,6882326.318661472,A,,,,,63.11Z,NAFRev2,N,63.10Y
312730674,00222,31273067400222,O,2006-01-01,NN,,,2025-12-05T22:00:59.97,false,A,O,,1978-01-01,5710,EURO-INFORMATION EUROPEENNE DE TRAITEMENT DE L'INFORMATION,EURO INFORMATION,,,,,,,,,,62.03Z,NAFRev2,,N,,12,2023,00016,2025-12-06T06:23:28.492,GE,2023,,2,,,RUE,DE LA VOLOGNE,54520,LAXOU,,54304,,,543040699_B,930490.5466411053,6848490.108577079,A,,,,,63.11Z,NAFRev2,N,63.10Y
312730674,00230,31273067400230,O,2006-01-01,01,2023,,2025-12-05T22:15:40.443,false,A,O,,1978-01-01,5710,EURO-INFORMATION EUROPEENNE DE TRAITEMENT DE L'INFORMATION,EURO INFORMATION,,,,,,,,,,62.03Z,NAFRev2,,N,,12,2023,00016,2025-12-06T06:23:28.492,GE,2023,,36,,,RUE,DE MESSINES,59237,VERLINGHEM,,59611,,,59611c4d9_B,701019.6317407815,7064456.686899929,A,,,,,63.11Z,NAFRev2,N,63.10Y
